"Country","Count"
"united states",35942
"nepal",1357
"ecuador",956
"mexico",578
"fiji",299
"chile",178
"nicaragua",114
"canada",93
"costa rica",89
"el salvador",87
"venezuela",84
"panama",83
"argentina",68
"suriname",66
"vietnam",61
"colombia",52
"russia",51
"philippines",50
"south africa",49
"peru",47
"belize",45
"brazil",40
"india",38
"ethiopia",32
"japan",32
"lebanon",32
"guam",28
"china",27
"iraq",25
"cuba",22
"us virgin islands",20
"bahamas",19
"bolivia",17
"guatemala",16
"bermuda",15
"french guiana",12
"romania",12
"uruguay",12
"australia",8
"congo, the democratic republic of the",8
"germany",4
"thailand",4
"austria",3
"guyana",3
"sri lanka",3
"antilles",2
"netherlands",2
"nigeria",2
"portugal",2
"antarctica",1
"bulgaria",1
"central african republic",1
"comoro islands",1
"dominica",1
"dominican republic",1
"equatorial guinea",1
"ghana",1
"greenland",1
"haiti",1
"honduras",1
"indonesia",1
"italy",1
"ivory coast",1
"jamaica",1
"kazakhstan",1
"liberia",1
"marshall islands",1
"mongolia",1
"mozambique",1
"paraguay",1
"seychelles",1
"somalia",1
"south korea",1
"tanzania",1
