"Family","Count"
"cyprinidae",14580
"percidae",5550
"centrarchidae",4467
"ictaluridae",2521
"catostomidae",2513
"fundulidae",1277
"poeciliidae",949
"characidae",599
"clupeidae",523
"cottidae",496
"atherinidae",415
"sciaenidae",381
"lepisosteidae",291
"cichlidae",257
"nemacheilidae",173
"moronidae",165
"acipenseridae",163
"scorpaenidae",158
"pleuronectidae",156
"pomacentridae",152
"loricariidae",141
"gobiidae",129
"pimelodidae",129
"trichomycteridae",128
"salmonidae",124
"serranidae",124
"labridae",112
"cyprinodontidae",108
"carangidae",107
"esocidae",104
"sisoridae",103
"petromyzontidae",98
"paralichthyidae",86
"apogonidae",84
"ophidiidae",84
"myctophidae",83
"gasterosteidae",72
"hiodontidae",70
"cobitidae",66
"tetraodontidae",65
"sparidae",63
"erythrinidae",60
"acanthuridae",59
"elassomatidae",58
"engraulididae",58
"triglidae",58
"stomiidae",56
"mugilidae",54
"chaetodontidae",53
"chanidae",53
"pomacanthidae",53
"blenniidae",51
"stichaeidae",49
"aphredoderidae",47
"perciliidae",47
"embiotocidae",46
"holocentridae",44
"rajidae",44
"bagridae",43
"balistidae",43
"agonidae",42
"lutjanidae",42
"rivulidae",42
"syngnathidae",41
"zoarcidae",40
"ambassidae",39
"belonidae",39
"gerreidae",38
"haemulidae",38
"monacanthidae",36
"umbridae",36
"synodontidae",35
"channidae",34
"amiidae",33
"cyclopteridae",33
"gadidae",33
"psilorhynchidae",33
"batrachoididae",32
"hexagrammidae",32
"anostomidae",30
"callichthyidae",30
"eleotridae",30
"lebiasinidae",30
"mastacembelidae",30
"pholididae",29
"synbranchidae",28
"anguillidae",27
"balitoridae",27
"botiidae",27
"muraenidae",27
"curimatidae",26
"cynoglossidae",25
"sternoptychidae",24
"exocoetidae",23
"gobiesocidae",23
"polyodontidae",23
"achiridae",21
"gymnotidae",21
"ophichthidae",21
"percopsidae",21
"ariidae",20
"astroblepidae",20
"macrouridae",20
"percichthyidae",20
"goodeidae",19
"mullidae",19
"stromateidae",19
"trichiuridae",19
"amblyopsidae",18
"anablepidae",18
"badidae",18
"scombridae",18
"gonostomatidae",17
"phycidae",17
"amblycipitidae",16
"ephippididae",16
"merlucciidae",16
"belontiidae",15
"bothidae",15
"erethisitidae",15
"ogcocephalidae",15
"ostraciidae",15
"psychrolutidae",15
"schilbeidae",15
"lotidae",14
"osmeridae",14
"siluridae",13
"uranoscopidae",13
"bathymasteridae",12
"congridae",12
"hemiramphidae",12
"moridae",12
"paralepididae",12
"scaridae",12
"squalidae",12
"aplocheilidae",11
"bathylagidae",11
