"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"C&S - 1","ku","kui","30350","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30339","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19387","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30306","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","11950","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","12121","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30297","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","21488","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30293","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30375","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","14127","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19327","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","14805","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","24852","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30291","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19381","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19393","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","12119","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19310","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","12482","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","20399","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19380","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30338","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19289","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19351","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","21487","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","12088","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30369","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","22286","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30390","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19296","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","22692","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19835","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30295","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","21491","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","41068","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30367","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19276","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30323","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30348","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30305","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30381","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19321","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","11933","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","12588","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","4499","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19269","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30292","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","14859","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30365","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","23891","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30386","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","11931","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","11938","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","14850","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19290","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19284","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30392","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","19282","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","12524","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30320","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","40695","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","23530","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30333","C&S","","",NA,NA,NA,11
"C&S - 1","ku","kui","30346","C&S","","",NA,NA,NA,11
