"Collector","Count"
"a",3048
"kate",2720
"moots",2720
"c",1879
"david",1502
"j",1471
"o",1417
"edward",1415
"r",1413
"wiley",1399
"s",1379
"w",1376
"michael",1108
"andrew",1000
"ken",851
"longenecker",851
"heemstra",848
"elaine",843
"greenfield",840
"bentley",824
"langston",821
"phillip",818
"t",760
"ross",754
"b",751
"walter",648
"l",645
"cole",643
"kathleen",623
"grose",591
"v",583
"m",546
"malcolm",543
"smale",543
"e",516
"dimmick",481
"johnson",478
"causey",456
"siegel",456
"delaware",440
"garrick",370
"skalski",370
"domeier",313
"ghedotti",306
"schmidt",288
"timothy",279
"john",271
"doug",252
"d",248
"bruce",244
"hartel",244
"karsten",244
"collette",243
"alexander",223
"golubtsov",223
"annett",213
"cynthia",213
"anne",206
"dustin",204
"williams",198
"christopher",193
"michels",192
"brothers",189
"marine",179
"kris",177
"mcnyset",177
"p",177
"fisheries",176
"i",176
"national",175
"service",175
"richard",173
"benson",172
"holcroft",172
"nancy",172
"mark",164
"edds",162
"jeff",162
"hsieh",159
"f",158
"simons",158
"k",155
"jacy",153
"wolfe",153
"al",147
"et",147
"baldwin",144
"carole",144
"fielitz",144
"mayden",143
"ball",135
"lisa",135
"albatross",134
"iv",134
"korovulavula",134
"h",132
"mataitini",130
"g",129
"randall",129
"kevin",127
"monica",127
"tang",124
"mwale",123
"robert",121
"n",119
"beverstock",116
"hunt",116
"bloom",115
"devin",115
"sheridan",112
"jon",110
"moore",110
"bernard",106
"kuhajda",106
"berendzen",94
"peter",94
"mike",85
"addison",84
"karla",84
"lara",84
"preston",84
"tim",79
"voskuil",79
"frank",77
"cross",75
"henry",75
"thomas",68
"geffery",67
"luttrell",67
"orrell",67
"blackwood",62
"jenkins",62
"kansas",62
"adam",60
"biological",56
"university",54
"ivantsoff",53
"ledua",52
"survey",52
"sanders",51
"william",51
"james",50
"stevenson",50
"cashner",46
"smith",45
"doosey",43
"endo",42
"steven",42
"steve",39
"craig",37
"milewski",37
"layman",36
"muir",36
"taylor",35
"bart",34
"andy",33
"chris",33
"dave",33
"duane",33
"haslouer",33
"kenaley",33
"mammoliti",33
"morgan",33
"rambo",33
"robison",33
"sears",33
"shaw",33
"sneegas",33
"z",33
"craddock",31
"jim",31
"earle",29
"matson",29
"keiichi",28
"sakai",28
"tom",28
"class",27
"ichthyology",27
"titus",27
"carl",26
"casey",26
"ferraris",26
"fuselier",26
"joan",26
"linda",26
"tajchman",26
"ku",25
"liang",25
"of",25
"rishen",25
"department",24
"jackson",24
"jennifer",24
"borgia",23
"eberle",23
"alfaro",22
"baumgartner",21
"erin",21
"belize",19
"christine",19
"etnier",19
"participants",19
"pyle",19
"thacker",19
"workshop",19
"devaney",18
"kepler",18
"miner",18
"shannon",18
"thamon",18
"bohrer",17
"marks",17
"tabor",17
"vernon",17
"konrad",16
"padgham",16
"wilkinson",16
"adele",15
"brian",15
"dumlao",15
"ferguson",15
"lorance",15
"pascal",15
"ramos",15
"dituri",14
"kelly",14
"orr",14
"austin",13
"leaser",13
"natural",13
"oberzan",13
"resources",13
"slack",13
"stephen",13
"degravelle",12
"joseph",12
"wasaff",12
"and",11
"combes",11
"garrido",11
"goncalo",11
"hannah",11
"holcik",11
"iowa",11
"jacob",11
"juraj",11
"leo",11
"maria",11
"matt",11
"owens",11
"silva",11
"stein",11
"clark",10
"coelho",10
"cook",10
"eun",10
"flescher",10
"gardner",10
"geoff",10
"gryska",10
"jan",10
"kim",10
"kinnersly",10
"margaret",10
"marlo",10
"menzel",10
"mills",10
"o'connell",10
"parks",10
"poulsen",10
"rui",10
"schragg",10
"wildlife",10
"winterbottom",10
"yde",10
"counihan",9
"eve",9
"mclain",9
"norton",9
"robertson",9
"stirling",9
"team",9
"athline",8
"bigelow",8
"cheng",8
"chi",8
"hing",8
"pence",8
"pitman",8
"prawn",8
"study",8
"trap",8
"williston",8
"beheregaray",7
"bray",7
"caley",7
"dianne",7
"everly",7
"julian",7
"luciano",7
"miller",7
"paxton",7
"reader",7
"ruedebusch",7
"vanuatu",7
"davis",6
"dinkins",6
"edmondson",6
"faitala",6
"goebel",6
"holleman",6
"hudman",6
"hughes",6
"humphrey",6
"iwatsuki",6
"kit",6
"landis",6
"mcgrouther",6
"mooi",6
"peterson",6
"phil",6
"pitcairn",6
"stowell",6
"ukkrit",6
"wouter",6
"yukio",6
"abe",5
"alberto",5
"ana",5
"ben",5
"bennett",5
"bless",5
"carson",5
"castilho",5
"correia",5
"ewing",5
"francine",5
"goncalves",5
"joao",5
"link",5
"matthew",5
"neiva",5
"parkinson",5
"porter",5
"rita",5
"bolomey",4
"boschung",4
"brunner",4
"casciotta",4
"chen",4
"curts",4
"fisiiahi",4
"garreton",4
"hasbrouck",4
"hillis",4
"howell",4
"jorge",4
"jr",4
"kuzma",4
"mcconnaughey",4
"nawojchik",4
"norris",4
"palaki",4
"ricketts",4
"rob",4
"rodriguez",4
"scott",4
"staff",4
"trnski",4
"wenjuan",4
"xing",4
"yu",4
"zheng",4
"ayliffe",3
"braun",3
"fisherman",3
"galbraith",3
"george",3
"harp",3
"hatcher",3
"heilmann",3
"institute",3
"lars",3
"lea",3
"neil",3
"perez",3
"tjelmeland",3
"toal",3
"bellwood",2
"bert",2
"brooks",2
"busby",2
"caes",2
"carol",2
"comey",2
"emporia",2
"erik",2
"fnq",2
"grady",2
"hole",2
"johnston",2
"keenan",2
"kikkawa",2
"laboratory",2
"lawrence",2
"leberer",2
"lynne",2
"maney",2
"maryland",2
"matern",2
"matthews",2
"nash",2
"oceanography",2
"olney",2
"page",2
"parenti",2
"patrick",2
"pezold",2
"phuket",2
"research",2
"sandel",2
"schneider",2
"scripps",2
"state",2
"station",2
"stepien",2
"talbot",2
"ted",2
"unrein",2
"wood",2
"woods",2
"alburn",1
"alex",1
"avila",1
"bell",1
"billy",1
"borden",1
"brent",1
"calvin",1
"castro",1
"center",1
"charles",1
"choat",1
"christiansen",1
"clements",1
"cloutman",1
"corney",1
"cumbaa",1
"dobson",1
"donald",1
"eisenhour",1
"ewan",1
"farmer",1
"gary",1
"gladwell",1
"goldsmith",1
"goliath",1
"harbison",1
"harcourt",1
"haro",1
"herman",1
"hinton",1
"hubbard",1
"jerry",1
"jones",1
"juan",1
"keener",1
"kyle",1
"luckhurst",1
"lugakis",1
"lutjens",1
"manny",1
"mcgregor",1
"molony",1
"morrey",1
"mosher",1
"nsw",1
"oceanographic",1
"odwc",1
"paddlefish",1
"pam",1
"paul",1
"porteiro",1
"processing",1
"reiss",1
"richards",1
"robins",1
"ryan",1
"shad",1
"shane",1
"sharon",1
"sheeves",1
"sheryl",1
"shindledecker",1
"slay",1
"snow",1
"stallsmith",1
"tobin",1
"tudela",1
"westneat",1
"whiting",1
"wusterfeld",1
"zachary",1
