"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"Tissue - 100","ku","kuit","8491","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","6063","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","9227","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","7766","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","6499","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","3509","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","3235","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","10156","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","4473","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","8023","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","1588","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","4947","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","7821","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","9718","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","3965","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","866","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","6628","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","4948","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","4320","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","4986","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","1349","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","1391","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","6820","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","4805","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","7496","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","1063","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","6330","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","4100","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","6180","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","9119","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","8415","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","3851","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","8975","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","299","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","8302","Tissue","","",NA,NA,NA,31
"Tissue - 100","ku","kuit","8276","Tissue","","",NA,NA,NA,31
