"Collector","Count"
"6",1
"7",13
"26",1
"1891",1
"1924",11
"1926",384
"1928",165
"1931",2
"1936",75
"1946",7
"1948",6
"1963",1
"1977",1
"miller",4041
"harry",3952
"party",3858
"e",2559
"peabody",2400
"frank",2294
"hibbard",1991
"schultze",1545
"and",1386
"wilson",1371
"stewart",1341
"martin",1163
"galbreath",1155
"cw",949
"j",897
"e.c",894
"rw",824
"west",813
"d",674
"ep",652
"gottfried",642
"of",617
"bonner",611
"h.t",535
"whetstone",513
"r.w",438
"camp",415
"j.d",382
"jd",380
"ostrander",353
"ashberger",347
"rinker",319
"ku",315
"a",298
"slowinski",283
"r",278
"rasmussen",278
"g",269
"t",266
"n",265
"chorn",257
"ec",251
"k.n",247
"kenneth",245
"hunt",237
"ht",223
"r.r",217
"foreman",209
"h",201
"gary",189
"c",186
"c.w",179
"p",174
"rr",174
"jls",157
"rww",156
"jerry",155
"bee",153
"lane",146
"graffham",139
"heck",130
"ashbergers",121
"beard",117
"k.c",117
"williston",117
"r.r.c",116
"hps",110
"kaisen",110
"riggs",109
"geol",107
"gregg",106
"l",106
"tihen",98
"h.h",97
"mcnown",96
"w",95
"exped",92
"ob",89
"b",84
"jw",82
"schultz",79
"overton",78
"rrc",76
"curry",74
"don",74
"wyckoff",73
"joe",71
"kirkpatrick",70
"williams",70
"wells",69
"firner",68
"honert",67
"larson",67
"j.w",66
"potter",63
"jl",62
"bridwell",61
"sternberg",60
"f.e",57
"e.p",56
"jakway",56
"green",54
"l.a",52
"r.h.p",50
"taylor",50
"case",48
"d.l",48
"ge",48
"bennett",47
"hall",47
"e.riggs",46
"brian",44
"rogers",44
"coster",43
"hh",43
"john",43
"m",43
"pauline",43
"smith",41
"mapes",40
"mike",39
"parker",39
"brown",38
"bardack",37
"nash",37
"o",37
"rhp",37
"etal",35
"o.b",35
"richard",35
"gilbert",34
"jr",34
"f",33
"j.l.s",33
"a.graffham",32
"al",32
"et",32
"etc",32
"moodie",32
"r.w.wilson",32
"tv",32
"dj",31
"h.firner",31
"hesse",31
"e.c.galbreath",30
"e.c.g",29
"roger",29
"pother",28
"k",27
"s",27
"s.w",27
"expedition",26
"mclaughlin",26
"metcalf",26
"d.dunkle",25
"david",25
"summer",25
"ecg",24
"leonard",24
"mcclung",24
"field",23
"jim",23
"berte",22
"burnham",22
"c.h",22
"gould",22
"brothers",21
"dort",21
"rassmussen",21
"wake",21
"collection",20
"e.s",20
"c.n",18
"eaton",18
"hp",18
"dunkle",17
"e.p.west",17
"gowell",17
"mudge",17
"v.fishel",17
"alm",16
"ashburger",16
"black",16
"exp",16
"richardson",16
"t.r",16
"alexis",15
"campbell",15
"hatcher",15
"licht",15
"johnson",14
"mattingly",14
"spencer",14
"bhs",13
"c.w.hibbard",13
"cooper",13
"elias",13
"h.t.u",13
"hw",13
"j.b",13
"o.w",13
"db",12
"dickinson",12
"sw",12
"b.m",11
"bloesch",11
"cc",11
"ce",11
"fairchild",11
"horn",11
"morse",11
"orville",11
"patten",11
"r.rinker",11
"stan",11
"baird",10
"dave",10
"dunbar",10
"e.r",10
"frailey",10
"harrison",10
"jackson",10
"krishtalka",10
"maurice",10
"robert",10
"royal",10
"sensintaffer",10
"wac",10
"cochran",9
"dick",9
"expd",9
"frye",9
"g.e",9
"gene",9
"hogg",9
"htu",9
"mcardle",9
"mk",9
"moore",9
"pilch",9
"r.c",9
"t.h",9
"travis",9
"w.r",9
"woodman",9
"wr",9
"donated",8
