"Family","Count"
"cricetidae",8841
"eomyidae",5214
"captorhinidae",4159
"equidae",3176
"leporidae",2033
"camelidae",1829
"sciuridae",1791
"rhinocerotidae",1463
"didelphidae",1407
"geomyidae",1216
"leptomerycidae",1212
"ischyromyidae",1004
"prosciuridae",997
"heteromyidae",898
"pholidophoridae",815
"palaeoniscidae",771
"canidae",722
"soricidae",700
"sagenodontidae",687
"merycoidodontidae",679
"cervidae",597
"amphicyonidae",578
"bovidae",565
"hypertragulidae",561
"ichthyodectidae",525
"neoplagiaulacidae",505
"castoridae",463
"odontaspididae",457
"nesophontidae",444
"anacoracidae",409
"enchodontidae",394
"phyllostomatidae",365
"mosasauridae",363
"carcharhinidae",345
"arctocyonidae",316
"allomyidae",304
"centrarchidae",303
"proscalopidae",293
"corvidae",271
"mitsukurinidae",268
"acanthodidae",267
"leptictidae",267
"pteraspidae",264
"hyopsodontidae",255
"ornithocheiridae",232
"lepidosirenidae",231
"testudinidae",229
"alcidae",217
"cretoxyrhinidae",215
"anguidae",213
"cimolichthyidae",209
"periptychidae",205
"clupeidae",204
"pachyrhizodontidae",200
"protosphyraenidae",197
"mioclaenidae",185
"actinolepidae",181
"zapodidae",178
"cyprinodontidae",173
"plesiadapidae",172
"elephantidae",170
"bufonidae",166
"antilocapridae",164
"bothriolepidae",156
"plesiosauridae",151
"geolabididae",150
"plethodidae",150
"talpidae",144
"trimerorhachidae",144
"ictaluridae",135
"anatidae",134
"cimolodontidae",128
"mustelidae",128
"pediomyidae",123
"mylagaulidae",121
"phasianidae",121
"ambystomatidae",116
"erinaceidae",115
"hybodontidae",109
"tayassuidae",109
"hominidae",106
"phenacodontidae",105
"hyracodontidae",100
"ptychodontidae",97
"toxochelyidae",95
"sphenacodontidae",94
"semionotidae",93
"crotaphytidae",91
"osteolepidae",89
"spiral",88
"lepisosteidae",87
"pentacodontidae",87
"cylindrodontidae",85
"cyprinidae",84
"glyptopsidae",84
"cimolomyidae",82
"brontotheriidae",80
"ochotonidae",77
"leptochoeridae",76
"ursidae",76
"emydidae",75
"falconidae",75
"felidae",74
"paramyidae",73
"aplodontidae",72
"ellimmichthyidae",72
"podicipedidae",72
"asterolepidae",70
"saurodontidae",68
"iguanidae",67
"palaeobatrachidae",67
"rhabdodermatidae",66
"catostomidae",65
"lysorophidae",65
"adapidae",64
"emberizidae",62
"hyaenodontidae",61
"palaechthonidae",60
"cheloniidae",59
"protoceratidae",59
"gomphotheriidae",58
"dormaaliidae",56
"enterospira",56
"gymnarthridae",55
"nothosauridae",55
"hadrosauridae",54
"sibyrhynchidae",54
"gypsonictopidae",53
"leptolepidae",52
"cardipeltidae",50
"myliobatidae",50
"xenacanthidae",50
"eucosmodontidae",49
"indet",49
"mammutidae",49
"ranidae",49
"dichobunidae",48
"petalodontidae",48
"petrolacosauridae",48
"acleistorhinidae",47
"entelodontidae",47
"meniscotheriidae",46
"keraterpetontidae",45
"nyctitheriidae",45
"lamnidae",44
"rallidae",42
"taeniolabididae",42
"ctenodontidae",41
"procyonidae",41
"amiidae",40
"ceratodontidae",39
"nimravidae",39
"crossognathidae",38
"ctenacanthidae",38
"pycnodontidae",37
"alligatoridae",36
"dercetidae",36
"hesperornithidae",36
"cheirolepidae",35
"interatheriidae",34
"listracanthidae",34
"polycotylidae",33
"ptilodontidae",33
"saurerpetontidae",33
"symmoriidae",33
"gliridae",32
"holocentridae",32
"vespertilionidae",32
"colubridae",31
"eryopidae",31
"mixodectidae",31
"rhinobatidae",31
"megatheriidae",30
"stagodontidae",30
"elonichthyidae",29
"ichthyornithidae",29
"holoptychiidae",28
"paromomyidae",28
"agriochoeridae",27
"megalonychidae",27
"viverravidae",27
"chirodontidae",26
"dasypodidae",26
"toxodontidae",26
"accipitridae",25
"palaeoryctidae",25
"proterogyrinidae",25
"suidae",25
"hemigaleidae",24
"hipposideridae",24
"apatemyidae",23
"camarasauridae",23
"ceratopsidae",23
"coelacanthidae",23
"pelobatidae",23
"pomacentridae",23
"scolopacidae",23
"amphibamidae",22
"dissorophidae",22
"protostegidae",22
"anthracotheriidae",21
"omomyidae",21
"palaelodidae",21
"dromaeosauridae",20
"enterolite",20
"aspidorhynchidae",19
"hegetotheriidae",19
"helaletidae",19
"plesiosoricidae",19
"teiidae",19
"trematopsidae",19
"trionychidae",19
"capromyidae",18
"eutypomyidae",18
"heptaxodontidae",18
"moschidae",18
"mylodontidae",18
"ophiacodontidae",18
"tillotheriidae",18
"delphinidae",17
"isectolophidae",17
"microsyopidae",17
"stylinodontidae",17
"theridomyidae",16
"wuttagoonaspidae",16
"cainotheriidae",15
"caseodontidae",15
"crocodylidae",15
"hemiscyllidae",15
"laridae",15
"onychodontidae",15
"troodontidae",15
"diomedeidae",14
"dipteridae",14
"sphyrnidae",14
"squatinidae",14
"triisodontidae",14
"apternodontidae",13
"cochliodontidae",13
"miacidae",13
"pantolestidae",13
"chimaeridae",12
"coccosteidae",12
"coryphodontidae",12
"cracidae",12
"ctenomyidae",12
"edaphosauridae",12
"glyptodontidae",12
"goniopholididae",12
"ptycholepididae",12
"allosauridae",11
"eoptolamnidae",11
"esthonychidae",11
"hiodontidae",11
"hylidae",11
"oromerycidae",11
"palaeomerycidae",11
"platysomidae",11
"rhizodontidae",11
"strigidae",11
"tapiridae",11
"xenosauridae",11
"amynodontidae",10
"cichlidae",10
"colosteidae",10
"falcatidae",10
"ginglymostomatidae",10
"mormoopidae",10
"percidae",10
"picrodontidae",10
"pristodontidae",10
"prosirenidae",10
"albulidae",9
"baenidae",9
"baptornithidae",9
"diplodocidae",9
"mesonychidae",9
"osteoglossidae",9
"""cladodont""",8
"boidae",8
"branchiosauridae",8
"carpolestidae",8
"edestidae",8
"esocidae",8
"haplolepidae",8
"kinosternidae",8
"odontophoridae",8
"osmeridae",8
"protorothyrididae",8
"batrachosauroididae",7
"cathartidae",7
"chinchillidae",7
"diabolepidae",7
"echimyidae",7
"oxyaenidae",7
"polymixiidae",7
"psammosteidae",7
"rhineuridae",7
"tragulidae",7
"tremataspidida",7
"varanopseidae",7
"agassizodontidae",6
"amblypteridae",6
"amphisbaenidae",6
"archeriidae",6
"belanteseidae",6
"belonidae",6
"ciconiidae",6
"columbidae",6
"diodontidae",6
"elasmosauridae",6
"elopidae",6
"gaviidae",6
"micropternodontidae",6
"pristidae",6
"proterotheriidae",6
"redfieldiidae",6
"rhizomyidae",6
"scapherpetontidae",6
"scincidae",6
"sloanbaataridae",6
"sphyraenidae",6
"stenopterygiidae",6
"tyrannidae",6
"viperidae",6
"ardeidae",5
"astrapotheriidae",5
"bathornithidae",5
"bee cells",5
"charadriidae",5
"chelydridae",5
"cottidae",5
"cuculidae",5
"dasyproctidae",5
"diatrymatidae",5
"echinorhinidae",5
"heteropolar",5
"ischnacanthidae",5
"janassidae",5
"metoposauridae",5
"phalacrocoracidae",5
"phlyctaeniidae",5
"phyllolepidae",5
"picidae",5
"polyacrodontidae",5
"salmonidae",5
"sciaenidae",5
"sciuravidae",5
"tyrannosauridae",5
"urocordylidae",5
"aigialosauridae",4
"apodidae",4
"champsosauridae",4
"conchopomidae",4
"ctenodactylidae",4
"erethizontidae",4
"gruidae",4
"gyrodontidae",4
"hexanchidae",4
"homalodotheriidae",4
"meleagrididae",4
"mesturidae",4
"nitosauridae",4
"orectolobidae",4
"phaneropleuridae",4
"phorusrhacidae",4
"phytosauridae",4
"plataleidae",4
"pliosauridae",4
"psammodontidae",4
"sulidae",4
"tamiobatidae",4
"acipenseridae",3
"anhingidae",3
"aphredoderidae",3
"aramidae",3
"archaeopterygidae",3
"chanidae",3
"chirocentridae",3
"chongichthyidae",3
"dimylidae",3
"discoglossidae",3
"gonorhynchidae",3
"hadronectoridae",3
"helodermatidae",3
"helodontidae",3
"hypsilophodontidae",3
"ichthyosauridae",3
"iniopterygidae",3
"isuridae",3
"leptodactylidae",3
"lystrosauridae",3
"mastodonsauridae",3
"morganucodontidae",3
"myctophidae",3
"nodosauridae",3
"orodontidae",3
"panderichthyidae",3
"pantolambdidae",3
"pelomedusidae",3
"polypteridae",3
"protostrigidae",3
"sclerorhynchidae",3
"teratornithidae",3
"uronemidae",3
"varanidae",3
"amphiumidae",2
"arandaspididae",2
"ariidae",2
"bobastraniidae",2
"brachiosauridae",2
"burhinidae",2
"chalicotheriidae",2
"coccodontidae",2
"ctenothrissidae",2
"cyathaspididae",2
"dermatemydidae",2
"diamantomyidae",2
"dugongidae",2
"eurypholidae",2
"galesauridae",2
"gasterosteidae",2
"gastric residue",2
"gempylidae",2
"geranoididae",2
"hadrodontidae",2
"halosauridae",2
"helohyidae",2
"holonematidae",2
"hydrochoeridae",2
"hyporhinidae",2
"incertae sedis",2
"mesotheriidae",2
"metriorhynchidae",2
"muridae",2
"muscicapidae",2
"necrosauridae",2
"neurankylidae",2
"pachypleurosauridae",2
"palaeolabridae",2
"palaeotheriidae",2
"pelagornithidae",2
"phalaropodidae",2
"phllodontidae",2
"phoenicopteridae",2
"polyodontidae",2
"primobucconidae",2
"ptyctodontidae",2
"rauisuchidae",2
"rhadinichthyidae",2
"saurichthyidae",2
"thylacosmilidae",2
"aeduellidae",1
"agamidae",1
"anguillavidae",1
"anguillidae",1
"ankylosauridae",1
"araeoscelididae",1
"astraspidae",1
"aulacocephalodontidae",1
"azhdarchidae",1
"balaenicipitidae",1
"berycidae",1
"calcariidae",1
"caprimulgidae",1
"cebochoeridae",1
"climatiidae",1
"cochleosauridae",1
"cryptobranchidae",1
"cyriacotheriidae",1
"dasyatidae",1
"deltoptychiidae",1
"dermochelyidae",1
"desmostylidae",1
"diadectidae",1
"diplocercidae",1
"dipodidae",1
"doleserpetontidae",1
"elopterygidae",1
"emeidae",1
"eocardiidae",1
"eogyrinidae",1
"eomoropidae",1
"ergilornithidae",1
"florentiamyidae",1
"gorgonopsidae",1
"gyracanthidae",1
"haematopodidae",1
"hipposauridae",1
"homosteidae",1
"hypsidoridae",1
"indet a",1
"indet b",1
"kannemeyeriidae",1
"kiaeraspididae",1
"lonchidiidae",1
"lophiodontidae",1
"macropetalichthyidae",1
"macropodidae",1
"megalosauridae",1
"mesosauridae",1
"microbrachidae",1
"ophidiidae",1
"ophiopsidae",1
"otodontidae",1
"pachycormidae",1
"palaeothentidae",1
"parasemionotidae",1
"pelecanidae",1
"pelodytidae",1
"peltephilidae",1
"peltopleuridae",1
"phiomyidae",1
"phoebodontidae",1
"pholidopleuridae",1
"plagiomenidae",1
"pleuracanthidae",1
"polynemidae",1
"porolepidae",1
"presbyornithidae",1
"procellariidae",1
"protobatrachidae",1
"psephodontidae",1
"pseudomorphs",1
"psittacidae",1
"purgatoriidae",1
"pygopteridae",1
"rajidae",1
"raptor pellet",1
"recurvirostridae",1
"salamandridae",1
"saurocephalidae",1
"scyliorhinidae",1
"serranidae",1
"simimyidae",1
"sirenidae",1
"sphenocephalidae",1
"squalidae",1
"stagonolepididae",1
"stegosauridae",1
"struthionidae",1
"tarsiidae",1
"teleosauridae",1
"teuthidae",1
"threskiornithidae",1
"thylacinidae",1
"trachichthyidae",1
"tuditanidae",1
"urenchelyidae",1
