"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
NA,"csuc","fish","00305","","","",NA,NA,NA,12688
NA,"csuc","fish","00364","","","",NA,NA,NA,12688
NA,"csuc","fish","00014","","","",NA,NA,NA,12688
NA,"csuc","fish","00196","","","",NA,NA,NA,12688
NA,"csuc","fish","00303","","","",NA,NA,NA,12688
NA,"csuc","fish","00208","","","",NA,NA,NA,12688
NA,"csuc","fish","00035","","","",NA,NA,NA,12688
NA,"csuc","fish","00278","","","",NA,NA,NA,12688
NA,"csuc","fish","00295","","","",NA,NA,NA,12688
NA,"csuc","fish","00241","","","",NA,NA,NA,12688
NA,"csuc","fish","00256","","","",NA,NA,NA,12688
NA,"csuc","fish","00360","","","",NA,NA,NA,12688
NA,"csuc","fish","00094","","","",NA,NA,NA,12688
NA,"csuc","fish","00069","","","",NA,NA,NA,12688
NA,"csuc","fish","00138","","","",NA,NA,NA,12688
NA,"csuc","fish","00268","","","",NA,NA,NA,12688
NA,"csuc","fish","00198","","","",NA,NA,NA,12688
NA,"csuc","fish","00187","","","",NA,NA,NA,12688
NA,"csuc","fish","00328","","","",NA,NA,NA,12688
NA,"csuc","fish","00247","","","",NA,NA,NA,12688
NA,"csuc","fish","00060","","","",NA,NA,NA,12688
NA,"csuc","fish","00134","","","",NA,NA,NA,12688
NA,"csuc","fish","00372","","","",NA,NA,NA,12688
NA,"csuc","fish","00221","","","",NA,NA,NA,12688
NA,"csuc","fish","00028","","","",NA,NA,NA,12688
NA,"csuc","fish","00100","","","",NA,NA,NA,12688
NA,"csuc","fish","00152","","","",NA,NA,NA,12688
NA,"csuc","fish","00024","","","",NA,NA,NA,12688
NA,"csuc","fish","00226","","","",NA,NA,NA,12688
NA,"csuc","fish","00272","","","",NA,NA,NA,12688
NA,"csuc","fish","00361","","","",NA,NA,NA,12688
NA,"csuc","fish","00176","","","",NA,NA,NA,12688
NA,"csuc","fish","00095","","","",NA,NA,NA,12688
NA,"csuc","fish","00297","","","",NA,NA,NA,12688
NA,"csuc","fish","00383","","","",NA,NA,NA,12688
NA,"csuc","fish","00351","","","",NA,NA,NA,12688
NA,"csuc","fish","00128","","","",NA,NA,NA,12688
NA,"csuc","fish","00345","","","",NA,NA,NA,12688
NA,"csuc","fish","00183","","","",NA,NA,NA,12688
NA,"csuc","fish","00399","","","",NA,NA,NA,12688
NA,"csuc","fish","00255","","","",NA,NA,NA,12688
NA,"csuc","fish","00222","","","",NA,NA,NA,12688
NA,"csuc","fish","00329","","","",NA,NA,NA,12688
NA,"csuc","fish","00115","","","",NA,NA,NA,12688
NA,"csuc","fish","00132","","","",NA,NA,NA,12688
NA,"csuc","fish","00045","","","",NA,NA,NA,12688
NA,"csuc","fish","00282","","","",NA,NA,NA,12688
NA,"csuc","fish","00067","","","",NA,NA,NA,12688
NA,"csuc","fish","00017","","","",NA,NA,NA,12688
NA,"csuc","fish","00321","","","",NA,NA,NA,12688
NA,"csuc","fish","00056","","","",NA,NA,NA,12688
NA,"csuc","fish","00149","","","",NA,NA,NA,12688
NA,"csuc","fish","00235","","","",NA,NA,NA,12688
NA,"csuc","fish","00374","","","",NA,NA,NA,12688
NA,"csuc","fish","00049","","","",NA,NA,NA,12688
NA,"csuc","fish","00143","","","",NA,NA,NA,12688
NA,"csuc","fish","00407","","","",NA,NA,NA,12688
NA,"csuc","fish","00236","","","",NA,NA,NA,12688
NA,"csuc","fish","00322","","","",NA,NA,NA,12688
NA,"csuc","fish","00129","","","",NA,NA,NA,12688
NA,"csuc","fish","00072","","","",NA,NA,NA,12688
NA,"csuc","fish","00092","","","",NA,NA,NA,12688
NA,"csuc","fish","00404","","","",NA,NA,NA,12688
NA,"csuc","fish","00121","","","",NA,NA,NA,12688
NA,"csuc","fish","00104","","","",NA,NA,NA,12688
NA,"csuc","fish","00044","","","",NA,NA,NA,12688
NA,"csuc","fish","00377","","","",NA,NA,NA,12688
NA,"csuc","fish","00389","","","",NA,NA,NA,12688
NA,"csuc","fish","00332","","","",NA,NA,NA,12688
NA,"csuc","fish","00354","","","",NA,NA,NA,12688
NA,"csuc","fish","00061","","","",NA,NA,NA,12688
NA,"csuc","fish","00141","","","",NA,NA,NA,12688
NA,"csuc","fish","00139","","","",NA,NA,NA,12688
NA,"csuc","fish","00214","","","",NA,NA,NA,12688
NA,"csuc","fish","00326","","","",NA,NA,NA,12688
NA,"csuc","fish","00057","","","",NA,NA,NA,12688
NA,"csuc","fish","00266","","","",NA,NA,NA,12688
NA,"csuc","fish","00370","","","",NA,NA,NA,12688
NA,"csuc","fish","00350","","","",NA,NA,NA,12688
NA,"csuc","fish","00185","","","",NA,NA,NA,12688
NA,"csuc","fish","00250","","","",NA,NA,NA,12688
NA,"csuc","fish","00300","","","",NA,NA,NA,12688
NA,"csuc","fish","00027","","","",NA,NA,NA,12688
NA,"csuc","fish","00154","","","",NA,NA,NA,12688
NA,"csuc","fish","00105","","","",NA,NA,NA,12688
NA,"csuc","fish","00408","","","",NA,NA,NA,12688
NA,"csuc","fish","00042","","","",NA,NA,NA,12688
NA,"csuc","fish","00015","","","",NA,NA,NA,12688
NA,"csuc","fish","00112","","","",NA,NA,NA,12688
NA,"csuc","fish","00007","","","",NA,NA,NA,12688
NA,"csuc","fish","00343","","","",NA,NA,NA,12688
NA,"csuc","fish","00157","","","",NA,NA,NA,12688
NA,"csuc","fish","00217","","","",NA,NA,NA,12688
NA,"csuc","fish","00276","","","",NA,NA,NA,12688
NA,"csuc","fish","00204","","","",NA,NA,NA,12688
NA,"csuc","fish","00058","","","",NA,NA,NA,12688
NA,"csuc","fish","00356","","","",NA,NA,NA,12688
NA,"csuc","fish","00023","","","",NA,NA,NA,12688
