"Family","Count"
"Myctophidae",19687
"Engraulidae",17116
"Sciaenidae",9418
"Gobiidae",5925
"Paralichthyidae",5510
"Gonostomatidae",4813
"Pleuronectidae",4375
"Sternoptychidae",4206
"Cottidae",3649
"Bathylagidae",3392
"Sebastidae",3144
"Serranidae",3082
"Stomiidae",2768
"Melamphaidae",2749
"Blenniidae",2414
"Clupeidae",2132
"Pomacentridae",2011
"Labridae",1925
"Atherinopsidae",1906
"Clinidae",1592
"Scorpaenidae",1589
"Carangidae",1564
"Characidae",1550
"Cyprinidae",1448
"Platytroctidae",1335
"Exocoetidae",1285
"Labrisomidae",1252
"Poeciliidae",1231
"Muraenidae",1138
"Haemulidae",1131
"Cichlidae",1053
"Phosichthyidae",1023
"Gobiesocidae",937
"Zoarcidae",866
"Apogonidae",831
"Nemichthyidae",828
"Synodontidae",820
"Embiotocidae",819
"Cynoglossidae",815
"Scombridae",814
"Loricariidae",802
"Holocentridae",799
"Paralepididae",766
"Macrouridae",749
"Ophichthidae",721
"Syngnathidae",704
"Hexagrammidae",665
"Tetraodontidae",664
"Gerreidae",660
"Congridae",647
"Ophidiidae",647
"Gasterosteidae",642
"Acanthuridae",640
"Lutjanidae",562
"Catostomidae",531
"Mugilidae",508
"Alepocephalidae",506
"Chaetodontidae",498
"Kyphosidae",498
"Centrarchidae",486
"Sparidae",484
"Chaenopsidae",483
"Salmonidae",463
"Batrachoididae",461
"Hemiramphidae",460
"Stichaeidae",455
"Agonidae",442
"Scopelarchidae",440
"Carcharhinidae",438
"Atherinidae",435
"Sphyraenidae",426
"Oneirodidae",424
"Stromateidae",422
"Tripterygiidae",417
"Bothidae",408
"Scaridae",394
"Balistidae",376
"Nototheniidae",358
"Chiasmodontidae",343
"Merlucciidae",343
"Serrivomeridae",339
"Liparidae",334
"Ariidae",331
"Belonidae",329
"Scomberesocidae",320
"Triglidae",320
"Pomacanthidae",319
"Bythitidae",315
"Heptapteridae",303
"Mullidae",298
"Scyliorhinidae",274
"Rajidae",261
"Dactyloscopidae",238
"Neoscopelidae",236
"Pimelodidae",232
"Pholidae",218
"Ictaluridae",215
"Triakidae",206
"Trichiuridae",202
"Apteronotidae",201
"Eleotridae",200
"Cirrhitidae",192
"Opisthoproctidae",192
"Priacanthidae",189
"Monacanthidae",188
"Fundulidae",184
"Gadidae",183
"Istiophoridae",180
"Trachipteridae",180
"Moridae",177
"Melanocetidae",175
"Ceratiidae",170
"Polynemidae",167
"Urolophidae",166
"Gempylidae",160
"Achiridae",158
"Diodontidae",156
"Microstomatidae",154
"Antennariidae",152
"Osmeridae",151
"Chlopsidae",150
"Ostraciidae",143
"Bathydraconidae",139
"Channichthyidae",139
"Notosudidae",139
"Curimatidae",136
"Dasyatidae",133
"Rhinobatidae",132
"Auchenipteridae",125
"Bregmacerotidae",122
"Epigonidae",122
"Fistulariidae",121
"Siganidae",120
"Trichomycteridae",120
"Anostomidae",119
"Pristigasteridae",119
"Sternopygidae",117
"Anoplogastridae",115
"Leiognathidae",110
"Callionymidae",108
"Centropomidae",105
"Argentinidae",104
"Percidae",103
"Gobioidei",101
"Pinguipedidae",100
"Harpagiferidae",99
"Lamnidae",99
"Sphyrnidae",98
"Bathymasteridae",96
"Ephippidae",96
"Malacanthidae",96
"Cyprinodontidae",95
"Nomeidae",94
"Centrolophidae",93
"Heterodontidae",93
"Carapidae",92
"Echeneidae",92
"Myliobatidae",91
"Serrasalmidae",90
"Albulidae",87
"Coryphaenidae",86
"Aplocheilidae",84
"Pseudochromidae",84
"Melanostomiidae",81
"Ogcocephalidae",81
"Lepisosteidae",80
"Petromyzontidae",80
"Microdesmidae",79
"Cyematidae",78
"Branchiostomidae",77
"Moringuidae",77
"Nettastomatidae",76
"Cetomimidae",75
"Linophrynidae",74
"Bramidae",73
"Gigantactinidae",73
"Callichthyidae",72
"Synaphobranchidae",69
"Gymnotidae",68
"Squalidae",68
"Erythrinidae",67
"Soleidae",67
"Chimaeridae",66
"Lethrinidae",66
"Acropomatidae",64
"Opistognathidae",62
"Cyclopteridae",61
"Narcinidae",61
"Uranoscopidae",60
"Gymnuridae",57
"Hexanchidae",57
"Psychrolutidae",55
"Melanonidae",54
"Myxinidae",54
"Platycephalidae",54
"Evermannellidae",52
"Terapontidae",52
"Muraenolepididae",51
"Alopiidae",49
"Symphysanodontidae",48
"Xiphiidae",48
"Astronesthidae",47
"Derichthyidae",47
"Howellidae",47
"Nemipteridae",47
"Kuhliidae",46
"Eurypharyngidae",45
"Synbranchidae",45
"Hemitripteridae",44
"Lebiasinidae",44
"Notothenioidei",44
"Plesiopidae",44
"Aspredinidae",42
"Schindleriidae",42
"Caesionidae",41
"Stylephoridae",41
"Cetopsidae",39
"Etmopteridae",39
"Aulostomidae",38
"Doradidae",38
"Drepaneidae",38
"Acipenseridae",37
"Anoplopomatidae",37
"Gasteropelecidae",37
"Ammodytidae",36
"Lophiidae",36
"Pseudopimelodidae",36
"Centriscidae",35
"Zanclidae",34
"Arhynchobatidae",33
"Chlorophthalmidae",32
"Cynodontidae",32
"Tetragonuridae",32
"Anguillidae",31
"Alepisauridae",30
"Dactylopteridae",30
"Halosauridae",29
"Latidae",29
"Lobotidae",29
"Plotosidae",29
"Squatinidae",29
"Aulorhynchidae",28
"Chirocentridae",28
"Grammatidae",28
"Ceratioidei",27
"Molidae",27
"Rhinopteridae",27
"Sillaginidae",27
"Synodontoidei",27
"Giganturidae",26
"Trachichthyidae",26
"Champsodontidae",25
"Channidae",25
"Dalatiidae",25
"Moronidae",25
"Normanichthyidae",25
"Notopteridae",25
"Xenocongridae",25
"Chanidae",24
"Elopidae",24
"Lactariidae",24
"Oreosomatidae",24
"Pristidae",24
"Torpedinidae",24
"Icosteidae",23
"Zeniontidae",23
"Odontaspididae",22
"Pempheridae",22
"Muraenesocidae",21
"Saccopharyngidae",21
"Brotulidae",20
"Caproidae",20
"Ginglymostomatidae",20
"Chauliodontidae",19
"Hemiodontidae",19
"Himantolophidae",19
"Hypopomidae",19
"Mormyridae",19
"Nematistiidae",19
"Polyprionidae",19
"Scombrolabracidae",19
"Ambassidae",18
"Esocidae",18
"Percophidae",18
"Bovichthyidae",17
"Caristiidae",17
"Elassomatidae",17
"Hypophthalmidae",17
"Idiacanthidae",17
"Potamotrygonidae",17
"Rondeletiidae",17
"Hemigaleidae",16
"Stromateoidei",16
"Anarhichadidae",15
"Caulophrynidae",15
"Ipnopidae",15
"Notorynchidae",15
"Profundulidae",15
"Rhamphichthyidae",15
"Scatophagidae",15
"Triacanthidae",15
"Amiidae",14
"Callanthiidae",14
"Chaunacidae",13
"Diceratiidae",13
"Mastacembelidae",13
"Psettodidae",13
"Rachycentridae",13
"Scombroidei",13
"Acestrorhynchidae",12
"Astroblepidae",12
"Bagridae",12
"Clariidae",12
"Cobitidae",12
"Congiopodidae",12
"Galaxiidae",12
"Hemiscylliidae",12
"Nandidae",12
"Zenionidae",12
"Aphredoderidae",11
"Ariommatidae",11
"Aulopidae",11
"Cepolidae",11
"Luvaridae",11
"Melanotaeniidae",11
"Mobulidae",11
"Pegasidae",11
"Polymixiidae",11
"Argentinoidei",10
"Cheilodactylidae",10
"Echinorhinidae",10
"Photichthyidae",10
"Pomatomidae",10
"Somniosidae",10
"Trichodontidae",10
"Anablepidae",9
"Blennioidei",9
"Creediidae",9
"Diretmidae",9
"Hiodontidae",9
"Malacosteidae",9
"Oplegnathidae",9
"Stegostomatidae",9
"Synanceiidae",9
"Berycidae",8
"Cetorhinidae",8
"Macroramphosidae",8
"Menidae",8
"Regalecidae",8
"Sisoridae",8
"Caracanthidae",7
"Centrogeniidae",7
"Centrophrynidae",7
"Ctenoluciidae",7
"Goodeidae",7
"Hoplichthyidae",7
"Kurtidae",7
"Percichthyidae",7
"Poecilopsettidae",7
"Rhinochimaeridae",7
"Siluridae",7
"Barbourisiidae",6
"Dinopercidae",6
"Notacanthidae",6
"Orectolobidae",6
"Osteoglossidae",6
"Rhombosoleidae",6
"Zeidae",6
"Ateleopodidae",5
"Centrophoridae",5
"Lateolabracidae",5
"Monocentridae",5
"Monodactylidae",5
"Rhinidae",5
"Salangidae",5
"Anomalopidae",4
"Colocongridae",4
"Cryptacanthodidae",4
"Cyttidae",4
"Diplomystidae",4
"Grammicolepididae",4
"Lamprididae",4
"Lophotidae",4
"Megalopidae",4
"Osphronemidae",4
"Percopsidae",4
"Rhamphocottidae",4
"Scophthalmidae",4
"Stephanoberycidae",4
"Trachinidae",4
"Bathylaconidae",3
"Bathysauridae",3
"Brachaeluridae",3
"Ceratioidea",3
"Citharidae",3
"Lotidae",3
"Odacidae",3
"Pantodontidae",3
"Pentacerotidae",3
"Phycidae",3
"Pseudomugilidae",3
"Samaridae",3
"Scytalinidae",3
"Tetrarogidae",3
"Thaumatichthyidae",3
"Zaproridae",3
"Aploactinidae",2
"Arripidae",2
"Balitoridae",2
"Bathyclupeidae",2
"Callorhinchidae",2
"Chlamydoselachidae",2
"Coelacanthidae",2
"Electrophoridae",2
"Emmelichthyidae",2
"Euclichthyidae",2
"Gobionellidae",2
"Gyrinocheilidae",2
"Leptochariidae",2
"Megalomycteridae",2
"Mirapinnidae",2
"Mochokidae",2
"Neoceratiidae",2
"Notocheiridae",2
"Ostracoberycidae",2
"Polycentridae",2
"Polyodontidae",2
"Pristiophoridae",2
"Pseudocarchariidae",2
"Rajiformes",2
"Schilbeidae",2
"Trachinoidei",2
"Triacanthodidae",2
"Trichonotidae",2
"Umbridae",2
"Vorhisiidae",2
"Acanthuroidei",1
"Adrianichthyidae",1
"Alestidae",1
"Alestiidae",1
"Amarsipidae",1
