"dwc.scientificName","freq"
"Engraulis mordax",13707
"Undetermined",5973
"Genyonemus lineatus",4554
"Seriphus politus",2487
"Engraulidae",2394
"",2224
"Triphoturus mexicanus",2026
"Gobiidae",1804
"Stenobrachius leucopsarus",1757
"Cyclothone signata",1586
"Cyclothone acclinidens",1472
"Leuroglossus stilbius",1330
"Hypsoblennius",1251
"Pleuronichthys verticalis",1194
"Lampanyctus ritteri",1139
"Paralichthys californicus",1112
"Sebastes",1085
"Clupeiformes",1051
"Myctophidae",976
"Paralichthyidae",914
"Bathylagus wesethi",873
"Diaphus theta",873
"Atherinopsis californiensis",802
"Pleuronichthys ritteri",757
"Clinidae",746
"Cyclothone",744
"Citharichthys",714
"Sardinops sagax caeruleus",712
"Hypsopsetta guttulata",670
"Citharichthys stigmaeus",641
"Argyropelecus lychnus",639
"Stomias atriventer",636
"Idiacanthus antrostomus",627
"Scopelogadus mizolepis bispinosus",627
"Protomyctophum crockeri",614
"Leuresthes tenuis",590
"Paralabrax",589
"Gasterosteus aculeatus",577
"Sternoptyx obscura",563
"Danaphos oculatus",538
"Vinciguerria lucetia",520
"Ceratoscopelus townsendi",503
"Symbolophorus californiensis",497
"Citharichthys sordidus",490
"Argyropelecus pacificus",477
"Diogenichthys laternatus",470
"Tarletonbeania crenularis",466
"Paralepididae",465
"Sciaenidae",458
"Poromitra crassiceps",451
"Sagamichthys abei",435
"Melanostigma pammelas",418
"Electrona antarctica",412
"Bathylagus",409
"Protomyctophum anderssoni",401
"Argyropelecus sladeni",398
"Rhinogobiops nicholsii",393
"Symphurus atricauda",390
"Sebastolobus altivelis",388
"Gymnoscopelus braueri",384
"Atherinops affinis",382
"Icelinus quadriseriatus",378
"Scomber japonicus",376
"Microstomus pacificus",373
"Parvilux ingens",362
"Protomyctophum bolini",358
"Lampanyctus regalis",354
"Synodus lucioceps",352
"Gambusia affinis",316
"Melamphaes lugubris",315
"Hippoglossina stomata",312
"Scorpaenichthys marmoratus",311
"Argyropelecus affinis",309
"Sphyraena argentea",299
"Merluccius productus",298
"Parophrys vetulus",294
"Citharichthys type A",292
"Gila orcutti",288
"Cottus asper",285
"Argyropelecus intermedius",281
"Cololabis saira",280
"Leptocottus armatus",276
"Peprilus simillimus",275
"Gobiidae type D",271
"Lampanyctus achirus",268
"Gobiesox rhessodon",261
"Bathylagus ochotensis",259
"Cyclothone pallida",257
"Paralabrax maculatofasciatus",256
"Chauliodus macouni",255
"Clinocottus analis",248
"Clupeidae",248
"Exocoetidae",248
"Sardinops sagax",246
"Pleuronichthys",245
"Heterostichus rostratus",239
"Oxyjulis californica",237
"Ceratoscopelus warmingi",234
"Menticirrhus undulatus",232
"Lampanyctus",231
"Sebastes sp.",231
"Diogenichthys atlanticus",230
"Gillichthys mirabilis",228
"Serrivomer sector",228
"Scopelengys tristis",227
"Exocoetus volitans",224
"Labridae",224
"Cottidae",220
"Protomyctophum parallelum",217
"Astyanax fasciatus",215
"Atherinidae",215
"Ophioblennius steindachneri",213
"Girella nigricans",210
"Characidae",208
"Scorpaenodes xyris",207
"Trachurus symmetricus",206
"Typhlogobius californiensis",206
"Lepidogobius lepidus",199
"Salmo gairdneri",199
"Nemichthys scolopaceus",198
"Argyropelecus hemigymnus",196
"Porichthys notatus",196
"Melamphaes acanthomus",195
"Talismania bifurcata",193
"Pleuronectiformes",191
"Rhinichthys osculus",190
"Pleuronichthys coenosus",189
"Scorpaenidae",189
"Avocettina infans",188
"Epinephelus labriformis",186
"Gibbonsia",182
"Gonostomatidae",182
"Eucyclogobius newberryi",179
"Gymnoscopelus opisthopterus",179
"Bothidae",177
"Oligocottus snyderi",177
"Holtbyrnia",176
"Xystreurys liolepis",174
"Scopeloberyx robustus",172
"Myctophum nitidulum",170
"Ophichthidae",169
"Protomyctophum",168
"Vinciguerria",164
"Artedius lateralis",162
"Lampanyctinae",162
"Abudefduf troschelii",161
"Melamphaes",161
"Sardinops caeruleus",161
"Lampanyctus idostigma",158
"Gymnoscopelus fraseri",157
"Cynomacrurus piriei",156
"Carangidae",152
"Chromis punctipinnis",152
"Etrumeus teres",151
"Nemichthys",151
"Hypsoblennius jenkinsi",150
"Orthonopias triacis",150
"Protomyctophum tenisoni",150
"Sternoptyx diaphana",150
"Gymnothorax panamensis",147
"Muraena lentiginosa",147
"Holtbyrnia macrops",146
"Gobiidae type 1",145
"Gobiidae type A/C",145
"Searsiidae",144
"Chitonotus pugetensis",143
"Bajacalifornia burragei",142
"Aristostomias scintillans",140
"Bathylagus pacificus",140
"Argyropelecus",139
"Artedius creaseri",135
"Macrouridae",134
"Oxylebius pictus",133
"Poromitra",132
"Lampanyctus nobilis",128
"Opisthonema libertate",128
"Hexagrammos decagrammus",127
"Ichthyococcus irregularis",127
"Lestidium ringens",127
"Bodianus diplotaenia",126
"Eupomacentrus rectifraenum",126
"Gobiidae type A",124
"Thalassoma lucasanum",124
"Citharichthys xanthostigma",123
"Gymnoscopelus",123
"Odontopyxis trispinosa",123
"Myctophum aurolaternatum",121
"Oxyporhamphus micropterus",121
"Pimelodella",121
"Catostomus santaanae",120
"Poecilia sphenops",120
"Anisotremus davidsonii",119
"Poecilia mexicana",119
"Cichlasoma spilurum",118
"Lepomis cyanellus",118
"Notolychnus valdiviae",118
"Lampanyctus parvicauda",117
"Clevelandia ios",116
"Eucinostomus gracilis",116
"Cheilotrema saturnum",115
"Bathylagus milleri",114
"Glyptocephalus zachirus",114
"Halichoeres semicinctus",114
"Lythrypnus",114
"Lythrypnus dalli",114
"Oneirodes acanthias",114
"Symphurus atramentatus",114
"Cymatogaster aggregata",112
"Electrona subasper",112
"Notoscopelus resplendens",112
"Paralabrax clathratus",112
"Diaphus sp.",111
"Pleuronectidae",111
"Apogonidae",110
"Zaniolepis frenata",110
"Anoplogaster cornuta",109
"Xiphister atropurpureus",109
"Scopeloberyx",108
"Etropus crossotus",107
"Pomacentridae",107
"Sternoptyx pseudobscura",107
"Apogon retrosella",106
"Borostomias panamensis",106
"Hyporhamphus unifasciatus",106
"Rhynchoconger nitens",106
"Scorpaena guttata",106
"Ariidae",105
"Eucinostomus dowii",105
"Gobiidae type C",105
"Labrisomus xanti",105
"Astyanax bimaculatus",104
"Hygophum atratum",104
"Porichthys myriaster",104
"Ophidion scrippsae",103
"Brycon guatemalensis",102
"Lampanyctus sp.",102
"Myripristis leiognathos",102
"Stomias",102
"Gobiesox maeandricus",101
"Gobioidei",101
"Mugil curema",101
"Scopelogadus mizolepis",101
"Canthigaster punctatissimus",100
"Cottus aleuticus",100
"Otophidium taylori",100
"Bathophilus flemingi",99
"Leptocephalus",99
"Zaniolepis latipinnis",99
"Bolinichthys longipes",98
"Labrisomus multiporosus",98
"Sebastes saxicola",98
"Syngnathus",98
"Holocentrus suborbitalis",97
"Cyclothone sp.",96
"Electrona carlsbergi",96
"Halichoeres dispilus",96
"Lampanyctus australis",96
"Mugil cephalus",96
"Coryphopterus urospilus",95
"Lampanyctus macdonaldi",95
"Cyclothone pseudopallida",94
"Holtbyrnia sp.",94
"Syngnathus californiensis",94
"Scorpaena plumieri mystes",93
"Apristurus brunneus",92
"Lampanyctus alatus",92
"Gibbonsia elegans",91
"Lyopsetta exilis",91
"Runula azalea",91
"Rypticus bicolor",91
"Strongylura exilis",91
"Trachipterus altivelis",91
"Anchoa delicatissima",90
"Borostomias",90
"Protomyctophum subparallelum",90
"Scombridae",90
"Sebastolobus alascanus",90
"Synodus lacertinus",90
"Axoclinus carminalis",89
"Hypsoblennius gilberti",89
"Paraclinus integripinnis",89
"Bathylagidae",88
"Eupomacentrus flavilatus",88
"Fundulus parvipinnis",88
"Gymnoscopelus aphya",88
"Lampadena urophaos",88
"Hypsoblennius gentilis",87
"Melamphaidae",87
"Pimephales promelas",87
"Zalembius rosaceus",87
"Aequidens syspilus",86
"Paralabrax nebulifer",86
"Argentina sialis",85
"Cataetyx rubrirostris",85
"Hyperprosopon argenteum",85
"Lycodes pacificus",85
"Myctophum",85
"Sebastes paucispinis",85
"Holacanthus passer",84
"Pellisolus facilis",84
"Abudefduf saxatilis",83
"Chauliodus",83
"Embiotoca jacksoni",83
"Gibbonsia metzi",83
"Hirundichthys oxycephalus",83
"Xererpes fucorum",83
"Anoplarchus purpurescens",82
"Diaphus pacificus",82
"Clinidae type B",81
"Sebastes mystinus",81
"Anchoa compressa",79
"Lepomis macrochirus",79
"Melanocetus johnsoni",79
"Ophiodon elongatus",79
"Cyema atrum",78
"Diodon holocanthus",78
"Epigonidae sp",78
"Pseudupeneus grandisquamis",78
"Tetraodontidae",78
"Icichthys lockingtoni",77
"Sebastes melanops",77
"Semicossyphus pulcher",77
"Syacium ovale",77
"Triphoturus nigrescens",77
"Acanthuridae",76
"Ariosoma",76
"Benthalbella dentata",76
"Chiasmodon subniger",76
"Micropterus salmoides",76
"Parmaturus xaniurus",76
"Phanerodon furcatus",76
"Prognichthys brevipinnis",76
"Cetengraulis mysticetus",75
"Chilara taylori",75
"Gobiesocidae",75
"Pleuronichthys decurrens",75
"Synodus",75
"Taaningichthys bathyphilus",75
"Cirrhitichthys oxycephalus",74
"Hypomesus transpacificus",74
"Hypsypops rubicundus",74
"Idiacanthus",74
"Melanostomiidae",74
"Scaridae",74
"Sebastes semicinctus",74
"Anchoa",73
"Clinidae type A",73
"Holtbyrnia melanocephala",73
"Prionotus stephanophrys",73
"Muraenidae",72
"Sebastes chrysomelas",72
"Caranx caballus",71
"Congridae",71
"Halichoeres nicholsi",71
"Microspathodon dorsalis",71
"Scopelarchidae",71
"Chromis atrilobata",70
"Gonichthys tenuiculus",70
"Paranthias colonus",70
"Pomacanthidae",70
"Symbolophorus evermanni",70
"Anthiinae",69
"Bathylagus nigrigenys",69
"Bathylagus sp.",69
"Benthosema panamense",69
"Diplectrum pacificum",69
"Avocettina sp.",68
"Bathygobius soporator",68
"Macropinna microstoma",68
"Cyclothone microdon",67
"Synodus scituliceps",67
"Cephaloscyllium ventriosum",66
"Chaetodon humeralis",65
"Cichlasoma alfari",65
"Ilypnus gilberti",65
"Petrometopon panamensis",65
"Serranidae",65
"Anchoa naso",64
"Eucinostomus argenteus",64
"Sebastes rastrelliger",64
"Balistes polylepis",63
"Catostomus fumeiventris",63
"Crenicichla",63
"Mycteroperca rosacea",63
"Urolophus halleri",63
"Albula vulpes",62
"Apogon dovii",62
"Icelinus tenuis",62
"Prionace glauca",62
"Sebastes serranoides",62
"Apodichthys flavidus",61
"Cryptopsaras couesi",61
"Gonostoma",61
"Istiophorus platypterus",61
"Lampanyctus intricarius",61
"Malacoctenus hubbsi hubbsi",61
"Otophidium scrippsae",61
"Xeneretmus latifrons",61
"Xiphister mucosus",61
"Achirus mazatlanus",60
"Gobiesox pinniger",60
"Lobianchia dofleini",60
"Melamphaes sp.",60
"Raja inornata",60
"Serranus fasciatus",60
"Sturisoma nigrirostris",60
"Syngnathus auliscus",60
"Diapterus peruvianus",59
"Gonichthys cocco",59
"Hygophum reinhardti",59
"Lampanyctus sp. B",59
"Myrichthys tigrinus",59
"Oligocottus rubellio",59
"Parapercis",59
"Ptychocheilus grandis",59
"Sternoptychidae",59
"Stomias gracilis",59
"Vinciguerria sp.",59
"Alepocephalus tenebrosus",58
"Alfaro huberi",58
"Argyropelecus sp.",58
"Loricaria sp. 2",58
"Medialuna californiensis",58
"Pareques viola",58
"Polydactylus approximans",58
"Sternoptyx pseudodiaphana",58
"Symbolophorus",58
"Acanthurus triostegus",57
"Oligocottus maculosus",57
"Scomberomorus sierra",57
"Scorpaena plumieri",57
"Squalus acanthias",57
"Alepocephalidae",56
"Cichlasoma nigrofasciatum",56
"Cirrhitus rivulatus",56
"Hygophum proximum",56
"Rhamdia guatemalensis",56
"Sebastes melanostomus",56
"Cebidichthys violaceus",55
"Chloroscombrus orqueta",55
"Cichlasoma dovii",55
"Hoplias malabaricus",55
"Lampanyctus pusillus",55
"Pimelodus ornatus",55
"Embiotoca lateralis",54
"Girella simplicidens",54
"Gymnoscopelus bolini",54
