"Continent","Count"
"usa",99313
"mex",23509
"ata",9723
"cri",7155
"idn",3531
"per",3227
"ecu",2824
"phl",2260
"pak",2084
"jam",1805
"ven",1500
"pan",1291
"hnd",1182
"aus",981
"mhl",692
"pri",576
"ken",385
"chl",345
"can",302
"nzl",222
"col",219
"kir",212
"asm",191
"plw",158
"fra",144
"pyf",143
"jpn",136
"fsm",126
"umi",125
"gbr",108
"tto",108
"slb",105
"gum",104
"chn",89
"mdg",87
"slv",82
"cuw",81
"mnp",74
"gtm",66
"bra",57
"nic",54
"bhs",48
"guf",43
"isr",38
"arg",31
"ind",30
"brb",27
"fji",27
"bmu",20
"lka",20
"egy",18
"ury",18
"ita",17
"syc",17
"vir",16
"tha",15
"vnm",15
"rou",14
"abw",13
"nru",12
"yem",12
"sgs",11
"atg",10
"blz",10
"uga",9
"ncl",8
"png",6
"cub",5
"dom",5
"hti",5
"zaf",5
"esp",4
"sen",4
"sgp",4
"wsm",4
"com",3
"dnk",3
"kor",3
"mar",3
"moz",3
"mrt",3
"sur",3
"bel",2
"guy",2
"tza",2
"aia",1
"caf",1
"cym",1
"eri",1
"gin",1
"grl",1
"irn",1
"mdv",1
"mwi",1
"nga",1
"nld",1
"pcn",1
"prt",1
"sdn",1
"swe",1
"tcd",1
"twn",1
"zmb",1
