"Collector","Count"
"1",113
"2",499
"3",14
"4",319
"5",49
"6",32
"7",17
"8",36
"9",10
"10",3
"11",11
"12",3
"13",88
"14",82
"15",7
"16",46
"17",94
"18",39
"19",11
"20",19
"21",2
"22",4
"23",10
"24",33
"25",9
"26",40
"27",2
"28",2
"29",3
"30",6
"31",5
"32",4
"33",2
"35",28
"36",1
"38",2
"41",10
"42",1
"46",6
"48",1
"49",66
"50",5
"51",1
"52",1
"55",1
"56",5
"57",7
"59",20
"60",181
"64",5
"65",3
"68",2
"71",6
"72",733
"74",51
"78",39
"79",101
"82",1
"83",2
"85",12
"88",4
"89",115
"90",2
"91",3
"99",1
"102",1
"105",15
"106",19
"108",3
"110",1
"114",1
"125",27
"135",21
"137",1
"138",2
"139",1
"142",5
"143",1
"145",3
"146",2
"147",4
"148",4
"151",1
"152",1
"154",3
"156",2
"157",2
"159",1
"161",1
"162",1
"163",2
"165",2
"166",1
"167",5
"168",1
"169",1
"171",5
"172",6
"174",4
"175",3
"177",6
"181",1
"182",1
"184",4
"186",7
"188",1
"189",1
"190",2
"191",2
"192",2
"193",1
"194",2
"196",4
"197",4
"199",1
"200",1
"202",2
"205",1
"207",2
"213",1
"216",1
"217",1
"224",1
"228",1
"231",27
"235",1
"239",1
"240",1
"247",2
"254",1
"262",1
"269",2
"270",2
"273",2
"280",11
"283",19
"284",1
"287",1
"293",2
"301",35
"317",1
"328",2
"331",1
"332",2
"341",2
"342",1
"343",1
"348",1
"357",1
"367",1
"373",1
"394",1
"395",1
"397",1
"401",1
"419",1
"420",1
"422",7
"440",1
"469",1
"475",2
"483",1
"520",1
"596",1
"641",1
"655",1
"754",1
"770",1
"783",1
"785",1
"791",1
"795",1
"803",1
"812",1
"853",1
"873",1
"874",1
"905",1
"985",1
"1001",1
"1003",1
"1010",1
"1011",3
"1020",1
"1029",2
"1041",1
"1156",1
"1441",1
"1442",1
"1522",1
"1536",1
"1548",1
"1552",1
"1583",1
"1600",1
"1644",1
"1696",1
"1862",1
"1935",1
"1936",1
"1948",1
"1960",1
"1997",2
"2070",1
"2871",1
"2937",2
"2978",1
"3026",1
"3027",1
"3030",1
"3035",1
"3040",2
"3044",1
"3154",1
"3157",1
"3199",1
"3544",1
"3912",2
"4029",1
"4040",1
"4041",1
"4070",1
"4086",1
"4134",2
"4141",1
"4173",1
"4183",1
"4185",3
"4230",1
"4280",1
"4294",2
"5748",1
"6264",1
"6840",1
"7155",1
"7159",2
"7171",1
"7201",9
"7202",10
"7203",1
"7206",5
"7209",1
"7210",10
"7220",1
"7254",1
"7301",1
"7366",1
"9166",7
"9167",1
"10500",1
"10636",1
"11512",3
"12005",2
"15760",1
"25331",1
"25350",1
"31200",1
"38444",1
"44203",4
"45654",1
"45941",1
"90047",1
"42944351",1
"43694351",2
"r",45566
"v",41356
"usc",39968
"ichthyoplankton",39809
"harbor",39573
"coastal",39570
"studies",39570
"velero",30774
"iv",23952
"research",10704
"vantuna",10652
"group",10651
"usns",10489
"eltanin",10483
"swift",7581
"and",5598
"c",5050
"pty",4859
"alpha",4282
"helix",4282
"ucsb",4252
"j",3974
"al",3795
"et",3674
"w",3649
"m",3498
"party",3465
"walker",3410
"camm",3197
"iii",2952
"b",2778
"bussing",2619
"b.w",2412
"collections",2226
"fish",2210
"mcgowen",2162
"game",2095
"searcher",2071
"k",2011
"tom",1997
"clarke",1843
"g",1778
"a",1721
"collection",1710
"calif",1589
"rosenblatt",1518
"gerald",1496
"adamson",1447
"t",1431
"d",1363
"caldwell",1311
"lavenberg",1310
"baldwin",1299
"h",1242
"e",1201
"david",1135
"neighbors",1128
"nafpaktitis",1107
"pieper",1105
"class",1103
"achamposh",1041
"martin",1024
"seigel",1006
"anton",1004
"bruun",936
"cromwell",922
"l",905
"townsend",883
"fitch",882
"cruise",872
"bell",826
"f",818
"murillo",802
"hobson",787
"robert",771
"mccosker",763
"john",760
"flechsig",703
"s",681
"baskin",673
"huddleston",673
"local",672
"grove",641
"cr",639
"a.o",628
"maximo",620
"of",617
"pitman",600
"alaska",599
"richard",587
"mike",583
"randall",580
"poati",578
"j.e",570
"g.e",561
"stewart",531
"pecos",514
"barlow",504
"mcdiarmid",501
"oregon",499
"vi",497
"e.s",496
"herald",494
"brame",493
"j.a",490
"c.c",487
"wheeler",474
"peter",468
"limbaugh",467
"california",456
"gilbert",455
"norris",453
"charles",452
"earl",449
"ichthyology",448
"saw",445
"fisherman",439
"m.p",438
"mclean",433
"critchlow",432
"bruce",431
"fishermen",421
"spano",421
"halstead",419
"moser",416
"h.g",407
"thomas",404
"r.w",402
"d.j",395
"giacalone",383
"crew",382
"t.a",377
"paxton",373
"w.j",372
"p",366
"texas",356
"n",350
"nmfs",350
"mcfarland",346
"r.j",345
"howe",340
"scott",324
"clemens",322
"chain",320
"ii",320
"gibbs",318
"gotshall",311
"rechnitzer",311
"ken",310
"sta",310
"justice",309
"caywood",307
"kevin",307
"swan",300
"stager",299
"wayne",296
"section",294
"aceituno",291
"findley",284
"wm",279
"k.r",277
"natives",277
"smith",276
"jack",272
"joseph",272
"bunker",269
"welton",269
"m.a",268
"jr",267
"schultz",263
"white",263
"museum",254
"mais",250
"ja",249
"plowden",249
"cohen",248
"australian",247
"coll",246
"c.swift",245
"dan",244
"ta",243
"jim",239
"newman",238
"feeney",235
"bonnie",232
"d.k",232
"hoover",232
"williams",229
"gretchen",228
"hubbs",226
"obando",220
"devaney",218
"shannon",217
"frantz",213
"wintersteen",212
"lea",209
"crabtree",208
"nishimoto",208
"steve",206
"alan",204
"rounds",201
"ted",199
"miller",195
"de",194
"et.al",193
"seapin",192
"munz",191
"cannon",187
"staff",186
"n.c",185
"bortone",184
"m.d",184
"thacker",182
"via",178
"paul",177
"jorge",176
"james",175
"bartholomew",174
"from",168
"peterson",167
"taylor",167
"robison",166
"rv",166
"dept",164
"c.l",163
"lundberg",163
"walters",163
"pinkas",162
"atlantis",159
"cfgab26",156
"quast",156
"g.w",155
"bleck",154
"janss",153
"for",151
"foster",151
"in",151
"abele",150
"ca",150
"rudloe",150
"collette",149
"expedition",148
"otolith",148
"per",147
"craig",144
"gomez",144
"r.lavenberg",142
"bob",141
"haglund",139
"eastward",138
"william",138
"jow",137
"scofield",137
"on",136
"lopez",134
"bakus",133
"b.b",132
"j.fich",129
"abc",128
"stephen",128
"charge",127
"l.t",127
"mec",127
"fierstine",126
"comm",124
"george",124
"jordan",124
"inst",122
"purchased",121
"cf",119
"greenfield",119
"johnson",119
"marsh",119
"mote",119
"bill",118
"burge",118
"doheny",118
"wes",118
"d.k.c",117
"jimenez",117
"michael",117
"reese",117
"mar",115
"vcharles",115
"don",114
"mbc",114
"lt",112
"castro",110
"native",110
"oda",110
"cal",109
"boat",106
"gordon",106
"j.t",106
"haas",105
"r.t",105
"squire",105
"thompson",105
"toller",105
"applegate",104
"goldberg",104
"jn",104
"laurence",104
"savage",104
"campbell",103
"hal",103
"m.b.c",103
"costa",102
"jurado",102
"l.p",102
"rica",102
"paulson",101
"bay",100
"no",100
"ray",100
"teuthis",100
"6b",99
"chris",99
"silver",99
"shirley",98
"marine",97
"wilson",97
"mago",96
"perry",96
"cinms",95
"iattc",95
"j.l",95
"mitchell",94
"shrimp",94
"beck",93
"larry",93
"imsand",92
"cont",91
"berdegue",90
"claemd",90
"la",89
"mills",89
"crane",88
"t.r",88
"balazes",87
"cadle",87
"dj",87
"rhodes",87
"ucla",87
"brock",86
"fred",86
"allen",85
"hardman",85
"k.e",85
"leon",85
"duffy",83
"howard",83
"shari",83
"u.c.l.a",82
"univ",82
"unknown",82
"king",81
