"Country","Count"
"united states",99313
"mexico",23509
"antarctica",9723
"costa rica",7155
"indonesia",3531
"peru",3227
"ecuador",2824
"philippines",2260
"pakistan",2084
"jamaica",1805
"venezuela",1500
"panama",1291
"honduras",1182
"australia",981
"marshall islands",692
"puerto rico",576
"kenya",385
"chile",345
"canada",302
"new zealand",222
"colombia",219
"kiribati",212
"american samoa",191
"palau",158
"france",144
"french polynesia",143
"japan",136
"federated states of micronesia",126
"united states minor outlying islands",125
"trinidad and tobago",108
"united kingdom",108
"solomon islands",105
"guam",104
"china",89
"madagascar",87
"el salvador",82
"curaçao",81
"northern mariana islands",74
"guatemala",66
"brazil",57
"nicaragua",54
"bahamas",48
"french guiana",43
"israel",38
"argentina",31
"india",30
"barbados",27
"fiji",27
"bermuda",20
"sri lanka",20
"egypt",18
"uruguay",18
"italy",17
"seychelles",17
"virgin islands, u.s.",16
"thailand",15
"vietnam",15
"romania",14
"aruba",13
"nauru",12
"yemen",12
"south georgia and the south sandwich islands",11
"antigua and barbuda",10
"belize",10
"uganda",9
"new caledonia",8
"papua new guinea",6
"russia",6
"cuba",5
"dominican republic",5
"haiti",5
"south africa",5
"samoa",4
"senegal",4
"singapore",4
"spain",4
"territoire des terres australes et antarctiques françaises",4
"british virgin islands",3
"comoros",3
"denmark",3
"mauritania",3
"morocco",3
"mozambique",3
"south korea",3
"suriname",3
"belgium",2
"guyana",2
"tanzania",2
"anguilla",1
"cayman islands",1
"central african republic",1
"chad",1
"eritrea",1
"greenland",1
"guinea",1
"iran",1
"malawi",1
"maldives",1
"netherlands",1
"nigeria",1
"pitcairn",1
"portugal",1
"sudan",1
"sweden",1
"taiwan",1
"zambia",1
