"Waterbody","Count"
"north pacific ocean",108694
"pacific ocean",6312
"caribbean sea",3257
"indian ocean",2734
"eastern pacific ocean",2487
"south pacific ocean",1949
"gulf of mexico",1058
"central pacific ocean",969
"north atlantic ocean",930
"mar de cortés",442
"southeast pacific ocean",388
"southwest pacific ocean",343
"western pacific ocean",237
"northwest atlantic ocean",201
"central atlantic ocean",125
"south atlantic ocean",102
"red sea",47
"western north atlantic ocean",38
"western atlantic ocean",37
"mediterranean sea",34
"eastern atlantic ocean",21
"gulf of panama",11
"south china sea",10
"southern ocean",9
"arctic ocean",4
"eastern north atlantic ocean",4
"bering sea",3
"sea of okhotsk",2
"carribbean sea",1
