"dwc.preparations","freq"
"alcoholic",14191
"formalin",123
"dry skeleton",3
"Isopropanol",3
"EtOH | Tissue: 1014",2
"EtOH | Tissue: 1134",2
"EtOH | Tissue: 2396",2
"EtOH | Tissue: 305",2
"EtOH | Tissue: 4648",2
"EtOH | Tissue: 4985",2
"EtOH | Tissue: 5129",2
"EtOH | Tissue: 958",2
"cleared and stained",1
"dry",1
"EtOH | Tissue: 1",1
"EtOH | Tissue: 100",1
"EtOH | Tissue: 1000",1
"EtOH | Tissue: 1001",1
"EtOH | Tissue: 1002",1
"EtOH | Tissue: 1003",1
"EtOH | Tissue: 1004",1
"EtOH | Tissue: 1005",1
"EtOH | Tissue: 1006",1
"EtOH | Tissue: 1007",1
"EtOH | Tissue: 1008",1
"EtOH | Tissue: 1009",1
"EtOH | Tissue: 101",1
"EtOH | Tissue: 1010",1
"EtOH | Tissue: 1011",1
"EtOH | Tissue: 1012",1
"EtOH | Tissue: 1013",1
"EtOH | Tissue: 1015",1
"EtOH | Tissue: 1016",1
"EtOH | Tissue: 1017",1
"EtOH | Tissue: 102",1
"EtOH | Tissue: 1026",1
"EtOH | Tissue: 103",1
"EtOH | Tissue: 1032",1
"EtOH | Tissue: 1033",1
"EtOH | Tissue: 1034",1
"EtOH | Tissue: 1035",1
"EtOH | Tissue: 1036",1
"EtOH | Tissue: 1037",1
"EtOH | Tissue: 1038",1
"EtOH | Tissue: 1039",1
"EtOH | Tissue: 104",1
"EtOH | Tissue: 1040",1
"EtOH | Tissue: 1041",1
"EtOH | Tissue: 1042",1
"EtOH | Tissue: 1043",1
"EtOH | Tissue: 1044",1
"EtOH | Tissue: 1045",1
"EtOH | Tissue: 1046",1
"EtOH | Tissue: 1047",1
"EtOH | Tissue: 1048",1
"EtOH | Tissue: 1049",1
"EtOH | Tissue: 105",1
"EtOH | Tissue: 1050",1
"EtOH | Tissue: 1051",1
"EtOH | Tissue: 1052",1
"EtOH | Tissue: 1053",1
"EtOH | Tissue: 1054",1
"EtOH | Tissue: 1055",1
"EtOH | Tissue: 1056",1
"EtOH | Tissue: 1057",1
"EtOH | Tissue: 1058",1
"EtOH | Tissue: 1059",1
"EtOH | Tissue: 106",1
"EtOH | Tissue: 1060",1
"EtOH | Tissue: 1061",1
"EtOH | Tissue: 1062",1
"EtOH | Tissue: 1063",1
"EtOH | Tissue: 1064",1
"EtOH | Tissue: 1065",1
"EtOH | Tissue: 1066",1
"EtOH | Tissue: 1067",1
"EtOH | Tissue: 1068",1
"EtOH | Tissue: 1069",1
"EtOH | Tissue: 107",1
"EtOH | Tissue: 1070",1
"EtOH | Tissue: 1071",1
"EtOH | Tissue: 1072",1
"EtOH | Tissue: 1073",1
"EtOH | Tissue: 108",1
"EtOH | Tissue: 1084",1
"EtOH | Tissue: 109",1
"EtOH | Tissue: 11",1
"EtOH | Tissue: 110",1
"EtOH | Tissue: 1103",1
"EtOH | Tissue: 1106",1
"EtOH | Tissue: 111",1
"EtOH | Tissue: 1116",1
"EtOH | Tissue: 1117",1
"EtOH | Tissue: 112",1
"EtOH | Tissue: 1124",1
"EtOH | Tissue: 1127",1
"EtOH | Tissue: 1128",1
"EtOH | Tissue: 1129",1
"EtOH | Tissue: 113",1
"EtOH | Tissue: 1132",1
"EtOH | Tissue: 1135",1
"EtOH | Tissue: 1138",1
"EtOH | Tissue: 114",1
"EtOH | Tissue: 1141",1
"EtOH | Tissue: 1144",1
"EtOH | Tissue: 1149",1
"EtOH | Tissue: 115",1
"EtOH | Tissue: 1151",1
"EtOH | Tissue: 1153",1
"EtOH | Tissue: 1155",1
"EtOH | Tissue: 1156",1
"EtOH | Tissue: 1159",1
"EtOH | Tissue: 116",1
"EtOH | Tissue: 1160",1
"EtOH | Tissue: 1161",1
"EtOH | Tissue: 1165",1
"EtOH | Tissue: 1167",1
"EtOH | Tissue: 1168",1
"EtOH | Tissue: 1169",1
"EtOH | Tissue: 117",1
"EtOH | Tissue: 1171",1
"EtOH | Tissue: 1173",1
"EtOH | Tissue: 1178",1
"EtOH | Tissue: 1179",1
"EtOH | Tissue: 118",1
"EtOH | Tissue: 1180",1
"EtOH | Tissue: 1181",1
"EtOH | Tissue: 1184",1
"EtOH | Tissue: 1185",1
"EtOH | Tissue: 1187",1
"EtOH | Tissue: 1189",1
"EtOH | Tissue: 119",1
"EtOH | Tissue: 1190",1
"EtOH | Tissue: 1192",1
"EtOH | Tissue: 1194",1
"EtOH | Tissue: 1198",1
"EtOH | Tissue: 12",1
"EtOH | Tissue: 120",1
"EtOH | Tissue: 1200",1
"EtOH | Tissue: 1201",1
"EtOH | Tissue: 1202",1
"EtOH | Tissue: 1205",1
"EtOH | Tissue: 1206",1
"EtOH | Tissue: 1207",1
"EtOH | Tissue: 1209",1
"EtOH | Tissue: 121",1
"EtOH | Tissue: 1211",1
"EtOH | Tissue: 1212",1
"EtOH | Tissue: 1214",1
"EtOH | Tissue: 1215",1
"EtOH | Tissue: 1218",1
"EtOH | Tissue: 122",1
"EtOH | Tissue: 1220",1
"EtOH | Tissue: 1221",1
"EtOH | Tissue: 1222",1
"EtOH | Tissue: 1225",1
"EtOH | Tissue: 1228",1
"EtOH | Tissue: 123",1
"EtOH | Tissue: 1230",1
"EtOH | Tissue: 1232",1
"EtOH | Tissue: 1234",1
"EtOH | Tissue: 1236",1
"EtOH | Tissue: 1238",1
"EtOH | Tissue: 1239",1
"EtOH | Tissue: 124",1
"EtOH | Tissue: 1240",1
"EtOH | Tissue: 1242",1
"EtOH | Tissue: 1243",1
"EtOH | Tissue: 1244",1
"EtOH | Tissue: 1245",1
"EtOH | Tissue: 1248",1
"EtOH | Tissue: 125",1
"EtOH | Tissue: 1251",1
"EtOH | Tissue: 1253",1
"EtOH | Tissue: 1255",1
"EtOH | Tissue: 1257",1
"EtOH | Tissue: 1259",1
"EtOH | Tissue: 126",1
"EtOH | Tissue: 1260",1
"EtOH | Tissue: 1261",1
"EtOH | Tissue: 1262",1
"EtOH | Tissue: 1263",1
"EtOH | Tissue: 1264",1
"EtOH | Tissue: 1265",1
"EtOH | Tissue: 1266",1
"EtOH | Tissue: 1267",1
"EtOH | Tissue: 1268",1
"EtOH | Tissue: 1269",1
"EtOH | Tissue: 127",1
"EtOH | Tissue: 1270",1
"EtOH | Tissue: 1271",1
"EtOH | Tissue: 1272",1
"EtOH | Tissue: 1273",1
"EtOH | Tissue: 1274",1
"EtOH | Tissue: 1275",1
"EtOH | Tissue: 1276",1
"EtOH | Tissue: 1277",1
"EtOH | Tissue: 1278",1
"EtOH | Tissue: 1279",1
"EtOH | Tissue: 128",1
"EtOH | Tissue: 1280",1
"EtOH | Tissue: 1281",1
"EtOH | Tissue: 1284",1
"EtOH | Tissue: 129",1
"EtOH | Tissue: 1290",1
"EtOH | Tissue: 1291",1
"EtOH | Tissue: 1293",1
"EtOH | Tissue: 1295",1
"EtOH | Tissue: 1296",1
"EtOH | Tissue: 1297",1
"EtOH | Tissue: 1298",1
"EtOH | Tissue: 1299",1
"EtOH | Tissue: 13",1
"EtOH | Tissue: 130",1
"EtOH | Tissue: 1300",1
"EtOH | Tissue: 1303",1
"EtOH | Tissue: 1304",1
"EtOH | Tissue: 1305",1
"EtOH | Tissue: 1306",1
"EtOH | Tissue: 1307",1
"EtOH | Tissue: 1308",1
"EtOH | Tissue: 1309",1
"EtOH | Tissue: 131",1
"EtOH | Tissue: 1310",1
"EtOH | Tissue: 1311",1
"EtOH | Tissue: 1314",1
"EtOH | Tissue: 1317",1
"EtOH | Tissue: 1319",1
"EtOH | Tissue: 132",1
"EtOH | Tissue: 1320",1
"EtOH | Tissue: 1322",1
"EtOH | Tissue: 1323",1
"EtOH | Tissue: 1328",1
"EtOH | Tissue: 1329",1
"EtOH | Tissue: 133",1
"EtOH | Tissue: 1330",1
"EtOH | Tissue: 1331",1
"EtOH | Tissue: 1332",1
"EtOH | Tissue: 1333",1
"EtOH | Tissue: 1334",1
"EtOH | Tissue: 1337",1
"EtOH | Tissue: 1339",1
"EtOH | Tissue: 134",1
"EtOH | Tissue: 1340",1
"EtOH | Tissue: 1341",1
"EtOH | Tissue: 1342",1
"EtOH | Tissue: 1343",1
"EtOH | Tissue: 1344",1
"EtOH | Tissue: 1346",1
"EtOH | Tissue: 1348",1
"EtOH | Tissue: 135",1
"EtOH | Tissue: 1353",1
"EtOH | Tissue: 1355",1
"EtOH | Tissue: 1356",1
"EtOH | Tissue: 1359",1
"EtOH | Tissue: 136",1
"EtOH | Tissue: 1362",1
"EtOH | Tissue: 1363",1
"EtOH | Tissue: 1367",1
"EtOH | Tissue: 137",1
"EtOH | Tissue: 1372",1
"EtOH | Tissue: 1373",1
"EtOH | Tissue: 1374",1
"EtOH | Tissue: 1375",1
"EtOH | Tissue: 1376",1
"EtOH | Tissue: 1379",1
"EtOH | Tissue: 138",1
"EtOH | Tissue: 1380",1
"EtOH | Tissue: 1383",1
"EtOH | Tissue: 1386",1
"EtOH | Tissue: 1387",1
"EtOH | Tissue: 1388",1
"EtOH | Tissue: 1391",1
"EtOH | Tissue: 1393",1
"EtOH | Tissue: 1396",1
"EtOH | Tissue: 14",1
"EtOH | Tissue: 1401",1
"EtOH | Tissue: 1403",1
"EtOH | Tissue: 1405",1
"EtOH | Tissue: 1406",1
"EtOH | Tissue: 1408",1
"EtOH | Tissue: 141",1
"EtOH | Tissue: 1412",1
"EtOH | Tissue: 1414",1
"EtOH | Tissue: 1416",1
"EtOH | Tissue: 1418",1
"EtOH | Tissue: 1420",1
"EtOH | Tissue: 1422",1
"EtOH | Tissue: 1424",1
"EtOH | Tissue: 1426",1
"EtOH | Tissue: 1428",1
"EtOH | Tissue: 1429",1
"EtOH | Tissue: 1431",1
"EtOH | Tissue: 1432",1
"EtOH | Tissue: 1433",1
"EtOH | Tissue: 1438",1
"EtOH | Tissue: 1439",1
"EtOH | Tissue: 1440",1
"EtOH | Tissue: 1441",1
"EtOH | Tissue: 1442",1
"EtOH | Tissue: 1445",1
"EtOH | Tissue: 1446",1
"EtOH | Tissue: 145",1
"EtOH | Tissue: 1451",1
"EtOH | Tissue: 1452",1
"EtOH | Tissue: 1453",1
"EtOH | Tissue: 1454",1
"EtOH | Tissue: 1459",1
"EtOH | Tissue: 146",1
"EtOH | Tissue: 1463",1
"EtOH | Tissue: 1468",1
"EtOH | Tissue: 147",1
"EtOH | Tissue: 1474",1
"EtOH | Tissue: 1475",1
"EtOH | Tissue: 1477",1
"EtOH | Tissue: 1480",1
"EtOH | Tissue: 1481",1
"EtOH | Tissue: 1485",1
"EtOH | Tissue: 1492",1
"EtOH | Tissue: 1493",1
"EtOH | Tissue: 1494",1
"EtOH | Tissue: 15",1
"EtOH | Tissue: 1500",1
"EtOH | Tissue: 1504",1
"EtOH | Tissue: 1507",1
"EtOH | Tissue: 151",1
"EtOH | Tissue: 1512",1
"EtOH | Tissue: 1514",1
"EtOH | Tissue: 1517",1
"EtOH | Tissue: 152",1
"EtOH | Tissue: 1520",1
"EtOH | Tissue: 1524",1
"EtOH | Tissue: 1525",1
"EtOH | Tissue: 1526",1
"EtOH | Tissue: 1529",1
"EtOH | Tissue: 153",1
"EtOH | Tissue: 1532",1
"EtOH | Tissue: 1533",1
"EtOH | Tissue: 1534",1
"EtOH | Tissue: 1536",1
"EtOH | Tissue: 154",1
"EtOH | Tissue: 1541",1
"EtOH | Tissue: 1543",1
"EtOH | Tissue: 1548",1
"EtOH | Tissue: 155",1
"EtOH | Tissue: 1553",1
"EtOH | Tissue: 1556",1
"EtOH | Tissue: 156",1
"EtOH | Tissue: 1561",1
"EtOH | Tissue: 1562",1
"EtOH | Tissue: 1567",1
"EtOH | Tissue: 157",1
"EtOH | Tissue: 1572",1
"EtOH | Tissue: 1573",1
"EtOH | Tissue: 1574",1
"EtOH | Tissue: 1579",1
"EtOH | Tissue: 158",1
"EtOH | Tissue: 1580",1
"EtOH | Tissue: 1581",1
"EtOH | Tissue: 1583",1
"EtOH | Tissue: 1586",1
"EtOH | Tissue: 159",1
"EtOH | Tissue: 1591",1
"EtOH | Tissue: 1596",1
"EtOH | Tissue: 16",1
"EtOH | Tissue: 160",1
"EtOH | Tissue: 1603",1
"EtOH | Tissue: 1604",1
"EtOH | Tissue: 161",1
"EtOH | Tissue: 1610",1
"EtOH | Tissue: 1611",1
"EtOH | Tissue: 1616",1
"EtOH | Tissue: 1617",1
"EtOH | Tissue: 162",1
"EtOH | Tissue: 1620",1
"EtOH | Tissue: 1622",1
"EtOH | Tissue: 1626",1
"EtOH | Tissue: 163",1
"EtOH | Tissue: 1631",1
"EtOH | Tissue: 1632",1
"EtOH | Tissue: 1637",1
"EtOH | Tissue: 1639",1
"EtOH | Tissue: 164",1
"EtOH | Tissue: 1641",1
"EtOH | Tissue: 1642",1
"EtOH | Tissue: 1647",1
"EtOH | Tissue: 1648",1
"EtOH | Tissue: 165",1
"EtOH | Tissue: 1651",1
"EtOH | Tissue: 1654",1
"EtOH | Tissue: 1655",1
"EtOH | Tissue: 16561",1
"EtOH | Tissue: 1658",1
"EtOH | Tissue: 166",1
"EtOH | Tissue: 1663",1
"EtOH | Tissue: 1664",1
"EtOH | Tissue: 1666",1
"EtOH | Tissue: 1668",1
"EtOH | Tissue: 1669",1
"EtOH | Tissue: 167",1
"EtOH | Tissue: 1672",1
"EtOH | Tissue: 1675",1
"EtOH | Tissue: 1676",1
"EtOH | Tissue: 1678",1
"EtOH | Tissue: 168",1
"EtOH | Tissue: 1681",1
"EtOH | Tissue: 1682",1
"EtOH | Tissue: 1683",1
"EtOH | Tissue: 1685",1
"EtOH | Tissue: 169",1
"EtOH | Tissue: 1690",1
"EtOH | Tissue: 1691",1
"EtOH | Tissue: 1694",1
"EtOH | Tissue: 1697",1
"EtOH | Tissue: 17",1
"EtOH | Tissue: 170",1
"EtOH | Tissue: 1702",1
"EtOH | Tissue: 1704",1
"EtOH | Tissue: 1705",1
"EtOH | Tissue: 171",1
"EtOH | Tissue: 1710",1
"EtOH | Tissue: 1713",1
"EtOH | Tissue: 1714",1
"EtOH | Tissue: 1715",1
"EtOH | Tissue: 1716",1
"EtOH | Tissue: 1719",1
"EtOH | Tissue: 172",1
"EtOH | Tissue: 1722",1
"EtOH | Tissue: 1725",1
"EtOH | Tissue: 1727",1
"EtOH | Tissue: 1728",1
"EtOH | Tissue: 173",1
"EtOH | Tissue: 1731",1
"EtOH | Tissue: 1732",1
"EtOH | Tissue: 1735",1
"EtOH | Tissue: 1736",1
"EtOH | Tissue: 1737",1
"EtOH | Tissue: 174",1
"EtOH | Tissue: 1742",1
"EtOH | Tissue: 1744",1
"EtOH | Tissue: 1747",1
"EtOH | Tissue: 1748",1
"EtOH | Tissue: 175",1
"EtOH | Tissue: 1751",1
"EtOH | Tissue: 1754",1
"EtOH | Tissue: 1758-1766, 1766-1773",1
"EtOH | Tissue: 176",1
"EtOH | Tissue: 1767, 1774",1
"EtOH | Tissue: 1775-76",1
"EtOH | Tissue: 1777",1
"EtOH | Tissue: 1778",1
"EtOH | Tissue: 1779-1782",1
"EtOH | Tissue: 178",1
"EtOH | Tissue: 1783-1787",1
"EtOH | Tissue: 1788",1
"EtOH | Tissue: 1789",1
"EtOH | Tissue: 1791-1792",1
"EtOH | Tissue: 1792-1795",1
"EtOH | Tissue: 1796",1
"EtOH | Tissue: 1797-1802, 1815",1
"EtOH | Tissue: 18",1
"EtOH | Tissue: 180",1
"EtOH | Tissue: 1803-1805",1
"EtOH | Tissue: 1806-1808",1
"EtOH | Tissue: 1809-1810",1
"EtOH | Tissue: 1811-1812",1
"EtOH | Tissue: 1813-14",1
"EtOH | Tissue: 1816-17",1
"EtOH | Tissue: 1818",1
"EtOH | Tissue: 1819",1
"EtOH | Tissue: 182",1
"EtOH | Tissue: 1821-1822",1
"EtOH | Tissue: 1823-26",1
"EtOH | Tissue: 1827-28",1
"EtOH | Tissue: 1829-1830",1
"EtOH | Tissue: 183",1
"EtOH | Tissue: 1831-1843",1
"EtOH | Tissue: 184",1
"EtOH | Tissue: 1844",1
"EtOH | Tissue: 1845, 1850, 1854-1855",1
"EtOH | Tissue: 1847-1847, 1858",1
"EtOH | Tissue: 1849",1
"EtOH | Tissue: 185",1
"EtOH | Tissue: 1851, 1865",1
"EtOH | Tissue: 1852",1
"EtOH | Tissue: 1853",1
"EtOH | Tissue: 1856, 1864",1
"EtOH | Tissue: 1857,59-60",1
"EtOH | Tissue: 186",1
"EtOH | Tissue: 1862",1
"EtOH | Tissue: 1863",1
"EtOH | Tissue: 1866",1
"EtOH | Tissue: 1866-1867",1
"EtOH | Tissue: 1869-74",1
"EtOH | Tissue: 187",1
"EtOH | Tissue: 1875-76",1
"EtOH | Tissue: 1877",1
"EtOH | Tissue: 1878",1
"EtOH | Tissue: 1879-83",1
"EtOH | Tissue: 188",1
"EtOH | Tissue: 1884-88",1
"EtOH | Tissue: 1889-91",1
"EtOH | Tissue: 189",1
"EtOH | Tissue: 1892-93",1
"EtOH | Tissue: 1894",1
"EtOH | Tissue: 1895",1
"EtOH | Tissue: 1896",1
"EtOH | Tissue: 1897-98",1
"EtOH | Tissue: 1899",1
"EtOH | Tissue: 19",1
"EtOH | Tissue: 190",1
"EtOH | Tissue: 1900",1
"EtOH | Tissue: 1901, 1919",1
"EtOH | Tissue: 1902-05,1910,1915",1
"EtOH | Tissue: 1906, 1913, 1917",1
"EtOH | Tissue: 1907-1912",1
"EtOH | Tissue: 191",1
"EtOH | Tissue: 1912",1
"EtOH | Tissue: 1916",1
"EtOH | Tissue: 1918",1
"EtOH | Tissue: 1919",1
"EtOH | Tissue: 192",1
"EtOH | Tissue: 1920-26",1
"EtOH | Tissue: 1927",1
"EtOH | Tissue: 1928",1
"EtOH | Tissue: 1929-30",1
"EtOH | Tissue: 193",1
"EtOH | Tissue: 1931",1
"EtOH | Tissue: 1932-34",1
"EtOH | Tissue: 1935-38",1
"EtOH | Tissue: 194",1
"EtOH | Tissue: 1941",1
"EtOH | Tissue: 1942",1
"EtOH | Tissue: 1943-51",1
"EtOH | Tissue: 195",1
"EtOH | Tissue: 1952",1
"EtOH | Tissue: 1953",1
"EtOH | Tissue: 1954",1
"EtOH | Tissue: 1955",1
"EtOH | Tissue: 1956",1
"EtOH | Tissue: 1957",1
"EtOH | Tissue: 1958-59",1
"EtOH | Tissue: 196",1
"EtOH | Tissue: 1960-69",1
"EtOH | Tissue: 197",1
"EtOH | Tissue: 1970-72",1
"EtOH | Tissue: 1973-77",1
"EtOH | Tissue: 198",1
"EtOH | Tissue: 1980-84",1
"EtOH | Tissue: 1985-89",1
"EtOH | Tissue: 199",1
"EtOH | Tissue: 1990-92",1
"EtOH | Tissue: 1997-99",1
"EtOH | Tissue: 2",1
"EtOH | Tissue: 20",1
"EtOH | Tissue: 200",1
"EtOH | Tissue: 2000-2002",1
"EtOH | Tissue: 2003-05",1
"EtOH | Tissue: 2006-07",1
"EtOH | Tissue: 2008-13",1
"EtOH | Tissue: 201",1
"EtOH | Tissue: 2014-15",1
"EtOH | Tissue: 2016-17",1
"EtOH | Tissue: 2018",1
"EtOH | Tissue: 2019-23",1
"EtOH | Tissue: 202",1
"EtOH | Tissue: 2024-27",1
"EtOH | Tissue: 2028",1
"EtOH | Tissue: 2029",1
"EtOH | Tissue: 203",1
"EtOH | Tissue: 2030",1
"EtOH | Tissue: 2031",1
"EtOH | Tissue: 2032",1
"EtOH | Tissue: 2033",1
"EtOH | Tissue: 2034",1
"EtOH | Tissue: 2035",1
"EtOH | Tissue: 2036",1
"EtOH | Tissue: 2037",1
"EtOH | Tissue: 2038-40",1
"EtOH | Tissue: 204",1
"EtOH | Tissue: 2041",1
"EtOH | Tissue: 2042-43",1
