"Family","Count"
"Centrarchidae",1780
"Cyprinidae",1773
"Poeciliidae",1139
"Sciaenidae",793
"Gobiidae",765
"Cichlidae",714
"Fundulidae",708
"Percidae",632
"Clupeidae",610
"Ictaluridae",411
"Atherinopsidae",408
"Characidae",382
"Catostomidae",367
"Mugilidae",344
"Carangidae",291
"Engraulidae",247
"Eleotridae",240
"Paralichthyidae",227
"Sparidae",216
"Blenniidae",204
"Gerreidae",150
"Ariidae",140
"Syngnathidae",140
"Leiognathidae",138
"Cyprinodontidae",127
"Synodontidae",126
"Lepisosteidae",125
"Tetraodontidae",122
"Achiridae",118
"Esocidae",117
"Aphredoderidae",110
"Pomacentridae",109
"Apogonidae",105
"Belonidae",102
"Cynoglossidae",101
"Labridae",100
"Serranidae",97
"Triglidae",97
"Cirrhitidae",80
"Lutjanidae",80
"Atherinidae",79
"Goodeidae",75
"Heptapteridae",75
"Scorpaenidae",75
"Elopidae",74
"Batrachoididae",69
"Centropomidae",68
"Moronidae",59
"Elassomatidae",56
"Monacanthidae",54
"Ephippidae",52
"Holocentridae",48
"Ophidiidae",48
"Stromateidae",47
"Haemulidae",46
"Acanthuridae",44
"Kuhliidae",43
"Ophichthidae",43
"Muraenidae",42
"Dasyatidae",40
"Polynemidae",40
"Trichiuridae",39
"Hemiramphidae",38
"Callionymidae",37
"Mullidae",37
"Sphyraenidae",36
"Loricariidae",35
"Platycephalidae",34
"Scombridae",34
"Anguillidae",33
"Ogcocephalidae",32
"Cottidae",31
"Petromyzontidae",31
"Profundulidae",30
"Chaetodontidae",29
"Gobiesocidae",28
"Sillaginidae",26
"Soleidae",24
"Uranoscopidae",23
"Aplocheilidae",22
"Pinguipedidae",22
"Balistidae",21
"Amiidae",20
"Antennariidae",20
"Gadidae",20
"Congridae",19
"Nemipteridae",19
"Siganidae",18
"Bothidae",17
"Macrouridae",17
"Terapontidae",17
"Plotosidae",16
"Ambassidae",15
"Pristigasteridae",15
"Synbranchidae",15
"Curimatidae",14
"Diodontidae",14
"Lethrinidae",14
"Priacanthidae",14
"Salmonidae",14
"Acropomatidae",12
"Myctophidae",12
"Polyodontidae",12
"Pseudochromidae",12
"Anablepidae",11
"Labrisomidae",11
"Opistognathidae",11
"Ostraciidae",11
"Caracanthidae",10
"Chlorophthalmidae",10
"Echeneidae",10
