"dwc.scientificName","freq"
"",401
"Lepomis macrochirus",335
"Cyprinella venusta",263
"Gambusia affinis",258
"Micropterus salmoides",219
"Lepomis megalotis",205
"Dorosoma cepedianum",197
"Poecilia latipinna",192
"Menidia beryllina",184
"Astyanax aeneus",182
"Fundulus olivaceus",176
"Anchoa mitchilli",161
"Mugil cephalus",155
"Dorosoma petenense",149
"Lepomis gulosus",140
"Brevoortia patronus",136
"Poecilia gillii",136
"Pomoxis nigromaculatus",136
"Labidesthes sicculus",132
"Fundulus grandis",131
"Leiostomus xanthurus",130
"Notemigonus crysoleucas",130
"Lagodon rhomboides",127
"Notropis longirostris",125
"Cyprinodon variegatus",121
"Ictalurus punctatus",121
"Pimephales vigilax",119
"Opsopoeodus emiliae",113
"Aphredoderus sayanus",110
"Pomoxis annularis",109
"Lepomis microlophus",107
"Micropogonias undulatus",102
"Notropis texanus",101
"Esox americanus",97
"Fundulus similis",97
"Micropterus punctulatus",97
"Luxilus chrysocephalus",94
"Cynoscion nebulosus",93
"Lepomis cyanellus",93
"Cynoscion arenarius",87
"Lepisosteus oculatus",82
"Arius felis",81
"Aplodinotus grunniens",80
"Lepomis marginatus",79
"Strongylura marina",76
"Hypentelium nigricans",74
"Mugil curema",73
"Lentipes concolor",71
"Percina nigrofasciata",71
"Citharichthys spilopterus",70
"Elops saurus",70
"Trinectes maculatus",70
"Ammocrypta beani",69
"Parablennius parvicornis",68
"Lepomis humilis",67
"Mauligobius maderensis",66
"Moxostoma poecilurum",65
"Notropis volucellus",65
"Sicyopterus stimpsoni",64
"Adinia xenica",63
"Vieja maculicauda",63
"Bairdiella chrysoura",60
"Cryptoheros cutteri",60
"Alfaro huberi",58
"Symphurus plagiusa",58
"Agonostomus monticola",56
"Elassoma zonatum",56
"Awaous stamineus",55
"Paralichthys lethostigma",55
"Synodus foetens",55
"Carpiodes carpio",54
"Fundulus chrysotus",51
"Menidia audens",50
"Etheostoma chlorosomum",49
"Oligoplites saurus",49
"Chloroscombrus chrysurus",48
"Gobiomorus dormitor",48
"Atherinella milleri",47
"Macrhybopsis storeriana",47
"Chaetodipterus faber",45
"Etheostoma gracile",45
"Lucania parva",45
"Poeciliopsis pleurospilus",45
"Archosargus probatocephalus",44
"Centrarchus macropterus",44
"Etheostoma stigmaeum",44
"Ictiobus bubalus",43
"Notropis atherinoides",43
"Sciaenops ocellata",43
"Amatitlania siquia",42
"Eucinostomus gula",42
"Ictalurus natalis",42
"Pogonias cromis",42
"Prionotus tribulus",42
"Ameiurus melas",41
"Percina sciera",41
"Evorthodus lyricus",40
"Noturus leptacanthus",40
"Noturus miurus",40
"Sphoeroides parvus",40
"Erimyzon tenuis",39
"Gobionellus boleosoma",39
"Pimephales notatus",39
"Dormitator maculatus",38
"Neocirrhites armatus",38
"Cyprinella camura",37
"Ictalurus furcatus",37
"Lythrurus umbratilis",37
"Poecilia",37
"Caranx hippos",36
"Etropus crossotus",36
"Gobiosoma bosc",36
"Rhamdia guatemalensis",36
"Stenogobius hawaiiensis",36
"Trichiurus lepturus",36
"Amphilophus longimanus",35
"Coryphoblennius galerita",35
"Etheostoma caeruleum",35
"Rhamdia laticauda",35
"Achirus lineatus",34
"Ambloplites ariommus",34
"Astyanax fasciatus",34
"Belonesox belizanus",34
"Gobius paganellus",34
"Luxilus cornutus",34
"Membras martinica",34
"Etheostoma proeliare",33
"Syngnathus scovelli",33
"Trachinotus carolinus",33
"Anguilla rostrata",32
"Lythrurus fumeus",32
"Cichlasoma urophthalmum",31
"Opsanus beta",31
"Poecilia mexicana",31
"Amphilophus robertsoni",30
"Anchoa hepsetus",30
"Awaous banana",30
"Nocomis leptocephalus",30
"Semotilus atromaculatus",30
"Fundulus pulvereus",29
"Gobiomorus maculatus",29
"Lythrurus roseipinnis",29
"Eleotris sandwichensis",28
"Morone chrysops",28
"Amatitlania nigrofasciata",27
"Bagre marinus",27
"Brycon guatemalensis",27
"Chelon labrosus",27
"Cyprinella lutrensis",27
"Hybopsis winchelli",26
"Lepomis punctatus",26
"Lepomis symmetricus",26
"Menticirrhus americanus",26
"Parachromis dovii",26
"Apogon needs identification",25
"Fundulus notatus",25
"Harengula jaguana",25
"Etheostoma swaini",24
"Gobionellus hastatus",24
"Percina caprodes",24
"Percina ouachitae",24
"Poecilia salvatoris",24
"Polydactylus octonemus",24
"Scartella cristata",24
"Thalassoma pavo",24
"Fundulus notti",23
"Microphis brachyurus",23
"Ammocrypta vivax",22
"Cyprinus carpio",22
