"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"alcoholic","lsumz","fishes","3019","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","11302","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","3479","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","13046","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","3685","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","4851","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","2079","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","10893","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","7004","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","14470","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","9","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","14726","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","91","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","8729","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","1717","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","8775","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","8732","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","17002","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","9178","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","8609","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","9068","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","17553","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","4366","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","906","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","12628","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","2470","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","6704","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","3027","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","9585","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","3553","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","1333","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","1965","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","15170","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","1251","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","1331","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","11988","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","8274","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","12030","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","10174","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","4804","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","1906","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","17555","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","5406","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","9887","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","928","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","5677","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","12524","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","9908","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","8742","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","2415","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","1538","EtOH","","",NA,NA,NA,1928
"alcoholic","lsumz","fishes","8783","EtOH","","",NA,NA,NA,1928
