"dwc.preparations","freq"
"whole animal (alcohol)",161011
"",3167
"whole animal (70% ethanol)",1636
"whole animal (cleared and stained)",1036
"otolith (dry)",1008
"whole animal (alcohol); whole animal (cleared and stained)",829
"whole skeleton (dry)",813
"otolith (dry); whole animal (alcohol)",614
"mounted whole animal (dry)",304
"tissue (95% ethanol); whole animal (alcohol)",289
"whole animal (alcohol); whole animal (70% ethanol)",236
"whole animal (alcohol); whole animal (alcohol)",227
"partial skeleton (dry)",214
"tissue (95% ethanol); whole animal (70% ethanol)",200
"skeleton (dry)",124
"jaw (dry)",117
"whole animal (70% ethanol); whole animal (70% ethanol)",113
"whole animal (70% ethanol); whole animal (alcohol)",106
"tissue (alcohol); whole animal (alcohol)",101
"pharyngeal teeth (dry)",79
"brain (70% ethanol); whole animal (alcohol)",75
"whole skeleton (dry); skin sample (dry)",75
"whole animal (70% ethanol); whole animal (cleared and stained)",49
"whole animal (cleared and stained); whole animal (alcohol)",47
"whole animal (dry)",45
"skull (dry); partial skeleton (dry)",44
"otolith (dry); partial skeleton (dry)",42
"whole animal (alcohol); dissected part (70% ethanol)",40
"brain (70% ethanol)",36
"whole skeleton (dry); whole animal (alcohol)",34
"tissue (frozen); dissected whole animal (70% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",27
"whole animal (alcohol); dissected part (SEM stub)",24
"whole animal (alcohol); otolith (dry); otolith (dry)",24
"whole animal (cleared and stained); whole animal (70% ethanol)",19
"scale (dry)",17
"skull (dry)",17
"whole animal (alcohol); otolith (dry); otolith (dry); otolith (dry)",15
"tissue (70% ethanol); whole animal (alcohol)",14
"whole animal (alcohol); partial animal (SEM stub)",14
"head (dry)",13
"whole animal (70% ethanol); tissue (95% ethanol); tissue (95% ethanol)",13
"whole animal (alcohol); egg (unknown)",13
"skeleton (dry); whole animal (alcohol)",12
"skull (dry); jaw (dry)",12
"tissue (alcohol); whole animal (70% ethanol)",12
"egg (unknown)",11
"teeth (dry)",11
"teeth (dry); whole animal (alcohol)",11
"whole animal (70% ethanol); whole animal (alcohol); whole animal (cleared and stained)",11
"whole animal (alcohol); otolith (dry); otolith (dry); otolith (dry); otolith (dry)",11
"partial skeleton (dry); whole animal (alcohol)",10
"whole animal (alcohol); skin sample (70% ethanol)",10
"whole animal (alcohol); whole animal (alcohol); whole animal (cleared and stained)",10
"whole animal (70% ethanol); dissected whole animal (70% ethanol)",9
"whole animal (cleared and stained); whole animal (70% ethanol); whole animal (alcohol)",9
"jaw (dry); whole animal (alcohol)",7
"skin sample (dry)",7
"whole animal (70% ethanol); whole animal (alcohol); whole animal (70% ethanol)",7
"whole animal (70% ethanol); whole animal (alcohol); whole animal (alcohol)",7
"whole animal (cleared and stained); brain (70% ethanol); whole animal (alcohol)",7
"whole animal (cleared and stained); whole animal (alcohol); whole animal (cleared and stained)",7
"dissected part (70% ethanol)",6
"dissected whole animal (70% ethanol)",6
"whole animal (70% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",6
"whole animal (alcohol); tissue (alcohol); brain (70% ethanol)",6
"skeleton (cleared and stained); whole animal (alcohol)",5
"unknown (histological slide)",5
"whole animal (70% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",5
"whole animal (alcohol); brain (70% ethanol); brain (70% ethanol); tissue (alcohol)",5
"whole animal (alcohol); dissected whole animal (cleared and stained)",5
"whole animal (alcohol); skin sample (dry); whole skeleton (dry)",5
"whole skeleton (dry); otolith (dry)",5
"otolith (dry); skeleton (dry)",4
"otolith (dry); whole animal (70% ethanol)",4
"partial skeleton (dry); skin sample (dry)",4
"whole animal (70% ethanol); dissected part (70% ethanol)",4
