"Family","Count"
"Myctophidae",30574
"Gonostomatidae",6484
"Sternoptychidae",5979
"Cyprinidae",5094
"Cichlidae",4270
"Photichthyidae",3905
"Characidae",3244
"Paralepididae",2804
"Melamphaidae",2741
"Chauliodontidae",2340
"Congridae",2284
"Melanostomiidae",2226
"Serranidae",2062
"Centrarchidae",1976
"Carangidae",1829
"Labridae",1786
"Percidae",1611
"Pomacentridae",1542
"Rajidae",1534
"Gobiidae",1526
"Bothidae",1469
"Cottidae",1353
"Clupeidae",1312
"Muraenidae",1308
"Stomiidae",1304
"Scorpaenidae",1302
"Tetraodontidae",1203
"Ophichthidae",1161
"Astronesthidae",1159
"Gempylidae",1106
"Paralichthyidae",1088
"Exocoetidae",1071
"Nemichthyidae",1067
"Sciaenidae",1058
"Scopelarchidae",1043
"Malacosteidae",1018
"Macrouridae",951
"Acanthuridae",926
"Serrivomeridae",917
"Poeciliidae",877
"Acropomatidae",869
"Anguillidae",864
"Catostomidae",852
"Syngnathidae",836
"Bathylagidae",827
"Bregmacerotidae",777
"Ophidiidae",770
"Pleuronectidae",767
"Monacanthidae",766
"Lutjanidae",757
"Salmonidae",746
"Fundulidae",728
"Ictaluridae",699
"Scombridae",687
"Triglidae",682
"Apogonidae",674
"Haemulidae",654
"Chaetodontidae",653
"Evermannellidae",638
"Mugilidae",635
"Chlopsidae",633
"Notosudidae",621
"Loricariidae",617
"Nomeidae",608
"Scaridae",602
"Anostomidae",600
"Balistidae",597
"Pimelodidae",587
"Derichthyidae",580
"Synodontidae",571
"Blenniidae",567
"Holocentridae",562
"Bramidae",550
"Embiotocidae",530
"Pomacanthidae",524
"Squalidae",515
"Esocidae",514
"Sparidae",481
"Cyclopteridae",475
"Chiasmodontidae",473
"Engraulididae",456
"Chlorophthalmidae",453
"Gasterosteidae",445
"Platytroctidae",442
"Idiacanthidae",440
"Moridae",428
"Synaphobranchidae",423
"Ogcocephalidae",419
"Alepocephalidae",418
"Atherinopsidae",406
"Zoarcidae",406
"Coryphaenidae",402
"Gadidae",400
"Hemiramphidae",399
"Antennariidae",395
"Phycidae",390
"Curimatidae",374
"Nettastomatidae",349
"Ceratiidae",345
"Stromateidae",344
"Gerreidae",338
"Eleotrididae",333
"Oneirodidae",315
"Carcharhinidae",314
"Carapidae",303
"Pholididae",297
"Trichiuridae",296
"Belonidae",291
"Mullidae",286
"Scyliorhinidae",286
"Grammistidae",279
"Ariidae",278
"Moringuidae",276
"Ariommatidae",255
"Mormyridae",254
"Diretmidae",252
