"dwc.scientificName","freq"
"Unknown",2097
"Unidentified",2021
"Chauliodus sloani",1273
"Gonostoma elongatum",1265
"Ceratoscopelus warmingii",1183
"Notolychnus valdiviae",1151
"Gonichthys cocco",1072
"Benthosema glaciale",1062
"Argyropelecus hemigymnus",1053
"Vinciguerria nimbaria",1019
"Valenciennellus tripunctulatus",897
"Lepidophanes guentheri",895
"Ceratoscopelus maderensis",871
"Argyropelecus aculeatus",867
"Diogenichthys atlanticus",857
"Lobianchia dofleini",830
"Diaphus mollis",829
"Vinciguerria poweriae",809
"Diaphus dumerilii",802
"Lampanyctus pusillus",794
"Hygophum hygomii",770
"Chauliodus danae",731
"Pollichthys mauli",728
"Bolinichthys indicus",723
"Nemichthys scolopaceus",714
"Sternoptyx diaphana",698
"Benthosema suborbitale",654
"Vinciguerria attenuata",654
"Cyclothone braueri",628
"Lampanyctus alatus",622
"Bonapartia pedaliota",598
"Lampanyctus photonotus",588
"Stomias boa ferox",580
"Cyclothone microdon",540
"Nannobrachium cuprarium",540
"Lobianchia gemellarii",527
"Sternoptyx sp.",527
"Cyclothone pallida",524
"Centrobranchus nigroocellatus",518
"Serrivomer beanii",511
"Myctophum nitidulum",486
"Notoscopelus resplendens",484
"Lepidophanes gaussi",476
"Gonostoma atlanticum",465
"Anguilla rostrata",453
"Cyclothone pseudopallida",444
"Myctophum punctatum",441
"Myctophum affine",437
"Hygophum taaningi",434
"Lampanyctus crocodilus",430
"Diaphus rafinesquii",426
"Cyclothone alba",420
"Hygophum reinhardtii",418
"Hygophum benoiti",411
"Bregmaceros sp.",393
"Melamphaes pumilus",381
"Bothus ocellatus or Bothus robinsi",379
"Scopelarchus analis",375
"Lepomis gibbosus",373
"Diaphus splendidus",371
"Ichthyococcus ovatus",371
"Scorpaenidae",371
"Diaphus brachycephalus",359
"Photostomias guernei",355
"Myctophum asperum",354
"Maurolicus weitzmani",347
"Lestidiops affinis",342
"Notemigonus crysoleucas",335
"Ariosoma",333
"Idiacanthus fasciola",331
"Canthigaster rostrata",318
"Diaphus luetkeni",317
"Diaphus effulgens",314
"Scopelogadus beanii",311
"Catostomus commersonii",304
"Derichthys serpentinus",303
"Diplospinus multistriatus",303
"Margrethia obtusirostra",302
"Scopelogadus mizolepis mizolepis",297
"Cryptopsaras couesii",294
"Clupea harengus",293
"Bolinichthys photothorax",288
"Bolinichthys supralateralis",288
"Bathylagus longirostris",287
"Perca flavescens",286
"Bothidae sp.",282
"Astronesthes niger",281
"Symbolophorus veranyi",280
"Characidae sp.",277
"Scopeloberyx opisthopterus",277
"Arctozenus rissoi",275
"Nannobrachium atrum",275
"Myctophum obtusirostre",267
"Gnathophis",266
"Sudis atrox",259
"Howella sp.",254
"Hygophum macrochir",253
"Paralepididae sp.",251
"Pholis gunnellus",251
"Esox niger",250
"Rhinichthys atratulus",249
"Argyropelecus sladeni",248
"Diplophos taenia",247
"Micropterus salmoides",247
"Argyropelecus sp.",240
"Bregmaceros atlanticus",238
"Myoxocephalus aenaeus",236
"Diaphus problematicus",235
"Coryphaena hippurus",234
"Bothus",233
"Eurypharynx pelecanoides",233
"Lampanyctus nobilis",233
"Melamphaes sp.",233
"Nannobrachium lineatum",229
"Etheostoma olmstedi",227
"Eustomias sp.",226
"Notoscopelus caudispinosus",226
"Salvelinus fontinalis",226
"Diaphus fragilis",223
"Cyclothone acclinidens",222
"Diaphus perspicillatus",220
"Histrio histrio",220
"Semotilus corporalis",220
"Paraconger",219
"Cyprinidae sp.",218
"Anguilla anguilla",212
"Lampanyctus festivus",212
"Lestidiini",211
"Nealotus tripes",210
"Ariosoma balearicum",209
"Cyclothone",209
"Diaphus metopoclampus",208
"Nessorhamphus ingolfianus",208
"Lepomis macrochirus",201
"Evermannella indica",200
"Ameiurus nebulosus",197
"Coccorella atlantica",197
"Malacosteus niger",196
"Platytroctidae sp.",195
"Acanthurus bahianus or Acanthurus chirurgus",194
"Lampadena luminosa",192
"Stomias affinis",191
"Tetraodontidae sp.",190
"Chauliodus sp.",187
"Pterophyllum scalare",187
"Luxilus cornutus",186
"Semotilus atromaculatus",186
"Diaphus holti",185
"Gempylus serpens",185
"Exocoetus volitans",183
"Diaphus lucidus",182
"Chlorophthalmus agassizi",174
"Photostomias goodyeari",174
"Gymnothorax moringa",173
"Kaupichthys hyoproroides",173
"Synagrops",172
"Fundulus diaphanus",170
"Poromitra capito",167
"Eustomias obscurus",166
"Osmerus mordax",163
"Bathylagus euryops",161
"Scopelosaurus argenteus",161
"Labridae",160
"Argyropelecus affinis",157
"Lampadena speculigera",157
"Bothidae",155
"Cubiceps",153
"Gasterosteus aculeatus",152
"Diaphus termophilus",150
"Hippocampus erectus",150
"Moringua edwardsi",150
"Monacanthus ciliatus",149
"Serrivomer lanceolatoides",149
"Stomias sp.",149
"Chilorhinus suensonii",146
"Lampanyctus",145
"Pterycombus brama",145
"Brama sp.",144
"Abudefduf saxatilis",142
"Hygophum proximum",142
"Perciformes sp.",141
"Coryphaena equiselis",140
"Diaphus garmani",140
"Scopelarchidae sp.",139
"Arctozenus rissoi kroyeri",138
"Micrometrus minimus",137
"Myrophis punctatus",137
"Taaningichthys bathyphilus",137
"Apogonidae",136
"Gonostoma denudatum",136
"Anoplogaster cornuta",135
"Chlorophthalmus",134
"Howella brodiei",134
"Fundulus heteroclitus",133
"Gymnothorax ocellatus",133
"Lampadena urophaos",133
"Melanostomias bartonbeani",132
"Melanostomiatidae sp.",132
"Poromitra megalops",132
"Dactylopterus volitans",131
"Gobiidae sp.",131
"Bathylagus bericoides",130
"Enneacanthus obesus",130
"Synaphobranchus kaupii",130
"Caranx crysos",129
"Echiostoma barbatum",129
"Melanonus zugmayeri",129
"Mugil",127
"Nezumia bairdii",127
"Lampanyctus macdonaldi",125
"Myctophum selenops",125
"Nesiarchus nasutus",125
"Myoxocephalus octodecemspinosus",123
"Etheostoma fusiforme fusiforme",122
"Glyptocephalus cynoglossus",122
"Monacanthus hispidus",122
"Prognichthys sp.",122
"Macrouridae sp.",121
"Myoxocephalus scorpius",121
"Sudis hyalina",121
"Symbolophorus rufinus",121
"Anthiinae",119
"Diretmus argenteus",119
"Rhinichthys cataractae",119
"Acanthurus coeruleus",118
"Balistes capriscus",118
"Scopeloberyx robustus",118
"Scorpaenidae sp.",118
"Trachinocephalus myops",118
"Alosa pseudoharengus",117
"Lophius americanus",117
"Syngnathus fuscus",117
"Lampanyctus vadulus",116
"Omosudis lowei",116
"Parexocoetus hillianus",116
"Pseudopleuronectes americanus",116
"Stomias boa boa",116
"Centropyge",115
"Citharichthys arctifrons",113
"Melamphaes typhlops",113
"Melanocetus sp.",113
"Pleuronectiformes sp.",113
"Astronesthes richardsoni",112
"Exocoetus obtusirostris",112
"Lepomis auritus",112
"Serranidae sp.",112
"Anguilla sp.",111
"Lampanyctus macropterus",111
"Acanthurus",110
"Stomias brevibarbatus",109
"Scopelarchus michaelsarsi",108
"Anthias sp.",107
"Cottus cognatus",107
"Ophichthyinae sp.",107
"Astatoreochromis alluaudi",106
"Lepisosteus osseus",106
"Lampanyctus intricarius",105
"Apeltes quadracus",104
"Labridae sp.",104
"Paralepis coregonoides",104
"Scopelarchus",104
"Sphoeroides",104
"Caranx hippos or Caranx latus",103
"Scaridae",103
"Scopelarchoides danae",103
"Ariomma",102
"Bathophilus metallicus",102
"Ictalurus nebulosus",102
"Echiodon dawsoni",101
"Merluccius bilinearis",101
"Gambusia punctata",100
"Peprilus triacanthus",100
"Lampanyctus tenuiformis",98
"Melamphaes simus",98
"Myctophum phengodes",98
"Dibranchus atlanticus",97
"Bolinichthys longipes",96
"Ceratioid sp.",96
"Idiacanthus sp.",96
"Vinciguerria sp.",96
"Lutjanidae",95
"Psenes cyanophrys",95
"Serrivomeridae sp.",95
"Tautogolabrus adspersus",95
"Bothus ocellatus",94
"Esox americanus americanus",94
"Pimephales notatus",94
"Polymixia lowei",94
"Satanoperca jurupari",94
"Conger oceanicus",93
"Paralepis atlantica",93
"Scopelosaurus mauli",93
"Sternoptyx pseudobscura",93
"Pomoxis nigromaculatus",92
"Scopelosaurus sp.",92
"Uncisudis advena",92
"Urophycis chuss",92
"Loweina rara",91
"Scopelosaurus smithii",91
"Anarchias similis",90
"Chiasmodon",90
"Citharichthys or Etropus",90
"Myrophis plumbeus",90
"Symbolophorus evermanni",90
"Chauliodus pammelas",89
"Enchelyopus cimbrius",89
"Scopeloberyx sp.",89
"Antigonia capros",88
"Astronesthes similis",88
"Avocettina infans",88
"Lestidiops sp.",88
"Sternoptychidae sp.",88
"Diogenichthys panurgus",87
"Gonichthys barnesi",87
"Carangidae sp.",86
"Cyclopterus lumpus",86
"Lampanyctus sp.",86
"Morone americana",86
"Notropis hudsonius",86
"Erimyzon oblongus",85
"Evermannella balbo",85
"Katsuwonus pelamis",85
"Lestrolepis intermedia",85
"Melanocetus johnsoni",85
"Nemichthys curvirostris",85
"Petromyzon marinus",85
"Rhynchoconger flavus",85
"Scopelarchus guentheri",85
"Thalassoma bifasciatum",85
"Xenomystax",85
"Antimora rostrata",84
"Citharichthys cornutus",84
"Decapterus",84
"Pomatomus saltatrix",84
"Scombrolabrax heterolepis",84
"Diaphus arabicus",83
"Urophycis",83
"Coelorinchus coelorinchus carminatus",82
"Notropis bifrenatus",82
"Ophichthus gomesii",82
"Scophthalmus aquosus",82
"Ahlia egmontis",81
"Bathygobius soporator",81
"Holocentridae sp.",81
"Limanda ferruginea",81
"Pollachius virens",81
"Protomyctophum arcticum",81
"Myctophidae sp.",80
"Peprilus",80
"Centropyge sp.",79
"Centroscyllium fabricii",79
"Lepomis gulosus",79
"Serranus sp.",79
"Argyropelecus gigas",78
"Astronesthidae sp.",78
"Clupeidae sp.",78
"Epigonus sp.",78
"Fenestraja plutonia",78
"Sebastes",78
"Alepisaurus sp.",77
"Mesonauta insignis",77
"Neoconger mucronatus",77
"Ambloplites rupestris",76
"Electrona risso",76
"Gymnothorax",76
"Maurolicus amethystinopunctatus",76
"Melamphaidae sp.",76
"Photonectes margarita",76
"Pseudoscopelus sp.",76
"Scopelengys tristis",76
"Alepocephalus agassizii",75
"Gymnothorax vicinus",75
"Notoscopelus elongatus kroyeri",75
"Poromitra crassiceps",75
"Rhynchoconger",75
"Synagrops bellus",75
"Trinectes maculatus",75
"Hemanthias vivanus",74
"Lestidium atlanticum",74
"Odontostomops normalops",74
"Polyipnus clarus",74
"Sternoptyx obscura",74
"Stylephorus chordatus",74
"Alepocephalidae sp.",73
"Anthias nicholsi",73
"Chiasmodon sp.",73
"Cryptacanthodes maculatus",73
"Diaphus subtilis",73
"Gambusia puncticulata",73
"Hoplias trahira",73
"Scomberesox saurus",73
"Serrivomer sp.",73
