"Typestatus","Count"
"",167452
"voucher of malacosteus niger",49
"voucher of manducus maderensis",42
"voucher of semaprochilodus insignis",32
"paratype of acestrorhynchus altus",30
"voucher of dipturus teevani",30
"additional material of polyipnus clarus",28
"voucher of semaprochilodus taeniurus",23
"voucher of regalecus glesne",22
"voucher of ophidion marginatum",21
"paratype of photostomias goodyeari",19
"voucher of lepophidium profundorum",18
"voucher of ophidion robinsi",18
"voucher of liparis fabricii",16
"voucher of liparis gibbus",15
"voucher of microstoma microstoma",15
"voucher of plagioscion squamosissimus",15
"syntype of gymnocorymbus thayeri| paralectotype of gymnocorymbus thayeri",14
"syntype of macrurus anguliceps| paralectotype of macrurus anguliceps",14
"syntype of psectrogaster amazonica",14
"additional material of brycon amazonicus",13
"additional material of pseudoscopelus altipinnis",13
"voucher of cryptacanthodes maculatus",13
"voucher of hypoplectrus puella",13
"voucher of polyipnus limatulus",13
"voucher of symphurus tessellatus",13
"paratype of stelliferus rastrifer",12
"paratype of triakis barbouri",12
"voucher of bajacalifornia megalops",12
"voucher of liparis coheni",12
"voucher of prochilodus vimboides",12
"paratype of scopelarchoides danae",11
"syntype of argyropelecus lychnus",11
"syntype of chalcinus angulatus vittatus",11
"additional material of pseudoscopelus scriptus",10
"paratype of acestrorhynchus minimus",10
"syntype of pontinus furcirhinus",10
"syntype of serrivomer sector",10
"syntype of sternoptyx obscura",10
"voucher of bathylagus greyae",10
"voucher of hypoplectrus nigricans",10
"additional material of breviraja claramaculata",9
"syntype of chaetobranchus semifasciatus",9
"syntype of leporinus conirostris",9
"syntype of leporinus copelandii",9
"syntype of myxine acutifrons",9
"syntype of stomias hexagonatus",9
"voucher of cyclothone parapallida",9
"voucher of eustomias filifer",9
"voucher of grammistes sexlineatus",9
"voucher of gymnotus carapo",9
"voucher of sorubim elongatus",9
"paralectotype of fierasfer dubius| syntype of fierasfer dubius",8
"paratype of foetorepus goodenbeani",8
"paratype of hypoplectrus maya",8
"paratype of myctophum oculeum| paratype of electrona thompsoni| syntype of myctophum oculeum",8
"voucher of apogon fasciatus",8
"voucher of auchenipterichthys coracoideus",8
"voucher of chaunax suttkusi",8
"voucher of cyema atrum",8
"voucher of gymnothorax eurostus",8
"voucher of lycenchelys paxillus",8
"voucher of malthopsis gnoma",8
"voucher of pseudogramma thaumasium",8
"voucher of spiniphryne gladisfenae",8
"additional material of brycon opalinus",7
"additional material of pseudoscopelus astronesthidens",7
"genetic voucher of cetomimus",7
"genetic voucher of cetostoma regani",7
