"Continent","Count"
NA,103688
"DZA",8
"ASM",21
NA,3
"AGO",2
"AIA",71
"ATA",265
"ARG",109
"ARM",1
"AUS",762
"AUT",93
NA,185
"BHS",2950
"BGD",3
"BRB",32
"BEL",7
"BLZ",37
"BMU",29
"BOL",14
"BWA",12
"BRA",9104
"IOT",57
"VGB",1
"BRN",19
"BRN",1
"BDI",145
"CPV",184
"KHM",85
"CMR",351
"CAN",833
NA,63
"CYM",3
"CAF",298
"CHL",408
"CHN",569
"COL",812
"COG",4
"COD",656
"CRI",12
"HRV",10
"CUB",2307
"CUW",3
"CZE",2
"DNK",13
"DOM",24
"ECU",431
"EGY",4
"SLV",1
"ERI",1
"FLK",3
"FSM",69
"FJI",62
"FIN",2
"FRA",151
"GUF",33
"PYF",75
"GAB",6
NA,73
"GMB",23
"DEU",28
"GHA",129
"GRC",67
"GRD",7
"GLP",19
"GUM",1
"GTM",24
NA,1
"GIN",1
"GNB",7
"GUY",696
"HTI",161
NA,2075
"HND",55
"HKG",51
"HUN",2
"ISL",1
"IND",785
"IDN",434
"IRN",30
"IRL",3
"ISR",21
"ITA",231
"CIV",1
"JAM",327
"JPN",528
NA,1
"KEN",476
"KIR",923
"KWT",74
"LBN",51
"LBR",23
"LBY",19
"MKD",1
"MDG",24
"MWI",234
"MYS",334
"MDV",8
"MHL",56
"MRT",2
"MUS",663
NA,88
"MEX",468
"MNG",1
"MSR",3
"MAR",16
"MOZ",32
"MMR",53
"NAM",1
"NPL",8
"NZL",58
"NIC",52
"NGA",23
NA,5
"PRK",4
"MNP",5
NA,5
"NOR",48
"OMN",1180
"PAK",44
"PSE",1
"PAN",2707
"PNG",504
"PRY",17
"PER",256
"PHL",82
"PCN",1
"POL",1
"PRT",16
"PRI",199
"REU",2
"ROU",75
"RUS",239
"BLM",2
"KNA",5
"LCA",5
"SPM",1
"VCT",23
"WSM",109
"SAU",8
NA,1
"SEN",30
"SYC",5
"SLE",10
"SGP",3
"SOM",1036
"ZAF",44
"SGS",1
"KOR",2
"RUS",37
"ESP",112
"LKA",60
"SDN",7
"SUR",138
"SWE",36
"CHE",74
"SYR",71
"TZA",583
"THA",501
"TON",4
"TTO",193
"TUN",8
"TUR",4
"TUV",13
"UGA",969
"UKR",24
"ARE",10
"GBR",177
"USA",28113
"URY",48
"RUS",163
"VUT",12
"VEN",408
"VNM",15
NA,2
"VIR",258
"ESH",15
"YEM",163
"YUG",1
"ZMB",29
"ZWE",4
