"Collector","Count"
"1",205
"2",232
"3",290
"4",177
"5",97
"6",58
"7",5
"8",1
"9",2
"10",47
"11",486
"12",93
"13",1217
"14",11
"16",35
"17",23
"19",435
"20",4
"24",296
"26",1
"30",334
"31",3
"32",1
"33",3
"35",383
"38",1226
"40",1
"46",2
"47",3
"52",93
"53",298
"55",1
"57",11
"58",412
"59",33
"60",16
"62",505
"63",121
"64",8
"65",1383
"66",75
"67",2
"68",7
"69",3
"70",1
"71",1525
"72",5
"73",12
"74",16
"75",29
"76",12
"77",21
"78",21
"79",70
"80",26
"81",42
"82",5
"83",2
"84",67
"85",76
"86",2
"92",2
"93",38
"94",85
"95",79
"96",58
"97",1
"98",2451
"101",513
"104",1
"105",1948
"106",176
"108",1
"109",5
"110",1226
"111",411
"112",1
"115",2
"118",1199
"120",1
"121",1893
"122",62
"124",78
"125",2997
"129",1
"130",13
"132",78
"133",367
"135",123
"136",1
"148",33
"152",2
"158",1063
"162",2
"165",2
"170",1
"172",667
"176",521
"177",9
"178",31
"182",6
"183",4
"184",112
"187",62
"191",81
"196",435
"197",100
"199",1
"200",2
"202",77
"216",2
"219",74
"220",4
"226",4
"238",450
"242",5
"247",2
"252",16
"255",489
"259",51
"265",4
"286",93
"298",5
"301",2
"312",1
"322",5
"371",80
"1692",929
"1757",1
"1849",3
"1852",3
"1872",4
"1873",1
"1874",4
"1876",1
"1896",4
"1897",25
"1904",54
"1905",52
"1907",35
"1910",35
"1914",1
"1915",1
"1916",1
"1935",8
"1936",6
"1944",9
"1959",1
"1967",122
"8207",909
"8301",10
"8307",489
"8311",987
"8404",5
"9307",485
"9503",1708
"9506",1180
"rv",101386
"e",40322
"richard",33334
"h",31493
"ii",31070
"backus",29105
"atlantis",28208
"james",24669
"craddock",22670
"oceanus",22652
"chain",12014
"hartel",11503
"karsten",11503
"expedition",10240
"049",8712
"knorr",8427
"060",7210
"thayer",6723
"to",6634
"brazil",6624
"and",6261
"078",5793
"delaware",5227
"059",5211
"no",5097
"data",5039
"agent",5037
"unknown",5033
"collector",4975
"party",4906
"g",4686
"agassiz",4527
"055",4485
"albatross",4124
"charles",3867
"louis",3731
"r",3477
"andrew",3366
"anton",3276
"bruun",3270
"harbison",3153
"william",3090
"lady",3088
"basten",3087
"baldridge",2888
"malcolm",2888
"f",2797
"j",2631
"022",2547
"lea",2506
"d",2422
"iv",2413
"c",2353
"jahn",2338
"iselin",2276
"06",2271
"rubinoff",2175
"ira",2174
"columbus",2082
"roberts",1917
"tyson",1904
"fv",1896
"thomas",1833
"013",1788
"a",1755
"cape",1725
"john",1706
"oregon",1706
"l",1655
"w",1635
"085",1619
"m",1605
"fisheries",1602
"hassler",1587
"endeavor",1522
"program",1513
"dr",1502
"us",1469
"david",1468
"011",1458
"felipe",1443
"poey",1443
"environmental",1434
"harvard",1434
"agency",1433
"map",1433
"protection",1433
"04",1399
"havana",1385
"052",1376
"s",1374
"steamer",1368
"usfc",1360
"of",1328
"stephen",1245
"dolphin",1223
"bill",1214
"cap'n",1212
"maine",1182
"suryey",1173
"yankee",1172
"jr",1166
"marine",1162
"bourget",1149
"alexander",1142
"putnam",1108
"wildlife",1065
"robert",1028
"lake",1023
"03",1020
"garrett",1004
"research",976
"crawford",958
"071",946
"hatteras",929
"b",920
"edward",918
"team",907
"victoria",907
"george",892
"020",857
"072",854
"035",843
"v.r",826
"florida",803
"massachusetts",799
"hartt",792
"senhor",784
"division",761
"02",749
"donald",720
"031",715
"stewart",707
"zaret",695
"copeland",687
"smith",685
"k",660
"blake",649
"p",638
"schooner",630
"allen",623
"schroeder",618
"blue",612
"pike",604
"nicolas",603
"institute",593
"iii",591
"w.h.a",591
"033",586
"barbour",584
"new",575
"steve",573
"aquarium",571
"expeditions",569
"uscss",569
"gosnold",568
"bailey",567
"england",565
"i",555
"032",543
"marcus",542
"carleton",539
"national",533
"haedrich",530
"capt",523
"eastward",521
"service",514
"09",512
"baird",511
"de",502
"samuel",497
"talisman",497
"university",483
"017",482
"05",481
"douglas",481
"mccleave",478
"mark",474
"halliwell",471
"williams",466
"gibbs",461
"discovery",440
"norton",440
"chandler",413
"ward",406
"gerald",403
"galbraith",400
"carl",396
"boston",380
"leslie",378
"spencer",378
"otis",377
"giles",375
"mead",375
"barton",374
"kaufman",368
"garman",364
"walton",364
"denton",363
"sherman",363
"st",363
"t",363
"mcb",362
"mr",360
"philip",356
"eigenmann",329
"fink",328
"captain",327
"bay",325
"contender",325
"museum",325
"silver",325
"south",315
"resources",310
"carolina",307
"cooke",307
"lyman",306
"paul",305
"caleb",303
"frederic",301
"krueger",301
"walter",301
"henry",297
"v",297
"cary",294
"00",292
"theodore",290
"franz",288
"lobel",267
"kendall",266
"benjamin",259
"prof",256
"c.l",253
"col",253
"08",250
"fred",250
"arndt",249
"combat",249
"rudolf",249
"dorit",246
"fletcher",244
"la",244
"hopkins",241
"salmin",240
"schwab",239
"079",238
"cole",236
"albert",233
"gillian",231
"pacific",229
"vladivostok",227
"c.b",226
"hsieh",226
"tonia",226
"menezes",224
"naercio",224
"ross",223
"orestes",221
"hunnewell",219
"duke",217
"biodiversity",216
"polar",216
"carlos",214
"chesher",213
"torre",213
"earle",211
"sylvia",210
"natural",207
"alan",206
"chris",204
"midwest",204
"oceanographic",203
"yoder",203
"bruce",201
"alistair",200
"e.f",200
"economakis",200
"dwd2",199
