"Country","Count"
"united states",26697
"brazil",9098
"bahamas",3020
"panama",2697
"cuba",2124
"oman",1177
"somalia",1032
"uganda",969
"kiribati",922
"india",779
"australia",689
"congo, the democratic republic of the",623
"mauritius",605
"china",568
"guyana",554
"tanzania",543
"colombia",538
"japan",528
"canada",511
"thailand",503
"kenya",475
"ecuador",431
"indonesia",429
"papua new guinea",424
"venezuela",368
"mexico",365
"cameroon",351
"malaysia",333
"chile",320
"central african republic",298
"jamaica",272
"virgin islands, u.s.",258
"peru",255
"russia",237
"malawi",232
"italy",229
"azores",185
"puerto rico",177
"united kingdom",177
"ussr",165
"haiti",161
"yemen",159
"france",150
"burundi",145
"suriname",138
"ghana",129
"spain",112
"argentina",109
"samoa",109
"austria",93
"high seas",88
"maylasia",88
"trinidad and tobago",85
"philippines",80
"french polynesia",75
"romania",75
"kuwait",74
"switzerland",74
"galapagos islands",73
"anguilla",71
"syria",71
"federated states of micronesia",69
"greece",66
"fiji",61
"sri lanka",59
"new zealand",58
"british indian ocean territory",56
"marshall islands",56
"honduras",55
"nicaragua",52
"hong kong",51
"lebanon",51
"norway",48
"uruguay",48
"south africa",44
"pakistan",43
"antarctica",37
"soviet union",37
"sweden",36
"french guiana",32
"senegal",30
"zambia",29
"germany",28
"mozambique",27
"dominican republic",24
"guatemala",24
"ukraine",24
"gambia",23
"liberia",23
"saint vincent and the grenadines",23
"nigeria",22
"american samoa",21
"israel",20
"madagascar",20
"guadeloupe",19
"brunei",18
"paraguay",17
"morocco",16
"vietnam",15
"bolivia",14
"denmark",13
"tuvalu",13
"belize",12
"botswana",12
"vanuatu",12
"barbados",11
"costa rica",11
"croatia",10
"myanmar",10
"sierra leone",10
"portugal",9
"algeria",8
"nepal",8
"saudi arabia",8
"tunisia",8
"belgium",7
"bermuda",7
"guinea-bissau",7
"maldives",7
"sudan",7
"canary islands",6
"gabon",6
"north atlantic",5
"northern mariana islands and guam",5
"northern saint martin",5
"saint kitts and nevis",5
"saint lucia",5
"congo",4
"egypt",4
"north korea/south korea",4
"tonga",4
"turkey",4
"zimbabwe",4
"cayman islands",3
"curacao",3
"falkland islands",3
"grenada",3
"iran",3
"ireland",3
"montserrat",3
"singapore",3
"angola",2
"east indies",2
"finland",2
"hungary",2
"mauritania",2
"saint barthélemy",2
"seychelles",2
"south korea",2
"armenia",1
"british virgin islands",1
"brunei darussalam",1
"czech republic",1
"el salvador",1
"eritrea",1
"guam",1
"guiana",1
"guinea",1
"iceland",1
"india?",1
"ivory coast",1
"macedonia",1
"mongolia",1
"namibia",1
"new guinea",1
"palestine",1
"pitcairn",1
"poland",1
"saint pierre and miquelon",1
"scotland",1
"south georgia and sandwich islands",1
"syria?",1
"us virgin islands",1
"virgin islands",1
"west indies?",1
"western sahara",1
"yugoslavia",1
