"Family","Count"
"myctophidae",30572
"gonostomatidae",6484
"sternoptychidae",5979
"cyprinidae",5094
"cichlidae",4253
"photichthyidae",3911
"characidae",3242
"paralepididae",2804
"melamphaidae",2741
"chauliodontidae",2340
"congridae",2284
"melanostomiidae",2226
"serranidae",2062
"centrarchidae",1976
"carangidae",1824
"labridae",1786
"percidae",1611
"pomacentridae",1542
"rajidae",1534
"gobiidae",1526
"bothidae",1469
"cottidae",1353
"clupeidae",1311
"muraenidae",1308
"stomiidae",1304
"scorpaenidae",1302
"tetraodontidae",1202
"ophichthidae",1161
"astronesthidae",1159
"gempylidae",1105
"paralichthyidae",1088
"exocoetidae",1071
"nemichthyidae",1067
"sciaenidae",1058
"scopelarchidae",1043
"malacosteidae",1018
"macrouridae",951
"acanthuridae",926
"serrivomeridae",917
"poeciliidae",874
"acropomatidae",869
"anguillidae",864
"catostomidae",852
"syngnathidae",836
"bathylagidae",827
"bregmacerotidae",777
"ophidiidae",770
"pleuronectidae",767
"monacanthidae",766
"lutjanidae",757
"salmonidae",746
"fundulidae",728
"ictaluridae",699
"scombridae",682
"triglidae",682
"apogonidae",674
"haemulidae",654
"chaetodontidae",653
"evermannellidae",638
"mugilidae",635
"chlopsidae",633
"notosudidae",621
"loricariidae",616
"nomeidae",608
"scaridae",602
"anostomidae",600
"balistidae",597
"pimelodidae",585
"derichthyidae",580
"synodontidae",571
"blenniidae",567
"holocentridae",562
"bramidae",550
"embiotocidae",530
"pomacanthidae",524
"squalidae",515
"esocidae",514
"sparidae",481
"cyclopteridae",475
"chiasmodontidae",473
"engraulididae",456
"chlorophthalmidae",453
"gasterosteidae",445
"platytroctidae",442
"idiacanthidae",440
"moridae",428
"synaphobranchidae",423
"ogcocephalidae",419
"alepocephalidae",418
"atherinopsidae",406
"zoarcidae",406
"coryphaenidae",401
"gadidae",400
"hemiramphidae",399
"antennariidae",395
"phycidae",390
"curimatidae",374
"nettastomatidae",349
"ceratiidae",345
"stromateidae",344
"gerreidae",338
"eleotrididae",333
"oneirodidae",315
"carcharhinidae",314
"carapidae",303
"pholididae",297
"trichiuridae",296
"belonidae",291
"scyliorhinidae",288
"mullidae",286
"grammistidae",279
"ariidae",278
"moringuidae",276
"ariommatidae",255
"mormyridae",254
"diretmidae",252
"merlucciidae",248
"diodontidae",245
"callionymidae",241
"cynoglossidae",241
"eurypharyngidae",239
"osmeridae",239
"echeneididae",237
"epigonidae",233
"lophiidae",229
"melanocetidae",229
"priacanthidae",228
"lotidae",219
"cyprinodontidae",217
"stichaeidae",217
"labrisomidae",216
"batrachoididae",209
"lepisosteidae",205
"ostraciidae",205
"petromyzontidae",194
"erythrinidae",192
"opisthoproctidae",191
"bagridae",190
"dasyatidae",190
"lebiasinidae",181
"anoplogastridae",178
"caproidae",177
"acipenseridae",176
"moronidae",175
"sphyraenidae",170
"cobitidae",169
"alepisauridae",163
"dactylopteridae",163
"centropomidae",162
"melanonidae",162
"mochokidae",162
"polymixiidae",160
"achiridae",159
"agonidae",157
"pleuronectiformes",157
"triakidae",153
"callichthyidae",149
"doradidae",145
"halosauridae",142
"perciformes",142
"percophidae",140
"gobiesocidae",136
"sternopygidae",136
"clariidae",134
"melanostomiatidae",133
"scomberesocidae",131
"neoscopelidae",129
"auchenipteridae",127
"linophrynidae",123
"atherinidae",121
