"Waterbody","Count"
"mediterranean sea",2039
"solomon sea",1354
"coral sea",1329
"sargasso sea",1178
"arabian sea",1022
"caribbean sea",256
"south china sea",192
"adriatic sea",137
"north sargasso sea",119
"java sea",91
"strait of malacca",88
"north sea",70
"gulf of aden",57
"aegean sea",56
"st. george bay",48
"tyrrhenian sea",36
"peter the great bay",35
"banda sea",22
"east china sea",20
"sagami sea",15
"black sea",9
"strait of messina",7
"tasman sea",5
"caspian sea",4
"gulf of oman",4
"norwegian sea",4
"persian gulf",4
"gulf of venice",3
"sea of azov",3
"bering sea",2
"coral/solomon sea",2
"balearic sea",1
"baltic sea",1
"gulf of guinea",1
"irish sea",1
"kara sea",1
"ligurian sea",1
"makassar strait",1
"timor sea",1
