"Family","Count"
"cyprinidae",12415
"centrarchidae",4407
"ictaluridae",2676
"percidae",1717
"catostomidae",1433
"fundulidae",1095
"poeciliidae",587
"clupeidae",385
"atherinopsidae",228
"sciaenidae",175
"moronidae",130
"lepisosteidae",78
"salmonidae",43
"gasterosteidae",42
"cottidae",37
"esocidae",35
"hiodontidae",9
"petromyzontidae",6
"cyprinodontidae",5
"aphredoderidae",3
"acipenseridae",2
"amiidae",2
"cichlidae",2
"umbridae",2
"amblyopsidae",1
"batrachoididae",1
"elassomatidae",1
"gerreidae",1
"haemulidae",1
"ogcocephalidae",1
"osmeridae",1
"percopsidae",1
"polynemidae",1
"scombridae",1
