"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"c&s - 1","fhsm","fhsm-i","21308","C&S","","",NA,NA,NA,1
"c&s - 1","fhsm","fhsm-i","23638","C&S","","",NA,NA,NA,1
"c&s - 53","fhsm","fhsm-i","22741","C&S","","",NA,NA,NA,1
"c&s - 7","fhsm","fhsm-i","21938","C&S","","",NA,NA,NA,2
"c&s - 7","fhsm","fhsm-i","21055","C&S","","",NA,NA,NA,2
"fluid","fhsm","fhsm-i","8","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","22547","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","2028","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","1955","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","1894","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","23469","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","1972","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","1962","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","2031","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","1956","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","11","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","1930","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","2003","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","1936","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","1902","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","19574","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","2051","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","20909","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","2029","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","1925","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","20880","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","2015","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","1939","EtOH","","",NA,NA,NA,693
"fluid","fhsm","fhsm-i","2001","EtOH","","",NA,NA,NA,693
