"Family","Count"
"cyprinidae",21489
"centrarchidae",11564
"percidae",9176
"fundulidae",4044
"ictaluridae",3627
"catostomidae",2871
"poeciliidae",1936
"clupeidae",1065
"atherinopsidae",917
"sciaenidae",788
"aphredoderidae",568
"esocidae",555
"atherinidae",554
"elassomatidae",392
"petromyzontidae",355
"engraulidae",337
"mugilidae",310
"achiridae",307
"lepisosteidae",270
"gobiidae",219
"sparidae",194
"moronidae",181
"cottidae",139
"paralichthyidae",131
"cichlidae",124
"cyprinodontidae",100
"syngnathidae",97
"carangidae",94
"anguillidae",81
"hiodontidae",80
"amiidae",77
"gerreidae",63
"synodontidae",58
"eleotridae",55
"acipenseridae",53
"belonidae",52
"triglidae",41
"tetraodontidae",36
"ariidae",30
"polyodontidae",26
"lutjanidae",25
"cynoglossidae",23
"elopidae",21
"serranidae",18
"stromateidae",18
"batrachoididae",17
"gobiesocidae",17
"ophichthidae",16
"dasyatidae",14
"ephippidae",10
"haemulidae",10
"ophidiidae",10
"serrasalmidae",10
"salmonidae",9
"monacanthidae",8
"scombridae",8
"umbridae",7
"blenniidae",6
"carcharhinidae",6
"branchiostomatidae",5
"diodontidae",5
"percopsidae",5
"polynemidae",5
"sphyraenidae",5
"trichiuridae",5
"",4
"amblyopsidae",4
"characidae",4
"uranoscopidae",4
"antennariidae",3
"congridae",3
"pomacentridae",3
"sphyrnidae",3
"chaetodontidae",2
"chimaeridae",2
"clariidae",2
"exocoetidae",2
"gasterosteidae",2
"hemiramphidae",2
"megalopidae",2
"merlucciidae",2
"mullidae",2
"narcinidae",2
"ogcocephalidae",2
"osmeridae",2
"phycidae",2
"pomatomidae",2
"scorpaenidae",2
"balistidae",1
"centropomidae",1
"chanidae",1
"coryphaenidae",1
"dactyloscopidae",1
"echeneidae",1
"galaxiidae",1
"gempylidae",1
"holocentridae",1
"labridae",1
"muraenidae",1
"pristidae",1
"profundulidae",1
"rachycentridae",1
"rajidae",1
"scaridae",1
"synbranchidae",1
