"dwc.scientificName","freq"
"Lepomis megalotis",2301
"Lepomis macrochirus",2076
"Fundulus olivaceus",1929
"Cyprinella venusta",1779
"Gambusia affinis",1577
"Notropis texanus",1302
"Lepomis cyanellus",1167
"Pimephales notatus",1106
"Micropterus salmoides",1086
"Pimephales vigilax",1060
"Percina sciera",921
"Labidesthes sicculus",900
"Notropis atherinoides",840
"Lepomis gulosus",831
"Luxilus chrysocephalus",826
"Micropterus punctulatus",772
"Notropis longirostris",761
"Percina nigrofasciata",760
"Etheostoma stigmaeum",700
"Notemigonus crysoleucas",699
"Semotilus atromaculatus",685
"Lythrurus bellus",683
"Hybognathus nuchalis",679
"Lythrurus roseipinnis",676
"Ictalurus punctatus",659
"Opsopoeodus emiliae",615
"Cyprinella camura",597
"Hybopsis winchelli",593
"Ammocrypta beani",577
"Aphredoderus sayanus",568
"Etheostoma swaini",542
"Etheostoma nigrum",532
"Moxostoma poecilurum",529
"Noturus leptacanthus",512
"Notropis volucellus",501
"Dorosoma cepedianum",496
"Notropis ammophilus",461
"Lepomis humilis",421
"Lepomis microlophus",420
"Nocomis leptocephalus",416
"Lepomis miniatus",415
"Cyprinella venusta cercostigma",413
"Fundulus notatus",399
"Hypentelium nigricans",395
"Notropis stilbius",388
"Elassoma zonatum",379
"Luxilus chrysocephalus isolepis",372
"Menidia beryllina",365
"Macrhybopsis storeriana",361
"Esox americanus",360
"Etheostoma rupestre",355
"Ameiurus natalis",352
"Noturus gyrinus",349
"Notropis baileyi",335
"Pimephales vigilax perspicuus",329
"Campostoma oligolepis",326
"Pomoxis annularis",324
"Etheostoma whipplei",313
"Fundulus jenkinsi",311
"Percina vigil",301
"Dorosoma petenense",299
"Noturus phaeus",296
"Trinectes maculatus",291
"Etheostoma chlorosomum",290
"Erimyzon oblongus",284
"Etheostoma lynceum",280
"Anchoa mitchilli",267
"Fundulus nottii",262
"Noturus miurus",249
"Lepomis sp.",247
"Ambloplites ariommus",246
"Etheostoma proeliare",245
"Lepomis marginatus",243
"Micropterus henshalli",238
"Ammocrypta meridiana",237
"Aplodinotus grunniens",231
"Mugil cephalus",226
"Ericymba amplamala",225
"Noturus funebris",224
