"Family","Count"
"Characidae",7012
"Cichlidae",2695
"Loricariidae",1730
"Serrasalmidae",1170
"Auchenipteridae",1008
"Lebiasinidae",968
"Curimatidae",800
"Crenuchidae",732
"Erythrinidae",726
"Anostomidae",656
"Pimelodidae",596
"Hypopomidae",593
"Engraulidae",471
"Sternopygidae",430
"Acestrorhynchidae",429
"Sciaenidae",408
"Doradidae",397
"Hemiodontidae",379
"Heptapteridae",361
"Callichthyidae",353
"Trichomycteridae",316
"Gasteropelecidae",255
"Gymnotidae",243
"Rivulidae",232
"Synbranchidae",199
"Rhamphichthyidae",189
"Cetopsidae",188
"Poeciliidae",183
"Apteronotidae",144
"Aspredinidae",140
"Ariidae",136
"Ctenoluciidae",119
"Chilodontidae",115
"Tetraodontidae",111
"Cynodontidae",105
"Belonidae",94
"Pristigasteridae",84
"Gobiidae",77
"Mugilidae",75
"Prochilodontidae",73
"Eleotridae",71
"Achiridae",66
"Carangidae",60
"Pseudopimelodidae",60
"Potamotrygonidae",53
"Clupeidae",50
"Polycentridae",44
"Osteoglossidae",43
"Anablepidae",34
"Bothidae",28
"Batrachoididae",23
"Parodontidae",22
"Lutjanidae",19
"Haemulidae",17
"Atherinopsidae",16
"Dasyatidae",14
"Carcharhinidae",12
"Syngnathidae",12
"Argentinidae",10
"Sphyrnidae",10
"Prystigasteridae",9
"Serranidae",7
"Atherinidae",6
"Centropomidae",6
"Cynoglossidae",6
"Lepidosirenidae",6
"Trichiuridae",6
"Ephippidae",5
"Stromateidae",5
"Gymnuridae",4
"Megalopidae",4
"Muraenidae",4
"Ophichthidae",4
"Pristidae",4
"Scombridae",4
"Cyprinodontidae",3
"Myliobatidae",3
"Paralichthyidae",3
"Squalidae",3
"Torpedinidae",3
"Diodontidae",2
"Echeneidae",2
"Elopidae",2
"Gerreidae",2
"Gymnotidade",2
"Helogeneidae",2
"Hemiramphidae",2
"Lobotidae",2
"Triakidae",2
"Blenniidae",1
"Centrarchidae",1
"Chacidae",1
"Chimaeridae",1
"Electrophoridae",1
"Gobiesocidae",1
"Mullidae",1
"Nematogenyidae",1
"Ogcocephalidae",1
"Rajidae",1
"Scoloplacidae",1
"Sphyraenidae",1
"Triglidae",1
