"dwc.scientificName","freq"
"Cyprinidae",719
"Centrarchidae",490
"Lepomis macrochirus",383
"Semotilus atromaculatus",285
"Crenicichla",284
"Lepomis gibbosus",242
"Micropterus salmoides",234
"Notropis cornutus",216
"Cottidae",212
"Catostomus commersonii",211
"Catostomidae",177
"Pimephales notatus",161
"Perca flavescens",153
"Ictalurus melas",117
"Umbridae",117
"Percidae",116
"Lepomis megalotis",114
"Lepomis cyanellus",108
"Notemigonus crysoleucas",105
"Etheostoma nigrum",102
"Characidae",101
"Chaenobryttus gulosus",93
"Etheostoma caeruleum",91
"Ictalurus natalis",90
"Gasterosteidae",82
"Syngnathus fuscus",81
"Moxostoma erythrurum",77
"Clupeidae",70
"Esox lucius",66
"Micropterus dolomieui",66
"Sciaenidae",61
"Esox americanus vermiculatus",58
"Atherinidae",54
"",47
"Fundulus heteroclitus",44
"Noturus gyrinus",44
"Pimephales vigilax",44
"Pleuronectidae",44
"Goodeidae",42
"Sparidae",41
"Ictalurus punctatus",40
"Salvelinus fontinalis",40
"Loricariidae",39
"Notropis rubellus",37
"Osmeridae",34
"Leporinus striatus",33
"Sternopygidae",33
"Pimephales promelas",32
"Aphredoderidae",31
"Barbus",30
"Carangidae",30
"Leporinus subniger",29
"Lutjanus griseus",28
"Centropomidae",27
"Notropis heterodon",26
"Notropis lutrensis",26
"Gambusia affinis",25
"Goodea luitpoldii",25
"Petromyzontidae",25
"Coregonus clupeaformis",24
"Gila nigrescens",24
"Salmonidae",24
"Notropis spilopterus",23
"Cichlidae",22
"Notropis texanus",22
"Haemulon sciurus",21
"Leporinus",21
"Batrachoididae",20
"Ichthyomyzon castaneus",20
"Lepomis microlophus",20
"Morone saxatilis",20
"Notropis volucellus",19
"Anostomus",18
"Caranx hippos",18
"Lepomis",18
"Poecilia latipinna",18
"Eleotridae",16
"Salmo trutta",16
"Characodon",15
"Fundulidae",15
"Tetraodontidae",15
"Anostomidae",14
"Caranx marginatus",14
"Haemulidae",14
"Ictalurus nebulosus",14
"Semotilus margarita",14
"Amia calva",13
"Bagridae",13
"Elassomatidae",13
"Mochokidae",13
"Notropis heterolepis",13
"Pimelodidae",13
"Polynemidae",13
"Scombridae",13
"Serranidae",13
"Trichiuridae",13
"Catostomus",12
"Cyprinodontidae",12
"Fundulus notatus",12
"Gila",12
"Labridae",12
"Lotidae",12
"Menidia beryllina",12
"Pomacentridae",12
"Atherinella",11
"Curimatidae",11
"Etheostoma",11
"Muraena",11
"Schizodon fasciatus",11
"Syngnathus",11
"Clariidae",10
"Goodea",10
"Notropis atherinoides",10
"Pholidae",10
"Acipenseridae",9
"Cichlasoma cyanoguttatum",9
"Cyclopteridae",9
"Engraulidae",9
"Exocoetidae",9
"Notropis",9
"Notropis hudsonius",9
"Serrasalmus marginatus",9
"Stromateidae",9
"Aequidens rivulatus",8
"Belonidae",8
"Caranx",8
"Etheostoma chlorosomum",8
"Fundulus chrysotus",8
"Fundulus majalis",8
"Gambusia nobilis",8
"Gerreidae",8
"Haemulon",8
"Haemulon plumieri",8
"Ictaluridae",8
"Lutjanidae",8
"Moxostoma",8
"Poeciliidae",8
"Serrasalmus nattereri",8
"Catostomus catostomus",7
"Etheostoma microperca",7
"Ichthyomyzon fossor",7
"Lepisosteus osseus",7
"Lepisosteus platostomus",7
"Leporinus friderici",7
"Notropis venustus",7
"Paralichthyidae",7
"Arius felis",6
"Belontiidae",6
"Embiotocidae",6
"Ephippidae",6
"Etheostoma exile",6
"Fundulus similis",6
"Gadidae",6
"Gobiidae",6
"Hexagrammidae",6
"Moxostoma macrolepidotum",6
"Mullidae",6
"Narcinidae",6
"Pomatomidae",6
"Potamotrygon",6
"Prionotus evolans",6
"Serrasalmus",6
"Synodontidae",6
"Tetraodon",6
"Xiphophorus",6
"Acestrorhynchus",5
"Aequidens",5
"Anguillidae",5
"Ariidae",5
"Arius",5
"Catostomus plebeius",5
"Chaenobryttus",5
"Chela",5
"Haemulon rimator",5
"Hoplias microlepis",5
"Hybopsis storeriana",5
"Ichthyomyzon",5
"Lepomis punctatus",5
"Leporinus ecuadorensis",5
"Leporinus pearsoni",5
"Lutjanus jocu",5
"Moxostoma valenciennesi",5
"Muraenidae",5
"Notropis ornatus",5
"Noturus flavus",5
"Ogcocephalidae",5
"Pimelodus",5
"Stichaeidae",5
"Agonidae",4
"Aplocheilus lineatus",4
"Coregonus artedi",4
"Coregonus hoyi",4
"Diodontidae",4
"Etheostoma fonticola",4
"Galeichthys",4
"Gambusia",4
"Lutjanus",4
"Monacanthus hispidus",4
"Mugil cephalus",4
"Narcine",4
"Notropis calientis",4
"Ophidiidae",4
"Ostraciidae",4
"Percopsidae",4
"Poecilia sphenops",4
"Salvelinus malma",4
"Triglidae",4
"Xiphophorus hellerii",4
"Achiridae",3
"Alestiidae",3
"Astyanax aeneus",3
"Bathyclupeidae",3
"Bothidae",3
"Centropristis striata",3
"Clinidae",3
"Coregonus lavaretus",3
"Cynoglossidae",3
"Cynoscion",3
"Dalatiidae",3
"Dasyatidae",3
"Diplectrum formosum",3
"Echeneidae",3
"Heterandria",3
"Hoplias",3
"Lebiasinidae",3
"Lepomis gulosus",3
"Lepomis marginatus",3
"Macrouridae",3
"Menidia menidia",3
"Micropterus punctulatus",3
"Molidae",3
"Monacanthidae",3
"Muraenesocidae",3
"Notemigonus",3
"Prionotus carolinus",3
"Psychrolutidae",3
"Scaridae",3
"Scorpaenidae",3
"Scyliorhinidae",3
"Sphyrnidae",3
"Squalidae",3
"Uranoscopidae",3
"Acestrorhynchus microlepis",2
"Achirus",2
"Achirus lineatus",2
"Acropomatidae",2
"Alestes",2
"Apogonidae",2
"Apteronotidae",2
"Arius jordani",2
"Astroblepus",2
"Astroblepus cyclopus",2
"Astyanax",2
"Astyanax mexicanus",2
"Atherinella sallei",2
"Blenniidae",2
"Cetopsidae",2
"Cichlasoma callolepis",2
"Coregonus",2
"Cynoscion nebulosus",2
"Cynoscion nothus",2
"Elopidae",2
"Esox americanus",2
"Esox masquinongy",2
"Etheostoma flabellare",2
"Fundulus cingulatus",2
"Gobiesocidae",2
"Grammicolepididae",2
"Halosaurus",2
"Hemiodontidae",2
"Heterandria formosa",2
"Ictalurus catus",2
"Ictalurus furcatus",2
"Lepisosteus oculatus",2
"Metynnis maculatus",2
"Morone chrysops",2
"Moxostoma duquesnei",2
"Mugilidae",2
"Mycteroperca",2
"Myripristis",2
"Neoscopelidae",2
"Notropis anogenus",2
"Pimelodus maculatus",2
"Plesiopidae",2
"Pristidae",2
"Salvelinus namaycush",2
"Scarus vetula",2
"Scorpaena",2
"Sebastes",2
"Sebastes caurinus",2
"Sebastes flavidus",2
"Serrasalmus rhombeus",2
"Siluridae",2
"Soleidae",2
"Sphyraenidae",2
"Sternoptychidae",2
"Triacanthidae",2
"Urogymnus",2
"Urophycis tenuis",2
"Zoarcidae",2
"Acanthurus",1
"Acestrorhynchus falcirostris",1
"Amblyopsidae",1
"Ammodytidae",1
