"Continent","Count"
"usa",16874
"mex",4868
"ecu",952
"chl",546
"bra",307
"ind",225
"blz",217
"hnd",192
"col",184
"arg",158
"aus",142
"ken",111
"sdn",83
"gbr",79
"ukr",60
"cri",58
"pan",44
"slv",43
"can",38
"deu",38
"esp",33
"nam",27
"pak",21
"pri",10
"per",7
"vir",7
"ven",6
"jam",5
"bhs",4
"hun",4
"ita",4
"jpn",4
"arm",3
"gha",3
"mys",3
"vnm",3
"bol",2
"fra",2
"kaz",2
"sur",2
"tha",2
"ago",1
"che",1
"chn",1
"cog",1
"cub",1
"dom",1
"geo",1
"grc",1
"hrv",1
"hti",1
"isr",1
"lka",1
"mdg",1
"mmr",1
"moz",1
"mwi",1
"nzl",1
"phl",1
"syc",1
"tcd",1
"tto",1
"twn",1
