"Collector","Count"
"j",856
"richard",518
"seltin",516
"holman",329
"alan",328
"l",130
"robert",114
"anstey",107
"c",102
"edwin",90
"galbreath",90
"collector",29
"unknown",29
"r",28
"dennis",26
"department",26
"field",26
"interior",26
"john",26
"national",26
"of",26
"park",26
"parmley",26
"party",26
"service",26
"states",26
"the",26
"united",26
"d",22
"alisa",20
"griggs",20
"case",19
"gerard",19
"david",18
"w",17
"clayden",16
"harrison",14
"bernard",12
"bob",12
"slaughter",12
"landau",11
"william",9
"dunn",8
"rage",8
"a",6
"claude",6
"hibbard",6
"carroll",5
"green",5
"rickey",5
"s",5
"evander",4
"george",4
"gillette",4
"churcher",3
"clair",3
"company",3
"e",3
"henry",3
"horner",3
"kelly",3
"ossian",3
"paul",3
"scientific",3
"ward's",3
"ziegenhine",3
"b",2
"baker",2
"charles",2
"dalquest",2
"davies",2
"h",2
"leggett",2
"m",2
"ralph",2
"short",2
"t",2
"tom",2
"walter",2
"aureal",1
"austin",1
"bill",1
"borodin",1
"brodkorb",1
"brown",1
"cannell",1
"carl",1
"chris",1
"clyde",1
"comstock",1
"cook",1
"cross",1
"darrell",1
"delmer",1
"denslow",1
"dobson",1
"don",1
"doug",1
"doughtery",1
"dysinger",1
"ed",1
"ellembaum",1
"eric",1
"erickson",1
"ernest",1
"fajnor",1
"fay",1
"ferguson",1
"flanders",1
"floyd",1
"ford",1
"fred",1
"furth",1
"g",1
"glen",1
"gott",1
"greer",1
"hale",1
"hardy",1
"hauser",1
"henery",1
"hoekstra",1
"holtforth",1
"hope",1
"hudson",1
"hughes",1
"imlay",1
"ingert",1
"irving",1
"jonio",1
"k",1
"kaye",1
"keever",1
"klippell",1
"knight",1
"leonard",1
"leslie",1
"levy",1
"macdonald",1
"mallory",1
"mccreary",1
"milton",1
"monahan",1
"nelson",1
"orzel",1
"p",1
"peck",1
"phyllis",1
"pierce",1
"pieter",1
"ray",1
"richards",1
"ronald",1
"skipper",1
"stack",1
"steinfurth",1
"vanhorn",1
"walling",1
"wilson",1
"wood",1
