"Family","Count"
"captorhinidae",111
"colubridae",105
"ranidae",78
"trimerorhachidae",78
"hylidae",62
"testudinidae",49
"emydidae",46
"bufonidae",43
"boidae",36
"eryopidae",25
"mammutidae",24
"castoridae",22
"equidae",22
"anguidae",21
"palaeophidae",21
"ambystomatidae",20
"elephantidae",16
"scaphiopodidae",15
"ictaluridae",13
"cervidae",12
"scincidae",12
"trionychidae",12
"viperidae",12
"merycoidodontidae",11
"xenacanthidae",11
"phrynosomatidae",8
"lepisosteidae",7
"paraclupeidae",7
"rhineuridae",7
"bovidae",6
"eobrachyopidae",6
"alligatoridae",5
"iguanidae",5
"centrarchidae",4
"lepidosirenidae",4
"rhinocerotidae",4
"tapiridae",4
"ursidae",4
"antilocapridae",3
"brontotheriidae",3
"carcharhinidae",3
"elapidae",3
"heteromyidae",3
"mylagaulidae",3
"phytosauridae",3
"plethodontidae",3
"polychrotidae",3
"teiidae",3
"amiidae",2
"anatidae",2
"bothriolepidae",2
"cochliodontidae",2
"cricetidae",2
"edaphosauridae",2
"gomphotheriidae",2
"hadrosauridae",2
"helaletidae",2
"ichthyostegidae",2
"kinosternidae",2
"lamnidae",2
"leporidae",2
"metoposauridae",2
"muridae",2
"mustelidae",2
"myliobatidae",2
"odontaspididae",2
"percidae",2
"phocidae",2
"sirenidae",2
"talpidae",2
"tristichopteridae",2
"accipitridae",1
"allosauridae",1
"amphiumidae",1
"camelidae",1
"catostomidae",1
"caviidae",1
"cheloniidae",1
"chelydridae",1
"coccosteidae",1
"coelacanthidae",1
"corvidae",1
"crocodylidae",1
"crotaphytidae",1
"cryptobranchidae",1
"cyprinidae",1
"diadectidae",1
"didelphidae",1
"dinichthyidae",1
"dinornithidae",1
"dissorophidae",1
"entelodontidae",1
"esocidae",1
"felidae",1
"geomyidae",1
"gymnarthridae",1
"hemigaleidae",1
"hypsilophodontidae",1
"hyracodontidae",1
"ichthyornithidae",1
"ichthyosauridae",1
"isotemnidae",1
"lacertidae",1
"leptomerycidae",1
"lysorophidae",1
"megalonychidae",1
"megatheriidae",1
"menodus",1
"microhylidae",1
"mitsukurinidae",1
"mosasauridae",1
"ochotonidae",1
"oromerycidae",1
"pachyvaranidae",1
"palaeobatrachidae",1
"palaeotheriidae",1
"pantolambdidae",1
"pelomedusidae",1
"phasianidae",1
"phenacodontidae",1
"podicipedidae",1
"procolophonidae",1
"proterotheriidae",1
"protoceratidae",1
"ptolemaiidae",1
"salamandridae",1
"semionotidae",1
"sphyraenidae",1
"stegosauridae",1
"struthionidae",1
"tayassuidae",1
"tropidophiidae",1
"tropiduridae",1
