"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"cast","msu","vp","vp.476","Mount","","",NA,NA,NA,1
"skeleton","msu","vp","vp.1583","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1011","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1253","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.167","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1255","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1257","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1911","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1912","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.941","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1783","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1258","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1009","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1023","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1252","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1254","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1910","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1220","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1256","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1012","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1010","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.795","Skeleton","","",NA,NA,NA,402
"skeleton","msu","vp","vp.1895","Skeleton","","",NA,NA,NA,402
"skeleton, matrix","msu","vp","vp.507","Skeleton","","",NA,NA,NA,2
"skeleton, matrix","msu","vp","vp.506","Skeleton","","",NA,NA,NA,2
"skeleton, matrix","msu","vp","vp.509","Skeleton","","",NA,NA,NA,2
