"Collector","Count"
"m",2180
"horton",1127
"william",1119
"j",729
"alan",680
"holman",680
"charles",623
"p",618
"fugler",600
"r",537
"tack",475
"i",427
"edward",412
"speare",412
"peter",409
"clifford",384
"hugh",384
"george",383
"williams",383
"f",304
"bruce",273
"vollmar",273
"john",236
"greer",228
"keever",228
"h",220
"michael",219
"c",214
"t",209
"w",206
"ovchynnyk",203
"clair",182
"ossian",182
"macgregor",176
"james",173
"g",169
"taube",165
"b",159
"struhsaker",159
"e",154
"collector",153
"unknown",153
"alexander",151
"gaylord",151
"horn",146
"wilkinson",138
"l",133
"larry",128
"wollmar",122
"thomas",117
"kramer",113
"mercer",107
"patriarche",107
"soman",103
"robbins",97
"diangelo",95
"steve",95
"mell",90
"david",89
"mohrhardt",89
"baker",87
"rollin",87
"jack",82
"robert",72
"d",66
"fish",63
"webb",52
"black",48
"morgan",48
"ted",48
"of",46
"institute",42
"research",42
"paul",40
"gregor",39
"mac",39
"billy",38
"tutor",37
"richard",36
"bush",34
"esobueno",34
"florens",34
"roger",34
"k",33
"thornton",33
"engemann",30
"joseph",30
"o",28
"s",28
"department",25
"garry",25
"gary",25
"spencer",25
"olalla",24
"browning",23
"clary",23
"gerald",23
"haak",23
"v",23
"dalquest",22
"walter",22
"macnabb",21
"michigan",21
"ross",21
"wildlife",21
"bowdre",20
"spence",20
"beckman",19
"a",18
"jones",18
"allen",17
"morofsky",17
"nicolsky",17
"carl",16
"brothers",15
"frels",15
"brooks",14
"friedersdorff",14
"gore",14
"mckee",14
"nikolsky",13
"turov",13
"akin",12
"schindler",12
"fitzner",11
"flaherty",11
"hartman",11
"simmons",11
"fitch",10
"ray",10
"rogers",10
"prokhorov",9
"gross",8
"maier",8
"okey",8
"theo",8
"will",8
"oefinger",7
"olfinger",7
"simeon",7
"deusen",6
"ian",6
"roth",6
"hellier",5
"julio",5
"martin",5
"meehan",5
"paredes",5
"popp",5
"schoonbeck",5
"terrance",5
"koschmann",4
"n",4
"natural",4
"resources",4
"shcherbak",4
"tom",4
"dr",3
"french",3
"loesh",3
"philip",3
"pister",3
"ralph",3
"spanowskaya",3
"wagler",3
"bartlett",2
"blankenbaker",2
"burquist",2
"dalby",2
"dejaegher",2
"dubrovsky",2
"edelmann",2
"ertler",2
"gene",2
"jens",2
"judy",2
"kryzanowsky",2
"mcgregor",2
"miller",2
"pierce",2
"raymer",2
"seifert",2
"seifort",2
"smith",2
"terofal",2
"touborg",2
"vronsky",2
"abelentsev",1
"auila",1
"axila",1
"bandurski",1
"baranenkova",1
"berg",1
"bob",1
"buchanan",1
"bullis",1
"caldwell",1
"camm",1
"cieslinski",1
"collectors",1
"cooley",1
"curenkov",1
"currier",1
"davis",1
"dickinson",1
"earl",1
"ernst",1
"fischer",1
"hall",1
"harvey",1
"johnson",1
"kaufmann",1
"lampert",1
"lassleben",1
"lewis",1
"m.d",1
"mccreary",1
"mohammedeeva",1
"mrs",1
"musolf",1
"raymeu",1
"savage",1
"several",1
"simmens",1
"spenel",1
"stanage",1
"swift",1
"wayne",1
"weim",1
"wendell",1
"williard",1
"wilson",1
