"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"fluid","msum","ic","ic.5406","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.1729","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.2585","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.2451","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.93","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.135","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.1674","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.964","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.1049","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.6480","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.4487","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.6997","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.3552","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.6664","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.5131","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.2072","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.506","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.5870","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.2236","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.3994","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.2611","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.3168","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.4780","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.5479","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.319","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.1560","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.1129","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.2389","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.4141","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.2287","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.2489","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.6161","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.5353","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.3594","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.2057","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.5921","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.2105","EtOH","","",NA,NA,NA,693
"fluid","msum","ic","ic.5208","EtOH","","",NA,NA,NA,693
