"Family","Count"
"Cyprinidae",26425
"Centrarchidae",10149
"Percidae",9738
"Catostomidae",6373
"Ictaluridae",4184
"Clupeidae",1591
"Poeciliidae",1473
"Aphredoderidae",1449
"Esocidae",1433
"Fundulidae",1170
"Anguillidae",1141
"Carangidae",738
"Cottidae",657
"Umbridae",580
"Engraulidae",561
"Congridae",545
"Atherinopsidae",508
"Ophichthidae",483
"Elassomatidae",448
"Sciaenidae",446
"Petromyzontidae",431
"Monacanthidae",411
"Salmonidae",389
"Carcharhinidae",365
"Exocoetidae",315
"Gobiidae",301
"Paralichthyidae",289
"Serranidae",246
"Sparidae",236
"Moronidae",213
"Amblyopsidae",202
"Muraenidae",199
"Balistidae",177
"Scombridae",175
"Mugilidae",171
"Myctophidae",166
"Gonostomatidae",164
"Belonidae",162
"Lepisosteidae",161
"Hemiramphidae",145
"Priacanthidae",134
"Gobiesocidae",131
"Lutjanidae",130
"Ophidiidae",125
"Syngnathidae",125
"Scorpaenidae",118
"Haemulidae",116
"Nettastomatidae",116
"Gerreidae",114
"Acipenseridae",113
"Tetraodontidae",113
"Bothidae",111
"Phycidae",109
"Achiridae",107
"Amiidae",107
"Labridae",97
"Batrachoididae",88
"Rajidae",84
"Cyprinodontidae",82
"Synodontidae",82
"Pomacentridae",81
"Cichlidae",79
"Malacanthidae",79
"Triglidae",77
"Sphyrnidae",76
"Stromateidae",73
"Coryphaenidae",72
"Sternoptychidae",68
"Holocentridae",65
"Pleuronectidae",60
"Pomacanthidae",59
"Myliobatidae",55
"Cynoglossidae",51
"Diodontidae",51
"Eleotridae",51
"Gasterosteidae",47
"Chaetodontidae",45
"Echeneidae",41
"Pomatomidae",39
"Blenniidae",35
"Dasyatidae",35
"Kyphosidae",35
"Dactylopteridae",33
"Elopidae",33
"Ogcocephalidae",33
"Sphyraenidae",33
"Acanthuridae",32
"Mullidae",32
"Triakidae",32
"Synaphobranchidae",31
"Apogonidae",30
"Scaridae",29
"Macrouridae",28
"Squatinidae",28
"Lobotidae",27
"Lophiidae",27
"Fistulariidae",26
"Ostraciidae",26
"Trichiuridae",26
"Myxinidae",25
"Narcinidae",25
"Characidae",24
"Ephippidae",23
"Istiophoridae",23
"Zeidae",23
"Callionymidae",22
"Moringuidae",21
"Rachycentridae",21
"Scyliorhinidae",21
"Caproidae",20
"Gempylidae",20
"Labrisomidae",19
"Squalidae",19
"Uranoscopidae",19
"Anguilliformes",18
"Nemichthyidae",18
"Nomeidae",18
"Paralepididae",18
"Trachichthyidae",18
"Chlopsidae",17
"Scophthalmidae",16
"Acropomatidae",15
"Ariidae",15
"Atherinidae",15
"Carapidae",15
"Molidae",15
"Peristediidae",15
"Centropomidae",14
"Embiotocidae",14
"Gadidae",14
"Merlucciidae",14
"Moridae",14
"Ariommatidae",13
"Bythitidae",13
"Channidae",13
"Chaunacidae",13
"Galaxiidae",13
"Hiodontidae",13
"Macroramphosidae",13
"Odontaspididae",13
"Rhinobatidae",13
"Antennariidae",12
"Gymnuridae",12
"Loricariidae",12
"Stomiidae",12
"Lamnidae",11
"Phosichthyidae",11
"Ptereleotridae",11
"Synbranchidae",11
"Albulidae",9
"Epigonidae",9
"Centrolophidae",8
"Cetorhinidae",8
"Percopsidae",8
"Torpedinidae",8
"Alepisauridae",7
"Etmopteridae",7
"Ginglymostomatidae",7
"Megalopidae",7
"Pristidae",7
"Clariidae",6
"Lotidae",6
"Melamphaidae",6
"Polynemidae",6
"Zoarcidae",6
"Alopiidae",5
"Ateleopodidae",5
"Aulostomidae",5
"Bramidae",5
"Draconettidae",5
"Pholidae",5
"Polyprionidae",5
"Xiphiidae",5
"Ammodytidae",4
"Cobitidae",4
"Halosauridae",4
"Hemitripteridae",4
"Hexagrammidae",4
"Lethrinidae",4
"Liparidae",4
"Osmeridae",4
"Polyodontidae",4
"Urolophidae",4
"Derichthyidae",3
"Grammicolepididae",3
"Nemipteridae",3
"Notacanthidae",3
"Osphronemidae",3
"Pinguipedidae",3
"Terapontidae",3
"Tripterygiidae",3
"Agonidae",2
"Alepocephalidae",2
"Ambassidae",2
"Argentinidae",2
"Balitoridae",2
"Ceratiidae",2
"Chlorophthalmidae",2
"Cyclopteridae",2
"Drepaneidae",2
"Eurypharyngidae",2
"Goodeidae",2
"Hemiscylliidae",2
"Hexanchidae",2
"Percophidae",2
"Pleuronectiformes",2
"Protopteridae",2
"Psychrolutidae",2
"Serrivomeridae",2
"Sillaginidae",2
"Siluridae",2
"Triacanthodidae",2
"Adrianichthyidae",1
"Amphiliidae",1
"Anarhichadidae",1
"Atherionidae",1
"Aulorhynchidae",1
"Bagridae",1
"Bathyclupeidae",1
"Bathysauridae",1
"Berycidae",1
"Bovichtidae",1
"Bregmacerotidae",1
"Centracanthidae",1
"Centriscidae",1
"Chanidae",1
"Cheilodactylidae",1
"Cheimarrhichthyidae",1
"Chimaeridae",1
"Cirrhitidae",1
"Cryptacanthodidae",1
"Dactyloscopidae",1
"Diretmidae",1
"Echinorhinidae",1
"Gymnotidae",1
"Gyrinocheilidae",1
"Hemigaleidae",1
"Heptapteridae",1
"Heterodontidae",1
"Howellidae",1
"Hypopomidae",1
"Ipnopidae",1
"Latidae",1
"Mastacembelidae",1
"Mochokidae",1
"Muraenesocidae",1
"Notopteridae",1
"Ophidiiformes",1
"Parazenidae",1
"Parodontidae",1
"Pempheridae",1
"Pimelodidae",1
"Platycephalidae",1
"Platytroctidae",1
"Polymixiidae",1
"Pristigasteridae",1
"Proscylliidae",1
"Pseudochromidae",1
"Regalecidae",1
"Rivulidae",1
"Scatophagidae",1
"Sisoridae",1
"Stephanoberycidae",1
"Stichaeidae",1
"Toxotidae",1
"Zenionidae",1
