"dwc.scientificName","freq"
"Nocomis leptocephalus",2100
"Lepomis auritus",1523
"Lepomis macrochirus",1520
"Aphredoderus sayanus",1449
"Etheostoma sp. (cf. olmstedi",1320
"Gambusia holbrooki",1281
"Semotilus atromaculatus",1258
"Clinostomus funduloides",1214
"Campostoma anomalum",1189
"Noturus insignis",1180
"Anguilla rostrata",1140
"Hypentelium nigricans",1068
"Enneacanthus gloriosus",1033
"Erimyzon oblongus",1001
"Etheostoma sp. (cf. nigrum/olmstedi",999
"Notemigonus crysoleucas",994
"Cyprinella analostana",987
"Micropterus salmoides",979
"Esox americanus",825
"Luxilus albeolus",823
"Lepomis gulosus",799
"Notropis procne",794
"Notropis altipinnis",781
"Lepomis gibbosus",766
"Catostomus commersonii",759
"Notropis hudsonius",721
"Luxilus coccogenis",695
"Notropis chiliticus",685
"Rhinichthys obtusus",620
"Nocomis micropogon",602
"Esox niger",599
"Moxostoma collapsum",592
"Ameiurus natalis",589
"Notropis scepticus",577
"Cyprinella galactura",575
"Umbra pygmaea",573
"Notropis cummingsae",550
"Lepomis cyanellus",547
"Ameiurus platycephalus",520
"Notropis leuciodus",512
"Etheostoma serrifer",511
"Noturus gyrinus",510
"Etheostoma fusiforme",480
"Percina crassa",478
"Hybopsis hypsinotus",447
"Centrarchus macropterus",417
"Percina roanoka",412
"Etheostoma brevispinum",393
"Rhinichthys cataractae",393
"Notropis amoenus",390
"Anchoa mitchilli",383
"Notropis spectrunculus",383
"Hybognathus regius",382
"Scartomyzon rupiscartes",378
"Scartomyzon sp. Brassy Jumprock",370
"Etheostoma sp. (cf. flabellare--Roa'k.-Susq.",365
"Notropis petersoni",362
"Notropis rubricroceus",356
"Luxilus cerasinus",353
"Acantharchus pomotis",341
"Alosa aestivalis",339
"Cyprinella pyrrhomelas",333
"Notropis alborus",330
"Micropterus dolomieu",313
"Brevoortia tyrannus",310
"Chrosomus oreas",302
"Moxostoma duquesnei",302
"Cottus sp. (bairdii complex",292
"Elassoma zonatum",291
"Moxostoma pappillosum",286
"Lythrurus ardens",281
"Ameiurus brunneus",276
"Fundulus rathbuni",276
"Ameiurus nebulosus",262
"Cyprinella nivea",260
"Ambloplites rupestris",256
"Perca flavescens",253
"Pomoxis nigromaculatus",253
"Lepomis marginatus",252
"Lythrurus matutinus",251
"Hybopsis amblops",249
"Percina nevisense",248
"Alosa sapidissima",247
"Notropis chalybaeus",243
"Notropis sp. (cf. lutipinnis--Congaree Basin",239
"Lepomis microlophus",233
"Notropis telescopus",226
"Notropis chlorocephalus",225
"Etheostoma vitreum",215
"Fundulus lineolatus",215
"Minytrema melanops",215
"Dorosoma cepedianum",212
"Ameiurus catus",209
"Etheostoma sp. (cf. flabellare--Pee Dee-Tar",205
"Moxostoma erythrurum",204
"Cyprinella chloristia",202
"Chologaster cornuta",201
"Percina evides",200
"Cyprinella spiloptera",196
"Etheostoma zonale",195
"Luxilus chrysocephalus",195
"Alosa pseudoharengus",194
"Pimephales notatus",191
"Etheostoma swannanoa",185
"Nocomis raneyi",184
"Hypentelium roanokense",181
"Ichthyomyzon greeleyi",181
"Notropis photogenis",181
"Erimyzon sucetta",180
"Etheostoma rufilineatum",180
"Etheostoma chlorobranchium",178
"Enneacanthus obesus",173
"Stephanolepis hispidus",173
"Etheostoma sp. (cf. flabellare--Upper Kanawha",170
"Oncorhynchus mykiss",170
"Caranx crysos",167
"Ictalurus punctatus",167
"Moxostoma macrolepidotum",162
"Scartomyzon cervinus",149
"Ariosoma balearicum",145
"Fundulus heteroclitus",145
"Etheostoma thalassinum",144
"Notropis volucellus",143
"Etheostoma collis",142
"Enneacanthus chaetodon",139
"Etheostoma caeruleum",138
"Etheostoma blennioides",134
"Paraconger caudilimbatus",132
"Etheostoma newmanii",131
"Etheostoma flabellare",130
"Etheostoma olmstedi",130
"Morone americana",130
"Gobiesox strumosus",128
"Lepisosteus osseus",127
"Cottus bairdii",125
"Salmo trutta",123
"Menidia beryllina",122
"Fundulus diaphanus",116
"Lepomis megalotis",116
"Lepomis punctatus",116
"Leiostomus xanthurus",115
"Cyprinella labrosa",114
"Etheostoma sp. (cf. flabellare--upper TN",114
"Notropis sp. (cf. rubellus--Upper Kanawha",109
"Balistes capriscus",108
"Percina caprodes",108
"Amia calva",107
"Micropogonias undulatus",107
"Etheostoma kanawhae",105
"Etheostoma nigrum",104
"Luxilus cornutus",104
"Labidesthes vanhyningi",102
"Phenacobius crassilabrum",102
"Membras martinica",101
"Anchoa hepsetus",99
"Cottus carolinae",95
"Micropterus punctulatus",94
"Notropis stramineus",94
"Cyprinella zanema",93
"Trinectes maculatus",90
"Urophycis regia",89
"Parexocoetus brachypterus",88
"Rhinichthys atratulus",88
"Acipenser oxyrinchus",87
"Campostoma oligolepis",87
"Elassoma evergladei",87
"Nocomis platyrhynchus",87
"Ophichthus gomesii",87
"Notropis lutipinnis",85
"Alosa mediocris",84
"Mugil cephalus",84
"Percina nigrofasciata",84
"Etheostoma mariae",83
"Lythrurus umbratilis",82
"Notropis micropteryx",82
"Semotilus lumbee",82
"Pylodictis olivaris",81
"Gymnothorax ocellatus",80
"Exoglossum maxillingua",79
"Rhynchoconger flavus",79
"Menidia menidia",78
"Notropis rubellus",78
"Ophichthidae",78
"Cyprinella lutrensis",77
"Rhizoprionodon terraenovae",77
"Notropis scabriceps",76
"Lampetra aepyptera",74
"Semotilus corporalis",74
"Lagodon rhomboides",73
"Moxostoma robustum",73
"Phenacobius teretulus",73
"Etheostoma podostemone",71
"Fundulus majalis",71
"Dorosoma petenense",70
"Moxostoma sp. Carolina Redhorse",70
"Ericymba buccata",69
"Myrophis punctatus",68
"Paralichthys lethostigma",68
"Ophidion josephi",67
"Percina gymnocephala",67
"Petromyzon marinus",66
"Heterandria formosa",65
"Notropis mekistocholas",65
"Clinostomus sp. Smoky Dace",64
"Cyprinodon variegatus",63
"Etheostoma gutselli",63
"Noturus furiosus",63
"Opsanus tau",63
"Carcharhinus acronotus",62
"Lampetra appendix",62
"Labidesthes sicculus",61
"Cheilopogon melanurus",60
"Erimystax insignis",60
"Coryphaena hippurus",59
"Fundulus chrysotus",59
"Lucania parva",59
"Mugil curema",57
"Gambusia affinis",56
"Ambloplites cavifrons",55
"Cyprinus carpio",55
"Pristigenys alta",55
"Exoglossum laurae",54
"Sphyrna lewini",54
"Bothus sp.",53
"Pimephales promelas",53
"Aluterus schoepfii",52
"Caranx sp.",52
"Hybopsis rubrifrons",52
"Fundulus olivaceus",51
"Hoplunnis macrura",50
"Notropis maculatus",50
"Strongylura marina",49
"Aluterus heudelotii",48
"Cyprinella venusta",47
"Cyprinella sp. Thinlip Chub",46
"Prognichthys occidentalis",46
"Stenotomus chrysops",46
"Notropis boops",45
"Noturus leptacanthus",45
"Benthosema glaciale",44
"Elassoma boehlkei",43
"Etheostoma simoterum",43
"Notropis atherinoides",43
"Fundulus catenatus",42
"Hemiramphus brasiliensis",42
"Chrosomus erythrogaster",41
"Orthopristis chrysoptera",41
"Seriola sp.",41
"Sphoeroides sp.",41
"Tylosurus acus",41
"Pteronotropis stonei",40
"Synodus foetens",40
"Caranx ruber",39
"Cottus caeruleomentum",39
"Cyclothone sp.",39
"Etheostoma spectabile",39
"Pomatomus saltatrix",39
"Auxis sp.",38
"Campostoma pullum",38
"Percina aurantiaca",38
"Ablennes hians",37
"Euthynnus alletteratus",37
"Menidia extensa",37
"Morone saxatilis",37
"Ophichthus puncticeps",37
"Sicydium plumieri",37
"Bairdiella chrysoura",36
"Callechelys muraena",36
"Carcharhinus limbatus",36
"Monacanthus ciliatus",36
"Noturus flavus",36
"Noturus sp. Broadtail Madtom",36
"Opisthonema oglinum",36
"Carcharhinus brevipinna",35
"Peprilus triacanthus",35
"Pomoxis annularis",35
"Abudefduf saxatilis",34
"Syacium sp.",34
"Morone chrysops",33
"Scartomyzon ariommus",33
"Carcharhinus obscurus",32
"Dactylopterus volitans",32
"Echeneis naucrates",32
"Elops saurus",32
"Seriola rivoliana",32
"Cyprinella whipplei",31
"Mustelus canis",30
"Salvelinus fontinalis",30
"Carcharhinus falciformis",29
"Carpiodes sp. (cf. cyprinus",29
"Centrarchidae hybrid Lepomis auritus x cyanellus?",29
"Cyclothone alba",29
"Cyclothone microdon",29
"Gobiosoma bosc",29
"Notropis bifrenatus",29
"Noturus miurus",29
"Aluterus scriptus",28
"Carpiodes cyprinus",28
"Cyclothone pseudopallida",28
"Decapterus punctatus",28
"Decapterus sp.",28
"Etheostoma variatum",28
"Euleptorhamphus velox",28
"Galeocerdo cuvier",28
"Percina sciera",28
"Pimephales vigilax",28
"Hippocampus erectus",27
"Hirundichthys affinis",27
"Ichthyomyzon bdellium",27
"Lobotes surinamensis",27
"Percina maculata",27
"Percina notogramma",27
"Poecilia latipinna",27
"Seriola dumerili",27
"Sicydium buscki",27
"Squatina dumeril",27
