"Country","Count"
"sweden",11232
"paraguay",4219
"myanmar",3957
"peru",2869
"uruguay",2866
"gambia",2259
"china",2251
"brazil",2195
"colombia",1902
"india",1583
"french guiana",705
"united states",665
"italy",606
"el salvador",597
"n/a",568
"indonesia",528
"japan",521
"zambia",519
"russian federation",518
"greece",455
"congo kinshasa",433
"tunisia",296
"sri lanka",287
"kenya",270
"vietnam",249
"norway",241
"ecuador",231
"spain",231
"argentina",229
"venezuela",216
"malaysia",204
"denmark",202
"svalbard and jan mayen",202
"iceland",195
"tanzania",186
"greenland",162
"australia",145
"thailand",144
"france",139
"guadeloupe",138
"turkey",137
"laos",133
"unknown country",132
"bolivia",130
"chile",126
"suriname",126
"finland",120
"mexico",114
"canada",113
"madagascar",110
"portugal",108
"singapore",105
"seychelles",104
"south africa",102
"angola",99
"cameroon",91
"korea, north",79
"taiwan",78
"mozambique",72
"romania",72
"egypt",66
"falkland islands",66
"nigeria",64
"south georgia and the south sandwich islands",64
"guatemala",63
"namibia",59
"panama",56
"new zealand",55
"sudan",55
"philippines",54
"cuba",53
"guyana",52
"nicaragua",49
"ivory coast",47
"saudi arabia",46
"costa rica",45
"antarctica",42
"germany",42
"croatia",40
"faroe islands",36
"slovenia",34
"undetermined country",33
"united arab emirates",31
"equatorial guinea",30
"estonia",27
"korea, south",27
"bosnia and herzegovina",25
"bangladesh",23
"mauritania",23
"sierra leone",23
"new caledonia",20
"poland",18
"virgin islands, u.s.",18
"cambodia",17
"georgia",17
"israel",17
"central african republic",16
"korea",16
"haiti",15
"hungary",15
"ireland",15
"mauritius",14
"tonga",14
"united kingdom",13
"french polynesia",12
"guinea-bissau",12
"morocco",12
"bermuda",11
"grenada",11
"burundi",10
"eritrea",10
"trinidad and tobago",10
"algeria",9
"bulgaria",9
"ghana",9
"iran",8
"oman",8
"saint helena",8
"senegal",8
"austria",7
"liberia",7
"marshall islands",7
"pakistan",7
"puerto rico",7
"ukraine",7
"brunei darussalam",6
"cocos (keeling) islands",6
"czech republic",6
"fiji",6
"guinea",6
"honduras",6
"ethiopia",5
"gabon",5
"kazakhstan",5
"serbia",5
"syria",5
"malta",4
"martinique",4
"mongolia",4
"netherlands antilles",4
"papua new guinea",4
"uganda",4
"dominican republic",3
"sao tome and principe",3
"zimbabwe",3
"cabo verde",2
"macedonia",2
"nepal",2
"switzerland",2
"turkmenistan",2
"yemen",2
"anguilla",1
"azerbaijan",1
"belgium",1
"cyprus",1
"finland/russia",1
"jamaica",1
"mali",1
"montenegro",1
"solomon islands",1
"swaziland",1
