"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
NA,"nrm","nrm-fish","59023","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","12665","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","36050","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","51374","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","23450","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","18880","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","31621","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","33503","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","64982","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","25922","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","52751","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","59819","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","46263","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","2621","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","34899","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","16747","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","33962","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","63118","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","10225","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","35604","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","33305","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","68435","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","28456","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","39966","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","39427","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","48282","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","14397","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","55891","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","15851","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","53596","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","44165","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","27089","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","39986","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","40494","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","53565","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","16674","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","5093","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","21181","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","35891","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","45724","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","27523","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","51146","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","38936","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","11321","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","12457","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","17621","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","24438","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","23175","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","37356","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","54276","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","33105","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","34023","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","29613","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","31975","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","51227","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","21","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","49095","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","34695","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","8676","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","65081","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","32395","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","45263","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","47621","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","64556","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","44554","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","17385","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","15031","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","53250","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","22342","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","25508","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","16579","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","41058","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","53089","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","16916","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","61152","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","39218","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","52300","","","",NA,NA,NA,12688
NA,"nrm","nrm-fish","35413","","","",NA,NA,NA,12688
