"Family","Count"
"Cyprinidae",21466
"Centrarchidae",14177
"Percidae",4836
"Ictaluridae",2979
"Poeciliidae",2798
"Catostomidae",2329
"Fundulidae",2269
"Atherinopsidae",1678
"Clupeidae",1257
"Moronidae",430
"Lepisosteidae",356
"Sciaenidae",330
"Cottidae",316
"Cyprinodontidae",289
"Esocidae",280
"Aphredoderidae",119
"Elassomatidae",68
"Petromyzontidae",50
"Characidae",47
"Hiodontidae",34
"Cichlidae",29
"Anguillidae",16
"Salmonidae",16
"Amiidae",9
"Umbridae",8
"Gasterosteidae",7
"Polyodontidae",6
"Acipenseridae",4
"Amblyopsidae",4
"Lotidae",3
"Percopsidae",3
"Sparidae",3
"Cyprindae",2
"Syngnathidae",2
"Ammodytidae",1
"Atherniopsidae",1
"Clariidae",1
"Cynoglossidae",1
"Cyprindiae",1
"Cyprinida",1
"Cyprinide",1
"Diodontidae",1
"Elopidae",1
"Gerreidae",1
"Haemulidae",1
"Osmeridae",1
"Polynemidae",1
