"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
NA,"omnh","fish","79370.0","","","",NA,NA,NA,12688
NA,"omnh","fish","32486.0","","","",NA,NA,NA,12688
NA,"omnh","fish","61672.0","","","",NA,NA,NA,12688
NA,"omnh","fish","65020.0","","","",NA,NA,NA,12688
NA,"omnh","fish","41412.0","","","",NA,NA,NA,12688
NA,"omnh","fish","41321.0","","","",NA,NA,NA,12688
NA,"omnh","fish","47229.0","","","",NA,NA,NA,12688
NA,"omnh","fish","72890.0","","","",NA,NA,NA,12688
NA,"omnh","fish","77601.0","","","",NA,NA,NA,12688
NA,"omnh","fish","79197.0","","","",NA,NA,NA,12688
NA,"omnh","fish","86108.0","","","",NA,NA,NA,12688
NA,"omnh","fish","49377.0","","","",NA,NA,NA,12688
NA,"omnh","fish","26104.0","","","",NA,NA,NA,12688
NA,"omnh","fish","65403.0","","","",NA,NA,NA,12688
NA,"omnh","fish","50584.0","","","",NA,NA,NA,12688
NA,"omnh","fish","72620.0","","","",NA,NA,NA,12688
NA,"omnh","fish","26270.0","","","",NA,NA,NA,12688
NA,"omnh","fish","63539.0","","","",NA,NA,NA,12688
NA,"omnh","fish","40206.0","","","",NA,NA,NA,12688
NA,"omnh","fish","72619.0","","","",NA,NA,NA,12688
NA,"omnh","fish","74833.0","","","",NA,NA,NA,12688
NA,"omnh","fish","61115.0","","","",NA,NA,NA,12688
NA,"omnh","fish","32251.0","","","",NA,NA,NA,12688
NA,"omnh","fish","35282.0","","","",NA,NA,NA,12688
NA,"omnh","fish","48639.0","","","",NA,NA,NA,12688
NA,"omnh","fish","78009.0","","","",NA,NA,NA,12688
NA,"omnh","fish","69804.0","","","",NA,NA,NA,12688
NA,"omnh","fish","70749.0","","","",NA,NA,NA,12688
NA,"omnh","fish","53642.0","","","",NA,NA,NA,12688
NA,"omnh","fish","77130.0","","","",NA,NA,NA,12688
NA,"omnh","fish","41713.0","","","",NA,NA,NA,12688
NA,"omnh","fish","36910.0","","","",NA,NA,NA,12688
NA,"omnh","fish","51694.0","","","",NA,NA,NA,12688
NA,"omnh","fish","32760.0","","","",NA,NA,NA,12688
NA,"omnh","fish","53160.0","","","",NA,NA,NA,12688
