"dwc.preparations","freq"
"isopropanol - 1",7072
"isopropanol - 2",2580
"isopropanol - 3",1283
"isopropanol - 4",957
"isopropanol - 5",710
"isopropanol - 6",504
"EtOH - 1",323
"isopropanol - 7",320
"isopropanol - 8",311
"isopropanol - 9",243
"isopropanol - 10",242
"isopropanol - 11",163
"EtOH - 2",156
"isopropanol - 12",151
"isopropanol - 13",138
"EtOH - 5",133
"C&S - 1",124
"isopropanol - 14",111
"isopropanol - 15",105
"EtOH - 3",103
"isopropanol - 1; Tissue",102
"isopropanol - 16",100
"formalin - 1",82
"isopropanol - 1; x-ray - 1",81
"isopropanol - 20",81
"isopropanol - 19",72
"isopropanol - 18",68
"isopropanol - 1; photograph - 1",64
"isopropanol - 17",60
"EtOH - 4",59
"isopropanol - 21",58
"isopropanol - 22",51
"isopropanol - 24",50
"isopropanol - 1; tissue - 1; Tissue",45
"isopropanol - 25",45
"isopropanol - 26",43
"isopropanol - 30",42
"isopropanol - 27",39
"isopropanol - 6; Tissue",39
"isopropanol - 28",38
"skeleton - 1",37
"isopropanol - 3; Tissue",36
"EtOH - 1; Tissue",35
"isopropanol - 2; x-ray - 1",35
"isopropanol - 2; Tissue",34
"isopropanol - 35",34
"isopropanol - 23",33
"isopropanol - 33",33
"C&S - 2",32
"isopropanol - 31",31
"formalin - 2",30
"isopropanol - 50",28
"isopropanol - 0",27
"isopropanol - 34",27
"EtOH - 1; x-ray - 1",26
"EtOH - 7",26
"isopropanol - 32",26
"EtOH - 6",24
"isopropanol - 29",24
"EtOH - 1; tissue - 1; Tissue",22
"isopropanol - 1; tissue - 1; photograph - 1; Tissue",21
"formalin - 4",20
"isopropanol - 38",20
"isopropanol - 5; Tissue",20
"tissue - 1; EtOH - 1; Tissue",20
"isopropanol - 2; photograph - 1",19
"isopropanol - 37",19
"isopropanol - 39",19
"EtOH - 9",18
"formalin - 3",18
"isopropanol - 42",18
"EtOH - 10",17
"EtOH - 2; x-ray - 1",17
"isopropanol",17
"isopropanol - 3; x-ray - 1",17
"isopropanol - 36",17
"isopropanol - 4; Tissue",17
"isopropanol - 40",17
"otolith - 1",17
"tissue - 1; isopropanol - 1; Tissue",17
"EtOH - 8",16
"isopropanol - 1; photograph - 2",16
"isopropanol - 46",16
"tissue - 1; Tissue",16
"formalin - 5",15
"EtOH - 12",14
"EtOH - 20",14
"isopropanol - 48",14
"tissue - 1; isopropanol - 1; photograph - 1; Tissue",14
"isopropanol - 2; photograph - 2",13
"isopropanol - 51",13
"isopropanol - 7; Tissue",13
"EtOH - 14",12
"EtOH - 15",12
"isopropanol - 43",12
"isopropanol - 45",11
"isopropanol - 53",11
"isopropanol - 58",11
"isopropanol - 59",11
"isopropanol - 60",11
"EtOH - 3; x-ray - 1",10
"isopropanol - 1; photograph - 1; Tissue",10
"isopropanol - 4; x-ray - 1",10
"isopropanol - 41",10
"isopropanol - 44",10
"isopropanol - 5; x-ray - 1",10
"isopropanol - 6; x-ray - 1",10
"formalin - 6",9
"formalin - 9",9
"isopropanol - 1; x-ray - 1; Tissue",9
"isopropanol - 10; Tissue",9
"isopropanol - 3; photograph - 1",9
"isopropanol - 61",9
"isopropanol - 63",9
"photograph - 1; tissue - 1; Tissue",9
"dry - 1",8
"EtOH - 13",8
"EtOH - 16",8
"EtOH - 4; x-ray - 1",8
"isopropanol - 52",8
"isopropanol - 55",8
"isopropanol - 8; Tissue",8
"EtOH - 17",7
"EtOH - 30",7
"isopropanol - 1; photograph - 3",7
"isopropanol - 4; photograph - 1",7
"isopropanol - 49",7
"isopropanol - 54",7
"isopropanol - 64",7
"isopropanol - 67",7
"isopropanol - 85",7
"photograph - 1",7
"C&S - 3",6
"EtOH - 11",6
