"Family","Count"
"cyprinidae",2961
"cottidae",2684
"salmonidae",1614
"catostomidae",1397
"pleuronectidae",895
"petromyzontidae",798
"sebastidae",442
"agonidae",390
"myctophidae",385
"liparidae",312
"centrarchidae",308
"stichaeidae",255
"zoarcidae",233
"gasterosteidae",197
"embiotocidae",169
"macrouridae",152
"carangidae",151
"osmeridae",140
"hexagrammidae",135
"ictaluridae",133
"pholidae",132
"clupeidae",120
"stomiidae",120
"cichlidae",118
"paralichthyidae",118
"gobiidae",107
"sciaenidae",106
"psychrolutidae",105
"percidae",102
"engraulidae",100
"alestidae",94
"characidae",89
"gadidae",85
"bathylagidae",82
"pomacentridae",78
"platytroctidae",74
"sternoptychidae",71
"serranidae",65
"exocoetidae",59
"percopsidae",59
"anostomidae",57
"poeciliidae",56
"hemitripteridae",54
"mugilidae",52
"fundulidae",51
"labridae",51
"polynemidae",51
"bathymasteridae",46
"distichodontidae",46
"melamphaidae",46
"opisthoproctidae",46
"syngnathidae",45
"gonostomatidae",44
"paralepididae",43
"hemiramphidae",42
"haemulidae",41
"cyclopteridae",40
"synodontidae",40
"apogonidae",39
"atherinopsidae",38
"scombridae",38
"alepocephalidae",37
"blenniidae",36
"holocentridae",36
"labrisomidae",35
"mullidae",35
"gobiesocidae",34
"loricariidae",33
"ophidiidae",33
"rajidae",33
"nemichthyidae",32
"arhynchobatidae",30
"oneirodidae",30
"batrachoididae",29
"carcharhinidae",29
"myxinidae",29
"stromateidae",29
"zaproridae",29
"ariidae",27
"tetraodontidae",27
"pimelodidae",26
"trichiuridae",26
"acanthuridae",25
"ammodytidae",25
"cryptacanthodidae",25
"gerreidae",25
"trichodontidae",25
"doradidae",24
"lutjanidae",24
"pristigasteridae",24
"serrasalmidae",24
"sparidae",24
"belonidae",23
"heptapteridae",23
"scorpaenidae",23
"acipenseridae",21
"cetomimidae",20
"chaetodontidae",20
"claroteidae",20
"cobitidae",20
"curimatidae",20
"icosteidae",20
"muraenidae",20
"percichthyidae",20
"schilbeidae",20
"triglidae",20
"chimaeridae",19
"coryphaenidae",19
"scopelarchidae",19
"umbridae",19
"balistidae",18
"cynoglossidae",18
"monacanthidae",18
"moronidae",18
"scaridae",18
"anarhichadidae",17
"echeneidae",17
"melanonidae",17
"notosudidae",17
"phosichthyidae",17
"sternopygidae",17
"anoplopomatidae",16
"centrolophidae",16
"eleotridae",16
"esocidae",16
"priacanthidae",16
"trachipteridae",16
"trichomycteridae",16
"bythitidae",15
"cyprinodontidae",15
"moridae",15
"scomberesocidae",15
"achiridae",14
"chanidae",14
"clariidae",14
"kyphosidae",14
"microstomatidae",14
"ophichthidae",14
"osphronemidae",14
"ostraciidae",14
"clinidae",13
"scyliorhinidae",13
"sphyrnidae",13
"cyematidae",12
"merlucciidae",12
"mochokidae",12
"amphiliidae",11
"argentinidae",11
"auchenipteridae",11
"leiognathidae",11
"nothobranchiidae",11
"oreosomatidae",11
"pomacanthidae",11
"sphyraenidae",11
"anguillidae",10
"carapidae",10
"ceratiidae",10
"lepisosteidae",10
"mastacembelidae",10
"mormyridae",10
"prochilodontidae",10
"squalidae",10
"diodontidae",9
"ephippidae",9
"hepsetidae",9
"lottiidae",9
"triakidae",9
"anoplogastridae",8
"aphyonidae",8
"bramidae",8
"bregmacerotidae",8
"chaenopsidae",8
"malacanthidae",8
"pentacerotidae",8
"phycidae",8
"siganidae",8
"siluridae",8
"alepisauridae",7
"antennariidae",7
"aulorhynchidae",7
"bryconidae",7
"chilodontidae",7
"dasyatidae",7
"howellidae",7
"kuhliidae",7
"rhinobatidae",7
"tetragonuridae",7
"tripterygiidae",7
"",6
"anabantidae",6
"bagridae",6
"bothidae",6
"cirrhitidae",6
"hemiodontidae",6
"iguanodectidae",6
"synbranchidae",6
"triportheidae",6
"aphredoderidae",5
"atherinidae",5
"barbourisiidae",5
"callionymidae",5
"caristiidae",5
"chiasmodontidae",5
"crenuchidae",5
"dussumieriidae",5
"elopidae",5
"gasteropelecidae",5
"gigantactinidae",5
"hiodontidae",5
"lobotidae",5
"melanocetidae",5
"nemacheilidae",5
"ogcocephalidae",5
"platycephalidae",5
"ptilichthyidae",5
"rhamphocottidae",5
"sillaginidae",5
"torpedinidae",5
"albulidae",4
"amiidae",4
"anotopteridae",4
"aulostomidae",4
"centriscidae",4
"congridae",4
"erythrinidae",4
"gymnuridae",4
