"dwc.scientificName","freq"
"Rhinichthys osculus",616
"Cottus perplexus",463
"Oncorhynchus mykiss",435
"Richardsonius balteatus",435
"Microstomus pacificus",337
"Chasmistes brevirostris",316
"Oncorhynchus clarkii",312
"Lampetra tridentata",283
"Deltistes luxatus",256
"Gila bicolor",215
"Rhinichthys cataractae",208
"Oregonichthys crameri",193
"Cottus rhotheus",186
"Oncorhynchus kisutch",182
"Ptychocheilus oregonensis",174
"Glyptocephalus zachirus",166
"Cottus aleuticus",165
"Catostomus macrocheilus",163
"Cottus asper",158
"Gasterosteus aculeatus",141
"Cottus gulosus",140
"Oncorhynchus tshawytscha",135
"Cottus beldingii",130
"Cottus confusus",124
"Lampetra richardsoni",124
"Cottus bairdii",118
"Oncorhynchus mykiss redband",103
"Catostomus columbianus",102
"Catostomus snyderi",95
"Cottus cognatus",94
"Acrocheilus alutaceus",91
"Cottus klamathensis",90
"Catostomus rimiculus",86
"Entosphenus minimus",81
"Catostomus tsiltcoosensis",78
"Ptychocheilus umpquae",74
"Prosopium williamsoni",70
"Cottus princeps",68
"Coryphaenoides acrolepis",66
"Micropterus salmoides",65
"Rhinichthys falcatus",64
"Catostomus platyrhynchus",63
"Engraulis mordax",61
"Parophrys vetulus",61
"Pimephales promelas",61
"Lepomis macrochirus",60
"Cottus tenuis",59
"Oncorhynchus nerka",58
"Oligocottus snyderi",55
"Percopsis transmontana",55
"Ameiurus nebulosus",54
"Hexagrammos decagrammus",54
"Lampetra pacifica",54
"Lampetra similis",54
"Bathyagonus pentacanthus",49
"Scorpaenichthys marmoratus",49
"Leptocottus armatus",48
"Mylocheilus caurinus",47
"Occella verrucosa",46
"Oligocottus maculosus",45
"Entosphenus lethophagus",44
"Pholis ornata",44
"Oregonichthys kalawatseti",43
"Anoplarchus purpurescens",42
"Hemilepidotus hemilepidotus",42
"Lampetra ayresii",42
"Clinocottus globiceps",41
"Lyopsetta exilis",41
"Salvelinus fontinalis",41
"Apodichthys flavidus",39
"Catostomus occidentalis",39
"Entosphenus tridentatus",39
"Gambusia affinis",39
"Thaleichthys pacificus",39
"Citharichthys stigmaeus",38
"Diaphus theta",38
"Gila boraxobius",38
"Hexagrammos lagocephalus",38
"Stellerina xyosterna",37
"Artedius lateralis",36
"Citharichthys sordidus",36
"Sagamichthys abei",35
"Micropterus dolomieu",34
"Platichthys stellatus",34
"Podothecus accipenserinus",34
"Pungitius pungitius",34
"Salvelinus malma",34
"Triglops scepticus",34
"Dasycottus setiger",33
"Malacocottus zonurus",33
"Ameiurus natalis",32
"Gila coerulea",32
