"Continent","Count"
NA,2441
"ATA",3
NA,4
NA,1
"AUS",20
"BEL",62
"VEN",6
"BIH",2
"BRA",18
"CAN",95
NA,4
"CHL",14
NA,30
"GUY",245
"COL",17
"COD",10
"CRI",32
"LKA",36
"DNK",8
NA,1
NA,27
"ECU",27
"FRA",1
"PYF",10
"GAB",390
"LUX",2
"GIN",1
"MEX",51
"IND",131
"IRN",99
"JPN",71
"THA",108
"KIR",13
"LBR",11
"MWI",1
"MDV",14
"MEX",172
"FSM",9
"ANT",1
"NCL",31
"NZL",26
"NIC",13
NA,10
NA,473
NA,1
NA,17
"PLW",1
"PAN",140
"PNG",1
"PER",228
"PHL",20
"AGO",2
"BOL",2
"CMR",5
"SLV",11
"GTM",13
"MWI",7
"MUS",3
"PRY",2
"SYC",4
"FJI",16
"UGA",1
"COL",64
"CRI",21
"RUS",4
"VNM",1
NA,1
"KWT",14
"OMN",3
"TWN",2
"TTO",12
"USA",13550
"VIR",306
"ZMB",25
