"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"C&S - 1","os","fishes","12660","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12719","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11114","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12655","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","1111","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12656","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12727","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12735","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12648","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","13087","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11285","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12647","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","13015","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11250","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12657","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12570","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12562","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11254","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11260","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11238","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12974","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11108","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12762","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11292","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11110","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","18834","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11284","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12583","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","14440","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11249","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12567","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","14708","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11261","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11286","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12571","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12734","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12576","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12563","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","7493","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11264","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12724","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11233","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11359","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12636","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12644","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12575","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11256","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12651","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11109","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11252","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12736","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","18832","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12633","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11375","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12635","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12732","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12638","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12584","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12709","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12720","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","2122","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","18830","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11268","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11381","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12573","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12560","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12730","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12643","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12566","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12646","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12663","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11287","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","11253","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12476","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12559","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12721","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12472","C&S","","",NA,NA,NA,11
"C&S - 1","os","fishes","12631","C&S","","",NA,NA,NA,11
