"dwc.preparations","freq"
"70% ethanol within jar",55398
"vial",20054
"ethanol within vial",13780
"jar",4063
"",3571
"70% ethanol within container",931
"skeleton within container",548
"70% ethanol within vial",500
"-80°F freezer",335
"skeleton within unspecified",269
"tank",144
"box",96
"churn",82
"ethanol within tank",60
"70% ethanol within jar; cleared and stained within box",54
"DNA of whole animal (vacuum packed) within unspecified",48
"70% ethanol within jar; DNA of whole animal (vacuum packed) within unspecified",35
"70% ethanol within jar; skeleton within unspecified",35
"ethanol within unspecified",27
"2-jar",19
"70% ethanol within tank",18
"glycerin within unspecified",12
"cleared and stained within box",9
"70% ethanol within jar; DNA of whole animal (vacuum packed) within unspecified; cleared and stained within box",4
"DNA of fin clip (vial) within unspecified",4
"ethanol within churn",3
"2-70% ethanol within jar",2
"70% ethanol within jar; DNA of fin clip (vial) within unspecified",2
"dry within unspecified",2
"fluid within unspecified; box",2
"jar; churn",2
"2-skeleton within jar",1
"2-skeleton within photograph",1
"2-vial",1
"2-vial; churn",1
"20-70% ethanol within jar",1
"3-jar",1
"5-70% ethanol within jar",1
"5-jar",1
"5-jar; churn",1
"70% ethanol within jar; DNA of fin clip (vial) within unspecified; DNA of muscle plug (vial) within unspecified",1
"70% ethanol within jar; DNA of muscle plug (vial) within unspecified",1
"70% ethanol within jar; skeleton within unspecified; cleared and stained within box",1
"70% ethanol within jar; skeleton within unspecified; DNA of whole animal (vacuum packed) within unspecified",1
"70% ethanol within unspecified",1
"95% ethanol within vial",1
"DNA of whole animal (vacuum packed) within unspecified; cleared and stained within box",1
"dry within jar",1
"gonad within jar; skeleton within box",1
"jar; box",1
"jar; skeleton within box",1
"jar; tank",1
"jar; vial",1
"photograph",1
"skeleton within box",1
