"Family","Count"
"Cyprinidae",42063
"Percidae",19261
"Centrarchidae",13819
"Catostomidae",8764
"Ictaluridae",4015
"Fundulidae",1602
"Clupeidae",1458
"Cottidae",1230
"Petromyzontidae",1089
"Atherinopsidae",920
"Esocidae",783
"Moronidae",746
"Salmonidae",544
"Sciaenidae",543
"Percopsidae",409
"Poeciliidae",356
"Gasterosteidae",302
"Umbridae",260
"Lepisosteidae",226
"Hiodontidae",180
"Acipenseridae",111
"Lotidae",108
"Aphredoderidae",106
"Pleuronectidae",93
"Anguillidae",91
"Osmeridae",91
"Gobiidae",90
"Amiidae",85
"Stromateidae",64
"Scophthalmidae",58
"Triglidae",57
"Pomatomidae",55
"Achiridae",40
"Mugilidae",38
"Paralichthyidae",36
"Cichlidae",32
"Goodeidae",31
"Elassomatidae",29
"Sparidae",27
"Labridae",25
"Gadidae",24
"Characidae",23
"Carangidae",20
"Polyodontidae",17
"Syngnathidae",14
"Cyprinodontidae",13
"Phycidae",13
"Scombridae",10
"Pholidae",9
"Engraulidae",8
"Batrachoididae",6
"Amblyopsidae",5
"Ammodytidae",5
"Belonidae",5
"Carcharhinidae",5
"Embiotocidae",5
"Blenniidae",4
"Clariidae",4
"Lutjanidae",4
"Monodactylidae",4
"Pimelodidae",4
"Stichaeidae",4
"Zoarcidae",4
"Ariidae",3
"Atherinidae",3
"Cyclopteridae",3
"Gerreidae",3
"Haemulidae",3
"Heptapteridae",3
"Mastacembelidae",3
"Serranidae",3
"Sphyraenidae",3
"Tetraodontidae",3
"Toxotidae",3
"Arapaimidae",2
"Channidae",2
"Cobitidae",2
"Eleotridae",2
"Lophiidae",2
"Ophichthidae",2
"Osphronemidae",2
"Polypteridae",2
"Rajidae",2
"Scorpaenidae",2
"Synodontidae",2
"Triakidae",2
"Acanthuridae",1
"Anablepidae",1
"Aulorhynchidae",1
"Centropomidae",1
"Chimaeridae",1
"Dactylopteridae",1
"Datnioididae",1
"Diodontidae",1
"Elopidae",1
"Ginglymostomatidae",1
"Latidae",1
"Malapteruridae",1
"Megalopidae",1
"Merlucciidae",1
"Mochokidae",1
"Myxinidae",1
"Notopteridae",1
"Osteoglossidae",1
"Ostraciidae",1
"Pomacentridae",1
"Pristidae",1
"Retropinnidae",1
"Schilbeidae",1
"Sebastidae",1
"Serrasalmidae",1
"Squalidae",1
"Synbranchidae",1
"Urolophidae",1
