"dwc.scientificName","freq"
"Pimephales notatus",3638
"Etheostoma caeruleum",2746
"Campostoma anomalum",2607
"Etheostoma nigrum",2413
"Semotilus atromaculatus",2408
"Lepomis macrochirus",2149
"Lepomis cyanellus",2135
"Notropis stramineus",2057
"Etheostoma blennioides",1867
"Etheostoma flabellare",1765
"Notropis atherinoides",1660
"Cyprinella spiloptera",1599
"Hypentelium nigricans",1567
"Moxostoma erythrurum",1460
"Luxilus chrysocephalus",1454
"Ambloplites rupestris",1192
"Etheostoma spectabile",1140
"Catostomus commersoni",1107
"Micropterus salmoides",1090
"Percina caprodes",1070
"Notropis rubellus",1056
"Notropis spilopterus",1051
"Notropis volucellus",1028
"Lepomis megalotis megalotis",1027
"Dorosoma cepedianum",1007
"Etheostoma zonale",1007
"Percina maculata",983
"Micropterus dolomieu",980
"Catostomus commersonii",964
"Rhinichthys atratulus",948
"Notropis chrysocephalus",909
"Ericymba buccata",855
"Notropis photogenis",837
"Lythrurus fasciolaris",823
"Labidesthes sicculus",817
"Fundulus notatus",810
"Pimephales vigilax",785
"Lepomis humilis",740
"Phenacobius mirabilis",729
"Notropis buccatus",724
"Notemigonus crysoleucas",665
"Noturus flavus",652
"Pomoxis annularis",639
"Lythrurus umbratilis",617
"Pimephales promelas",608
"Micropterus punctulatus",587
"Semotilus atromaculatus atromaculatus",587
"Lepomis gibbosus",579
"Lepomis megalotis",577
"Cyprinella whipplei",560
"Etheostoma variatum",552
"Nocomis biguttatus",543
"Campostoma anomalum anomalum",531
"Phoxinus erythrogaster",481
"Perca flavescens",480
"Ictalurus punctatus",479
"Notropis blennius",478
"Cyprinus carpio",476
"Macrhybopsis storeriana",474
"Luxilus cornutus",468
"Ameiurus natalis",467
"Etheostoma camurum",466
"Carpiodes cyprinus",460
"Nocomis micropogon",458
"Cottus bairdii",435
"Pomoxis nigromaculatus",421
"Aplodinotus grunniens",418
"Lampetra aepyptera",415
"Esox americanus",410
"Percina phoxocephala",409
"Percopsis omiscomaycus",409
"Noturus miurus",402
"Morone chrysops",399
"Minytrema melanops",371
"Hyborhynchus notatus",369
"Notropis wickliffi",367
"Notropis hudsonius",360
"Hybopsis amblops",332
"Ammocrypta pellucida",331
"Etheostoma blennioides blennioides",325
"Percina sciera",325
"Clinostomus elongatus",321
"Fundulus catenatus",318
"Lepomis",318
"Notropis cornutus chrysocephalus",310
"Moxostoma anisurum",307
"Cottus bairdi",296
"Gambusia affinis",295
"Moxostoma duquesnei",284
"Erimystax x-punctatus",278
"Notropis deliciosus stramineus",264
"Rhinichthys atratulus meleagris",251
"Umbra limi",251
"Lepomis gulosus",248
"Notropis buchanani",246
"Noturus gyrinus",240
"Notropis whipplei",237
"Percina copelandi",230
"Ameiurus melas",226
"Notropis cornutus",224
"Pimephales promelas promelas",220
"Culaea inconstans",218
"Cyprinella lutrensis",218
"Campostoma oligolepis",212
"Carpiodes carpio",212
"Notropis boops",208
"Erimystax dissimilis",205
"Micropterus dolomieu dolomieu",204
"Ictalurus natalis",201
"Carassius auratus",200
"Moxostoma duquesnii",198
"Cottus bairdii bairdii",193
"Alosa chrysochloris",191
"Fundulus olivaceous",186
"Notropis umbratilis",184
"Etheostoma tippecanoe",181
"Etheostoma microperca",180
"Moxostoma breviceps",180
"Etheostoma nigrum nigrum",179
"Ictiobus bubalus",175
"Catostomus commersonii commersonii",166
"Erimyzon claviformis",166
"Notropis volucellus volucellus",166
"Chrosomus erythrogaster",165
"Notropis nubilus",165
"Luxilus zonatus",164
"Esox vermiculatus",160
"Lepisosteus osseus",153
"Notropis umbratilis cyanocephalus",151
"Noturus exilis",144
"Clinostomus funduloides",142
"Ichthyomyzon unicuspis",142
"Rhinichthys cataractae",138
"Erimyzon oblongus claviformis",136
"Moxostoma macrolepidotum",135
"Ictalurus melas",134
"Percina shumardi",133
"Lepomis microlophus",132
"Rhinichthys obtusus",132
"Campostoma anomalum pullum",131
"Stizostedion vitreum",129
"Hiodon tergisus",125
"Notropis dorsalis",125
"Hybopsis amblops amblops",124
"Oncorhynchus mykiss",123
"Cottus carolinae",122
"Lampetra appendix",121
"Alosa pseudoharengus",119
"Etheostoma exile",117
"Percina caprodes semifasciata",117
"Notropis amblops",116
"Carpiodes cyprinus hinei",115
"Notropis heterolepis",115
"Pylodictis olivaris",109
"Ictalurus nebulosus",107
"Aphredoderus sayanus",104
"Stizostedion canadense",104
"Ameiurus nebulosus",103
"Noturus eleutherus",103
"Notropis atherinoides atherinoides",101
"Acipenser fulvescens",100
"Noturus stigmosus",100
"Etheostoma maculatum",99
"Boleosoma nigrum nigrum",98
"Morone americana",98
"Moxostoma carinatum",98
"Hybognathus nuchalis",95
"Poecilichthys spectabilis",95
"Esox lucius",93
"Opsopoeodus emiliae",93
"Morone",92
"Anguilla rostrata",91
"Salvelinus fontinalis",91
"Erimyzon sucetta",90
"Etheostoma zonale zonale",90
"Notemigonus crysoleucas auratus",89
"Micropterus punctulatus punctulatus",87
"Ameiurus melas melas",86
"Amia calva",85
"Exoglossum laurae",85
"Osmerus mordax",85
"Petromyzon marinus",83
