"Collector","Count"
"19910000",1
"19919818",1
"19920605",1
"19960423",1
"19960702",1
"19960715",1
"seymour",685
"k",521
"edmund",207
"a.g",205
"m",181
"kevin",166
"c",126
"gartshore",122
"mcgowan",121
"thomas",87
"j",83
"college",75
"more",75
"d",68
"a",64
"g",63
"mary",62
"alvarado",61
"richardson",60
"s",51
"c.s",45
"mesure",45
"churcher",44
"fedun",44
"michael",44
"boehm",43
"irene",37
"rom",37
"vogg",34
"arctic",32
"carnegie",32
"expedition",32
"e",29
"holm",29
"hurlburt",29
"p",29
"campbell",26
"greg",26
"kay",26
"st.louis",26
"vince",26
"blake",25
"john",25
"leblanc",25
"m.e",25
"mckeever",25
"myers",25
"parsons",25
"s.c",25
"dickson",24
"eleanor",24
"gord",24
"ronback",24
"b",23
"davis",22
"attraction",21
"david",21
"fatal",21
"light",21
"program",21
"hollett",20
"iwama",20
"leitch",20
"morrison",20
"rudkin",20
"w",18
"waddington",18
"i",17
"lsfau",17
"dave",16
"kavanagh",16
"lee",16
"anne",15
"brisbin",15
"george",15
"gerry",15
"hyslop",15
"i.l",15
"king",15
"of",15
"wayne",15
"brayfield",14
"fehringer",14
"l",14
"natural",14
"nishikawa",14
"resources",14
"bell",13
"erling",13
"h",13
"ministry",13
"beck",12
"bobyn",12
"michele",12
"roger",12
"savage",12
"williams",12
"hartman",11
"ross",11
"scoggan",11
"bill",10
"flap",10
"joseph",10
"laforest",10
"mnr",10
"murphy",10
"r",10
"svoboda",10
"and",9
"carrick",9
"carson",9
"f.d",9
"purves",9
"stewart",9
"brian",8
"c.j",8
"cathy",8
"d.l",8
"fortin",8
"gregor",8
"jaime",8
"janet",8
"mark",8
"ontario",8
"reg",8
"rejean",8
"steve",8
"don",7
"f",7
"ian",7
"mitchell",7
"paloma",7
"plant",7
"aho",6
"al",6
"alan",6
"barb",6
"carrie",6
"chris",6
"cullen",6
"deschatelets",6
"e.l",6
"ed",6
"eyre",6
"f.w",6
"grant",6
"jonker",6
"koot",6
"lundelius",6
"peter",6
"richard",6
"susan",6
"t",6
"tom",6
"toronto",6
"v",6
"bernardo",5
"carr",5
"dan",5
"et",5
"harvey",5
"holmes",5
"j.l",5
"kathy",5
"knight",5
"lang",5
"lopez",5
"mettrick",5
"morris",5
"namgcush",5
"nancy",5
"r.v",5
"watt",5
"wilkes",5
"a.m",4
"adolf",4
"cadena",4
"carl",4
"diane",4
"frye",4
"hince",4
"jane",4
"jeff",4
"johansen",4
"mindy",4
"murison",4
"paul",4
"russell",4
"sarah",4
"schueler",4
"sophie",4
"steltner",4
"stevens",4
"storrs",4
"taylor",4
"zoo",4
"abramov",3
"alexi",3
"andrew",3
"barbara",3
"bayly",3
"bruce",3
"bubba",3
"chubb",3
"conway",3
"crossman",3
"dalzell",3
"de",3
"fenton",3
"foster",3
"gorman",3
"gyrmov",3
"harriet",3
"heaman",3
"hik",3
"hinic",3
"jackson",3
"joe",3
"jones",3
"ken",3
"kleer",3
"margaret",3
"metro",3
"mutchmor",3
"ostrand",3
"parks",3
"ron",3
"saunders",3
"sb",3
"scott",3
"serbousek",3
"sheppard",3
"stratton",3
"tielli",3
"timmerman",3
"tony",3
"w.a",3
"w.e",3
"akehurst",2
"anderson",2
"andrei",2
"anthony",2
"beales",2
"bob",2
"britt",2
"c.g",2
"cameron",2
"campana",2
"carly",2
"clive",2
"commission",2
"cowan",2
"cummings",2
"dale",2
"demers",2
"desjardine",2
"doug",2
"dunning",2
"dupuis",2
"elliot",2
"falls",2
"filipppov",2
"fisheries",2
"g.a",2
"gibson",2
"glenn",2
"glenora",2
"guilday",2
"hayes",2
"haynes",2
"heyland",2
"higgins",2
"inc",2
"j.e",2
"j.i",2
"jim",2
"johnson",2
"kapostins",2
"kolterjohn",2
"kurvits",2
"lacasse",2
"lemieux",2
"leonidas",2
"linda",2
"macfie",2
"maggie",2
"mallory",2
"margo",2
"marshall",2
"martin",2
"may",2
"mc",2
"mcdonald",2
"mcilwraith",2
"mcrae",2
"mead",2
"meylan",2
"murray",2
"o",2
"ocana",2
"p.j",2
"peck",2
"penner",2
"pepper",2
"phil",2
"ponce",2
"r.c",2
"r.h",2
"ray",2
"rosenblatt",2
"sanja",2
"schneider",2
"schuster",2
"shawn",2
"shepard",2
"singleton",2
"skrabec",2
"sprague",2
"stabb",2
"stephan",2
"stephen",2
"sullivan",2
"teichner",2
"tracy",2
"trading",2
"transit",2
"uncle",2
"vavrek",2
"verna",2
"victoria",2
"warchol",2
"wormington",2
"yurchesyn",2
"a.a",1
"a.b",1
"a.hungerbuler",1
"aaron",1
"abrams",1
"acrf",1
"adamick",1
"addison",1
"agro",1
"albers",1
"alec",1
"alf",1
"alison",1
"allen",1
"angus",1
"angutautok",1
"animal",1
"armstrong",1
"austin",1
"b.p",1
"b.v",1
"baker",1
"balon",1
"barry",1
"bartel",1
"bartley",1
"bellido",1
"bennett",1
"bernard",1
"bernhardt",1
"bevan",1
"beyer",1
"billis",1
"billy",1
"blanc",1
"boreal",1
"bottom",1
"bowen",1
"bowman",1
"brie",1
"brooks",1
"brown",1
"brunswick",1
"buchan",1
"burke",1
"butler",1
"caleb",1
"call",1
"canada",1
"cannington",1
"carleton",1
"carol",1
"cecile",1
"celotti",1
"chantal",1
"christensen",1
"clowery",1
"coleman",1
"company",1
"control",1
"craig",1
"crool",1
"czeneish",1
"d.c",1
"d.f",1
"d.h",1
"d.s",1
"daniel",1
"daniela",1
"dawson",1
"decristofaro",1
"densch",1
"dept",1
"der",1
"deserrano",1
"dick",1
"diego",1
"donovan",1
"doran",1
"dorothy",1
"dr",1
"drake",1
"e.h",1
"e.j",1
"eldridge",1
"eskerod",1
"espinosa",1
"fagan",1
"fetyas",1
"fitzgerald",1
"flury",1
"folkert",1
"fowler",1
"franklyn",1
"frazier",1
"freya",1
"fric",1
"frits",1
"fulthorpe",1
"g.w",1
"garcia",1
