"Country","Count"
"canada",4739
"united states",1697
"mexico",132
"australia",128
"canada?",111
"vietnam",78
"china",52
"india",42
"south africa",32
"indonesia",31
"madagascar",29
"philippines",29
"egypt",26
"thailand",25
"portugal",22
"usa ?",20
"taiwan",18
"india?",15
"trinidad and tobago?",14
"argentina",12
"mexico?",12
"russia",12
"solomon islands",11
"antigua",10
"australia?",10
"new guinea",10
"ecuador",9
"kenya",9
"malaysia",9
"morocco",9
"philippines?",9
"senegal",9
"venezuela",9
"belize",8
"colombia",8
"united kingdom",8
"bahamas",7
"brazil",7
"france",7
"japan",7
"algeria",6
"colombia?",6
"new zealand",6
"peru",6
"suriname",6
"chile",5
"new caledonia",5
"pakistan",5
"zimbabwe",5
"argentina?",4
"canada ?",4
"malawi",4
"mexico ?",4
"spain",4
"tanzania",4
"china?",3
"cuba",3
"kenya?",3
"malaysia?",3
"myanmar; burma",3
"singapore",3
"uzbekistan",3
"yemen",3
"brazil?",2
"guyana",2
"haiti",2
"israel",2
"jamaica",2
"papua and new guinea",2
"paraguay",2
"puerto rico",2
"sri lanka",2
"uganda",2
"uruguay",2
"west africa",2
"bangaladesh",1
"bolivia?",1
"botswana",1
"caroline islands",1
"colombia ?",1
"comoro islands",1
"czech republic",1
"french guiana",1
"galapagos archipelago; ecuador",1
"greece?",1
"indonesia?",1
"italy",1
"montserrat",1
"myanmar",1
"oman",1
"papua new guinea",1
"peru?; chile?",1
"puerto rico; usa",1
"sierra leone",1
"taiwan?",1
"thailand?",1
"togo",1
"trinidad and tobago",1
"ukraine",1
"uruguay?",1
