"Family","Count"
"parulidae",294
"cyprinidae",259
"colubridae",206
"sciuridae",204
"crotalidae",203
"mustelidae",193
"bovidae",184
"emydidae",169
"castoridae",167
"cricetidae",163
"muridae",162
"catostomidae",143
"emberizidae",141
"clupeidae",139
"anatidae",135
"carangidae",127
"canidae",125
"soricidae",123
"turdidae",123
"alligatoridae",122
"cervidae",122
"vespertilionidae",111
"cottidae",110
"centrarchidae",106
"boidae",105
"felidae",103
"pythonidae",101
"strigidae",98
"natricidae",96
"ranidae",92
"sciaenidae",92
"agamidae",90
"percidae",90
"fringillidae",89
"leporidae",88
"picidae",87
"procyonidae",82
"varanidae",79
"iguanidae",76
"phasianidae",74
"serranidae",69
"gekkonidae",65
"accipitridae",64
"corvidae",62
"ictaluridae",62
"moronidae",60
"osmeridae",60
"laridae",59
"sparidae",59
"salmonidae",55
"elapidae",53
"icteridae",51
"bufonidae",49
"carcharhinidae",46
"equidae",46
"hirundinidae",46
"labridae",45
"talpidae",45
"didelphidae",44
"regulidae",44
"teiidae",44
"suidae",42
"cardinalidae",39
"cichlidae",39
"viperidae",39
"hylidae",38
"lutjanidae",38
"testudinidae",38
"ardeidae",37
"balistidae",37
"columbidae",37
"haemulidae",36
"scincidae",36
"scombridae",36
"cercopithecidae",35
"scaridae",35
"scolopacidae",35
"trochilidae",34
"certhiidae",31
"gasterosteidae",31
"scorpaenidae",31
"acanthuridae",30
"esocidae",30
"tyrannidae",30
"kinosternidae",29
"xenodontidae",29
"chelydridae",27
"dasypodidae",27
"gadidae",27
"ursidae",27
"falconidae",25
"lepisosteidae",25
"siluridae",25
"struthionidae",25
"ambystomatidae",24
"anguidae",24
"chamaeleonidae",24
"passeridae",23
"phrynosomatidae",23
"mugilidae",22
"trionychidae",22
"troglodytidae",22
"ariidae",21
"pleuronectidae",21
"pomacanthidae",21
"rallidae",21
"vireonidae",21
"charadriidae",20
"cuculidae",20
"engraulidae",20
"erethizontidae",20
"octodontidae",20
"cheloniidae",19
"mullidae",19
"phocidae",19
"phyllostomidae",19
"atherinidae",18
"bombycillidae",18
"corytophanidae",18
"ephippidae",18
"gobiidae",18
"psittacidae",18
"spheniscidae",18
"zapodidae",18
"caprimulgidae",17
"mimidae",17
"paridae",17
"syngnathidae",17
"tetraodontidae",17
"amiidae",16
"plethodontidae",16
"sittidae",16
"stromateidae",16
"undet.",16
"polychridae",15
"pongidae",15
"chaetodontidae",14
"acipenseridae",13
"helodermatidae",13
"salamandridae",13
"caviidae",12
"crocodylidae",12
"dromaiidae",12
"macropodidae",12
"nemipteridae",12
"ostraciidae",12
"sturnidae",12
"gaviidae",11
"gerreidae",11
"lamnidae",11
