"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1162","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0621","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0466","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0657","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0635","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0554","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0500","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","7279","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2712","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","6557","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1796","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0527","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0456","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0634","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2979","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8931","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8990","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8944","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1062","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","9155","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2130","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0989","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0282","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","6582","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1203","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0882","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1051","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0198","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","7168","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1426","Skeleton","","",NA,NA,NA,1
