"Family","Count"
"delphinidae",196
"cottidae",185
"sebastidae",120
"embiotocidae",92
"gobiidae",79
"pleuronectidae",59
"paralichthyidae",56
"clinidae",48
"syngnathidae",44
"myctophidae",40
"agonidae",39
"sciaenidae",35
"zoarcidae",35
"centrarchidae",32
"gobiesocidae",32
"scyliorhinidae",31
"stichaeidae",31
"atherinopsidae",29
"hexagrammidae",29
"blenniidae",24
"cyprinidae",24
"salmonidae",24
"sternoptychidae",23
"liparidae",22
"batrachoididae",21
"kyphosidae",20
"ophidiidae",20
"stomiidae",20
"triakidae",20
"macrouridae",19
"",18
"serranidae",18
"rhinobatidae",16
"cynoglossidae",15
"fundulidae",15
"pholidae",15
"scombridae",15
"clupeidae",14
"gasterosteidae",13
"labridae",13
"rajidae",13
"chaenopsidae",12
"gonostomatidae",11
"labrisomidae",11
"bathylagidae",10
"engraulidae",10
"heterodontidae",10
"myxinidae",10
"pomacentridae",10
"urolophidae",10
"chimaeridae",9
"scorpaenidae",9
"squalidae",9
"alepocephalidae",8
"anarhichadidae",8
"haemulidae",8
"malacanthidae",8
"poeciliidae",8
"argentinidae",7
"lamnidae",7
"stromateidae",7
"synodontidae",7
"carcharhinidae",6
"ostraciidae",6
"trichiuridae",6
"cetorhinidae",5
"exocoetidae",5
"ictaluridae",5
"moridae",5
"mugilidae",5
"priacanthidae",5
"sphyraenidae",5
"aulorhynchidae",4
"balistidae",4
"belonidae",4
"bythitidae",4
"echeneidae",4
"osmeridae",4
"physeteridae",4
"torpedinidae",4
"trachipteridae",4
"triglidae",4
"acipenseridae",3
"carangidae",3
"cyclopteridae",3
"melamphaidae",3
"merlucciidae",3
"muraenidae",3
"myliobatidae",3
"nemichthyidae",3
"petromyzontidae",3
"rhamphocottidae",3
"serrasalmidae",3
"squatinidae",3
"albulidae",2
"alepisauridae",2
"ammodytidae",2
"anoplopomatidae",2
"bathymasteridae",2
"catostomidae",2
"chiasmodontidae",2
"congridae",2
"cyprinodontidae",2
"dactyloidae",2
"hexanchidae",2
"molidae",2
"neoscopelidae",2
"nettastomatidae",2
"oneirodidae",2
"ophichthidae",2
"phosichthyidae",2
"polyprionidae",2
"regalecidae",2
"scaridae",2
"scomberesocidae",2
"uranoscopidae",2
"achiridae",1
"alopiidae",1
"anoplogastridae",1
"anotopteridae",1
"arhynchobatidae",1
"barbourisiidae",1
"bramidae",1
"centriscidae",1
"chaetodontidae",1
"coryphaenidae",1
"cyematidae",1
"diodontidae",1
"echinorhinidae",1
"eurypharyngidae",1
"gadidae",1
"gerreidae",1
"gymnuridae",1
"holocentridae",1
"istiophoridae",1
"lophiidae",1
"melanocetidae",1
"melanonidae",1
"ogcocephalidae",1
"oreosomatidae",1
"osteoglossidae",1
"platytroctidae",1
"serrivomeridae",1
"somniosidae",1
"tetraodontidae",1
"xiphiidae",1
