"dwc.scientificName","freq"
"Delphinus delphis",50
"Clinocottus analis",40
"Tursiops truncatus",39
"Lagenorhynchus obliquidens",36
"Delphinus capensis",22
"Syngnathus californiensis",20
"Lissodelphis borealis",18
"Sebastes",18
"",17
"Heterostichus rostratus",16
"Leptocottus armatus",16
"Careproctus melanurus",15
"Citharichthys sordidus",15
"Fundulus parvipinnis",15
"Porichthys notatus",15
"Symphurus atricauda",15
"Apristurus brunneus",14
"Citharichthys stigmaeus",14
"Clevelandia ios",14
"Eucyclogobius newberryi",14
"Hypsoblennius gilberti",14
"Scorpaenichthys marmoratus",14
"Atherinops affinis",13
"Caelorinchus scaphopsis",12
"Gibbonsia elegans",12
"Girella nigricans",12
"Icelinus quadriseriatus",12
"Oligocottus snyderi",12
"Xiphister atropurpureus",12
"Artedius lateralis",11
"Chilara taylori",11
"Gibbonsia metzi",11
"Ilypnus gilberti",11
"Lepomis macrochirus",11
"Xeneretmus latifrons",11
"Zalembius rosaceus",11
"Cephaloscyllium ventriosum",10
"Cymatogaster aggregata",10
"Eopsetta exilis",10
"Gobiesox rhessodon",10
"Heterodontus francisci",10
"Paralichthys californicus",10
"Stenobrachius leucopsarus",10
"Urobatis halleri",10
"Grampus griseus",9
"Hyperprosopon argenteum",9
"Hypsoblennius gentilis",9
"Hypsopsetta guttulata",9
"Micropterus salmoides",9
"Microstomus pacificus",9
"Paralabrax clathratus",9
"Scorpaena guttata",9
"Sebastes rastrelliger",9
"Squalus acanthias",9
"Zaniolepis latipinnis",9
"Anarrhichthys ocellatus",8
"Atherinopsis californiensis",8
"Brachyistius frenatus",8
"Embiotoca jacksoni",8
"Genyonemus lineatus",8
"Gillichthys mirabilis",8
"Hydrolagus colliei",8
"Lycodes cortezianus",8
"Odontopyxis trispinosa",8
"Oncorhynchus mykiss",8
"Pimephales promelas",8
"Platyrhinoidis triseriata",8
"Pleuronichthys verticalis",8
"Rhacochilus vacca",8
"Umbrina roncador",8
"Xeneretmus triacanthus",8
"Argentina sialis",7
"Coryphopterus nicholsi",7
"Engraulis mordax",7
"Eptatretus stouti",7
"Gambusia affinis",7
"Gibbonsia montereyensis",7
"Icelinus filamentosus",7
"Leuresthes tenuis",7
"Mustelus californicus",7
"Parmaturus xaniurus",7
"Peprilus simillimus",7
"Raja inornata",7
"Rhacochilus toxotes",7
"Rhinobatos productus",7
"Rimicola muscarum",7
"Sardinops sagax",7
"Scomber japonicus",7
"Sebastolobus alascanus",7
"Syngnathus leptorhynchus",7
"Synodus lucioceps",7
"Triphoturus mexicanus",7
"Anisotremus davidsoni",6
"Anoplarchus purpurescens",6
"Apodichthys flavidus",6
"Apodichthys fucorum",6
"Caulolatilus princeps",6
"Clinocottus recalvus",6
"Eucryphycus californicus",6
"Gasterosteus aculeatus",6
"Gasterosteus aculeatus williamsoni",6
"Globicephala macrorhynchus",6
"Gobiesox maeandricus",6
"Hippoglossina stomata",6
"Lepidopus xantusi",6
"Lycodes pacifica",6
"Lyconema barbatum",6
"Melanostigma pammelas",6
"Micrometrus aurora",6
"Neoclinus blanchardi",6
"Ostracion diaphanum",6
"Otophidium scrippsae",6
