"Family","Count"
"cottidae",181
"sebastidae",94
"embiotocidae",82
"gobiidae",79
"pleuronectidae",58
"paralichthyidae",53
"clinidae",48
"syngnathidae",44
"myctophidae",40
"agonidae",38
"zoarcidae",33
"gobiesocidae",32
"sciaenidae",31
"stichaeidae",31
"centrarchidae",29
"scyliorhinidae",29
"hexagrammidae",25
"blenniidae",24
"cyprinidae",24
"atherinopsidae",23
"sternoptychidae",23
"liparidae",22
"ophidiidae",20
"stomiidae",20
"batrachoididae",19
"macrouridae",19
"kyphosidae",18
"scorpaenidae",18
"triakidae",16
"cynoglossidae",15
"pholidae",15
"salmonidae",15
"rhinobatidae",14
"fundulidae",13
"gasterosteidae",13
"serranidae",13
"chaenopsidae",12
"gonostomatidae",11
"labrisomidae",11
"bathylagidae",10
"clupeidae",10
"heterodontidae",10
"labridae",10
"myxinidae",10
"rajidae",10
"engraulidae",9
"urolophidae",9
"alepocephalidae",8
"chimaeridae",8
"haemulidae",8
"poeciliidae",8
"squalidae",8
"anarhichadidae",7
"argentinidae",7
"pomacentridae",7
"stromateidae",7
"synodontidae",7
"ostraciidae",6
"trichiuridae",6
"exocoetidae",5
"ictaluridae",5
"malacanthidae",5
"moridae",5
"mugilidae",5
"scombridae",5
"aulorhynchidae",4
"belonidae",4
"bythitidae",4
"echeneidae",4
"priacanthidae",4
"sphyraenidae",4
"trachipteridae",4
"triglidae",4
"carcharhinidae",3
"cyclopteridae",3
"melamphaidae",3
"merlucciidae",3
"muraenidae",3
"nemichthyidae",3
"osmeridae",3
"petromyzontidae",3
"rhamphocottidae",3
"acipenseridae",2
"albulidae",2
"ammodytidae",2
"anoplopomatidae",2
"balistidae",2
"bathymasteridae",2
"carangidae",2
"catostomidae",2
"characidae",2
"chiasmodontidae",2
"congridae",2
"cyprinodontidae",2
"hexanchidae",2
"molidae",2
"neoscopelidae",2
"nettastomatidae",2
"oneirodidae",2
"ophichthidae",2
"phosichthyidae",2
"scomberesocidae",2
"torpedinidae",2
"uranoscopidae",2
"achiridae",1
"alepisauridae",1
"anoplogastridae",1
"arhynchobatidae",1
"barbourisiidae",1
"bramidae",1
"cetorhinidae",1
"chaetodontidae",1
"cyematidae",1
"eurypharyngidae",1
"gadidae",1
"gerreidae",1
"gymnuridae",1
"holocentridae",1
"lamnidae",1
"lophiidae",1
"macroramphosidae",1
"melanocetidae",1
"melanonidae",1
"ogcocephalidae",1
"oreosomatidae",1
"osteoglossidae",1
"paralepididae",1
"platytroctidae",1
"regalecidae",1
"serrasalmidae",1
"serrivomeridae",1
"squatinidae",1
"tetraodontidae",1
