"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
NA,"sbmnh","fh","963","","","",NA,NA,NA,12688
NA,"sbmnh","fh","454","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1336","","","",NA,NA,NA,12688
NA,"sbmnh","fh","84","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1475","","","",NA,NA,NA,12688
NA,"sbmnh","fh","675","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1401","","","",NA,NA,NA,12688
NA,"sbmnh","fh","895","","","",NA,NA,NA,12688
NA,"sbmnh","fh","836","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1841","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1222","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1030","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1770","","","",NA,NA,NA,12688
NA,"sbmnh","fh","849","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1504","","","",NA,NA,NA,12688
NA,"sbmnh","fh","78","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1692","","","",NA,NA,NA,12688
NA,"sbmnh","fh","731","","","",NA,NA,NA,12688
NA,"sbmnh","fh","255","","","",NA,NA,NA,12688
NA,"sbmnh","fh","42","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1387","","","",NA,NA,NA,12688
NA,"sbmnh","fh","712","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1257","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1415","","","",NA,NA,NA,12688
NA,"sbmnh","fh","260","","","",NA,NA,NA,12688
NA,"sbmnh","fh","216","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1174","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1343","","","",NA,NA,NA,12688
NA,"sbmnh","fh","513","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1427","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1828","","","",NA,NA,NA,12688
NA,"sbmnh","fh","596","","","",NA,NA,NA,12688
NA,"sbmnh","fh","153","","","",NA,NA,NA,12688
NA,"sbmnh","fh","1805","","","",NA,NA,NA,12688
