"Family","Count"
"myctophidae",22227
"stomiidae",4798
"sternoptychidae",4519
"gonostomatidae",4337
"exocoetidae",3429
"melamphaidae",3201
"sebastidae",3105
"serranidae",2731
"gobiidae",2670
"phosichthyidae",2349
"bathylagidae",2275
"paralichthyidae",2020
"cottidae",1830
"labrisomidae",1632
"pleuronectidae",1434
"embiotocidae",1425
"pomacentridae",1420
"labridae",1370
"chaenopsidae",1306
"carangidae",1278
"sciaenidae",1177
"blenniidae",1164
"clinidae",1081
"scorpaenidae",1066
"scopelarchidae",1013
"atherinopsidae",988
"muraenidae",927
"syngnathidae",881
"paralepididae",862
"tripterygiidae",821
"haemulidae",818
"engraulidae",778
"platytroctidae",772
"kyphosidae",763
"congridae",729
"hemiramphidae",707
"ophichthidae",706
"gobiesocidae",704
"coryphaenidae",652
"nemichthyidae",648
"ophidiidae",609
"clupeidae",593
"scomberesocidae",573
"batrachoididae",543
"tetraodontidae",543
"cynoglossidae",537
"synodontidae",536
"bregmacerotidae",521
"myxinidae",506
"zoarcidae",493
"scombridae",480
"nomeidae",474
"macrouridae",446
"gerreidae",441
"apogonidae",432
"cyprinidae",428
"serrivomeridae",405
"evermannellidae",403
"alepocephalidae",369
"gempylidae",364
"bythitidae",358
"lutjanidae",347
"triglidae",342
"hexagrammidae",335
"agonidae",318
"notosudidae",306
"stichaeidae",306
"howellidae",302
"balistidae",298
"belonidae",284
"chaetodontidae",265
"holocentridae",261
"trachipteridae",254
"oneirodidae",253
"bothidae",250
"poeciliidae",250
"carcharhinidae",248
"mugilidae",246
"echeneidae",245
"dactyloscopidae",238
"chiasmodontidae",236
"scaridae",232
"pomacanthidae",229
"liparidae",228
"pholidae",227
"triakidae",225
"rajidae",224
"polynemidae",199
"merlucciidae",196
"malacanthidae",191
"opisthoproctidae",188
"rhinobatidae",188
"heterodontidae",187
"melanocetidae",186
"opistognathidae",183
"antennariidae",180
"ariidae",180
"cirrhitidae",178
"salmonidae",177
"diodontidae",174
"acanthuridae",169
"scyliorhinidae",166
"urolophidae",165
"moridae",162
"myliobatidae",158
"cyematidae",153
"bramidae",146
"microstomatidae",146
"neoscopelidae",141
"fundulidae",139
"sparidae",135
"linophrynidae",134
"mullidae",134
"sphyraenidae",128
"anoplogastridae",126
"anoplopomatidae",122
"cetomimidae",120
"ogcocephalidae",118
"alepisauridae",117
"centrarchidae",116
"giganturidae",116
"trichiuridae",115
"achiridae",111
"monacanthidae",111
"callionymidae",110
"ceratiidae",110
"omosudidae",110
"fistulariidae",109
"osmeridae",109
"albulidae",106
"arhynchobatidae",102
"centrolophidae",102
"ostraciidae",99
"chimaeridae",98
"stromateidae",95
"argentinidae",93
"branchiostomatidae",88
"catostomidae",87
"dasyatidae",87
"nettastomatidae",87
"bathymasteridae",85
"petromyzontidae",82
"caristiidae",81
"eleotridae",79
"istiophoridae",76
"molidae",76
"narcinidae",75
"priacanthidae",75
"chlopsidae",74
"dussumieriidae",72
"nototheniidae",72
"lophiidae",71
"urotrygonidae",71
"uranoscopidae",69
"melanonidae",67
"pristigasteridae",66
"tetragonuridae",64
"carapidae",63
"gadidae",62
"percidae",62
"derichthyidae",59
"ephippidae",59
"eurypharyngidae",57
"squalidae",57
"gymnuridae",54
"stylephoridae",53
"cichlidae",52
"polyprionidae",52
"psychrolutidae",52
"centriscidae",51
"gasterosteidae",51
"gigantactinidae",49
"ictaluridae",49
"lamnidae",49
"anotopteridae",48
"sphyrnidae",46
"melanostomiidae",44
"squatinidae",41
"ammodytidae",40
"anomalopidae",40
"synaphobranchidae",40
"diretmidae",39
"",38
"characidae",36
"elopidae",35
"moringuidae",35
"setarchidae",35
"aulorhynchidae",33
"chlorophthalmidae",33
"centropomidae",32
"pinguipedidae",32
"rondeletiidae",32
"cyclopteridae",31
"leiognathidae",31
"platycephalidae",31
"cyprinodontidae",30
"cheilodactylidae",29
"dalatiidae",29
"hemitripteridae",29
"microdesmidae",28
"anarhichadidae",27
"lobotidae",27
"atherinidae",26
"monognathidae",25
"synanceiidae",25
"trachichthyidae",25
"alopiidae",24
"amarsipidae",24
"goodeidae",23
"halosauridae",23
"hexanchidae",23
"soleidae",23
"zanclidae",23
"channichthyidae",22
"pseudochromidae",22
"torpedinidae",22
"astronesthidae",21
"ipnopidae",21
"luvaridae",21
"nemipteridae",21
"aulopidae",20
"curculionidae",20
"zeidae",20
"aulostomidae",19
"chanidae",19
"epigonidae",19
"lampridae",18
"colocongridae",17
"etmopteridae",17
"kuhliidae",17
"nematistiidae",17
"plesiopidae",17
"acropomatidae",16
"esocidae",16
"himantolophidae",16
"lethrinidae",15
"saccopharyngidae",15
"cobitidae",14
"notacanthidae",14
"regalecidae",14
"lophotidae",13
"moronidae",13
"chaunacidae",12
"chironemidae",12
"dactylopteridae",12
"mormyridae",12
"oreosomatidae",12
"pempheridae",12
"thaumatichthyidae",12
"xiphiidae",12
"zaproridae",12
"anguillidae",11
"caesionidae",11
"champsodontidae",11
"monocentridae",11
"scombrolabracidae",11
"siganidae",11
"synbranchidae",11
"trichodontidae",11
"umbridae",11
"acipenseridae",10
"aploactinidae",10
"caproidae",10
"grammicolepididae",10
"osphronemidae",10
"pomatomidae",10
"schindleriidae",10
"tetrarogidae",10
"amiidae",9
"bathyclupeidae",9
"galaxiidae",9
"rhincodontidae",9
"sillaginidae",9
"aplodactylidae",8
"apteronotidae",8
"callorhinchidae",8
"echinorhinidae",8
"heterenchelyidae",8
"lepisosteidae",8
"muraenesocidae",8
"phycidae",8
"pimelodidae",8
"somniosidae",8
"sternopygidae",8
"ariommatidae",7
"centrophrynidae",7
"elapidae",7
"grammatidae",7
"gymnotidae",7
"icosteidae",7
"leptochilichthyidae",7
"pegasidae",7
"peristediidae",7
"plotosidae",7
"polymixiidae",7
"rhamphocottidae",7
"scophthalmidae",7
"terapontidae",7
"ambassidae",6
"arapaimidae",6
"bathydraconidae",6
"caulophrynidae",6
"cryptacanthodidae",6
"ginglymostomatidae",6
"melolonthidae",6
"monodactylidae",6
"notopteridae",6
"osteoglossidae",6
"pentacerotidae",6
"percophidae",6
"polyodontidae",6
"polypteridae",6
"radiicephalidae",6
"symphysanodontidae",6
"trichomycteridae",6
"apistidae",5
"ateleopodidae",5
"bathysauridae",5
"bovichtidae",5
"callanthiidae",5
"callichthyidae",5
"cepolidae",5
"citharidae",5
"cyclopterinidae",5
"doradidae",5
"gasteropelecidae",5
"heteropterygidae",5
"hypopomidae",5
"lottiidae",5
"mastacembelidae",5
"neoceratiidae",5
"neosebastidae",5
"odacidae",5
"odontaspididae",5
"oplegnathidae",5
"potamotrygonidae",5
"pristidae",5
"psettodidae",5
"triacanthodidae",5
"zenarchopteridae",5
"arripidae",4
