"dwc.scientificName","freq"
"Vinciguerria lucetia",1136
"Stenobrachius leucopsarus",1057
"Cyclothone signata",1045
"Diogenichthys laternatus",986
"Triphoturus mexicanus",954
"Idiacanthus antrostomus",875
"Cyclothone acclinidens",861
"Diaphus theta",822
"Scopelogadus bispinosus",772
"Nannobrachium ritteri",766
"Notolychnus valdiviae",741
"Myctophum nitidulum",715
"Argyropelecus affinis",700
"Protomyctophum crockeri",663
"Bathylagoides wesethi",632
"Leuroglossus stilbius",629
"Symbolophorus californiensis",625
"Ceratoscopelus townsendi",617
"Diogenichthys atlanticus",616
"Argyropelecus lychnus",585
"Vinciguerria nimbaria",549
"Tarletonbeania crenularis",528
"Bolinichthys longipes",509
"Argyropelecus sladeni",508
"Danaphos oculatus",508
"Sternoptyx diaphana",507
"Coryphaena equiselis",491
"Ceratoscopelus warmingii",482
"Citharichthys stigmaeus",468
"Symbolophorus evermanni",464
"Chauliodus macouni",462
"Myctophum aurolaternatum",460
"Argyropelecus hemigymnus",444
"Cyclothone pseudopallida",438
"Stomias atriventer",401
"Oxyporhamphus micropterus",387
"Gonichthys tenuiculus",374
"Poromitra crassiceps",368
"Cololabis saira",365
"Hygophum reinhardtii",358
"Hirundichthys speculiger",356
"Girella nigricans",354
"Hirundichthys marginatus",354
"Microstomus pacificus",354
"Lampanyctus tenuiformis",342
"Bathophilus filifer",340
"Myctophidae",333
"Lipolagus ochotensis",320
"Paralabrax clathratus",319
"Lampanyctus omostigma",318
"Citharichthys sordidus",313
"Sagamichthys abei",311
"Prognichthys tringa",308
"Vinciguerria poweriae",308
"Bathylagoides nigrigenys",305
"Heterostichus rostratus",300
"Melamphaes lugubris",299
"Cyclothone atraria",295
"Hygophum proximum",289
"Notoscopelus resplendens",285
"Tactostoma macropus",285
"Paralichthys californicus",283
"Hygophum atratum",281
"Exocoetus monocirrhus",278
"Nannobrachium idostigma",269
"Diaphus pacificus",268
"Scorpaenodes xyris",267
"Gibbonsia elegans",264
"Exocoetus volitans",261
"Nemichthys scolopaceus",260
"Triphoturus nigrescens",260
"Lestidiops ringens",258
"Lampanyctus parvicauda",253
"Sebastes",252
"Benthosema suborbitale",249
"Lampanyctus steinbecki",248
"Sternoptyx obscura",248
"Engraulis mordax",239
"Apogon retrosella",238
"Cyclothone pallida",237
"Scopeloberyx robustus",237
"Semicossyphus pulcher",235
"Embiotoca jacksoni",232
"Acanthemblemaria crockeri",227
"Nannobrachium regale",227
"Chauliodus sloani",226
"Sebastolobus altivelis",224
"Cyclothone alba",222
"Ophioblennius steindachneri",220
"Valenciennellus tripunctulatus",217
"Holtbyrnia latifrons",216
"Lampanyctus",216
"Symbolophorus reversus",213
"Hypsypops rubicundus",207
"Atherinops affinis",204
"Scorpaenichthys marmoratus",204
"Lythrypnus dalli",198
"Gonostoma elongatum",194
"Nannobrachium hawaiiensis",193
"Myctophum lychnobium",188
"Trachurus symmetricus",188
"Avocettina infans",181
"Gonostoma atlanticum",181
"Atherinopsis californiensis",180
"Crocodilichthys gracilis",180
