"Continent","Count"
NA,44073
"DZA",2
"ASM",38
"AGO",1
"ATA",157
"ARG",44
"AUS",433
"BHS",254
"BRB",3
"BLZ",54
"BMU",4
"BOL",3
"BRA",57
"BRN",2
"CAN",338
"CYM",9
"CAF",1
"CHL",987
"CHN",91
"COL",190
"COM",11
"COD",10
"COK",3
"CRI",1131
"CIV",1
"CUB",41
"CUW",17
"ECU",1141
"EGY",1
"SLV",156
"FLK",3
"FSM",1
"FJI",2
"FRA",83
"GUF",2
"PYF",38
"GAB",1
"GHA",1
"GRC",2
"GRL",2
"GUM",10
"GTM",157
"GIN",1
"GUY",5
"HTI",9
"HND",19
"HKG",1
"IND",4
"IDN",380
"ISR",10
"ITA",57
"JAM",2
"JPN",247
"KEN",6
"KIR",21
"LAO",1
"MDG",26
"MYS",2
"MDV",17
"MLT",4
"MHL",165
"MTQ",9
"MEX",31744
"MOZ",38
"MMR",1
"NAM",2
"NCL",1
"NZL",87
"NIC",74
"NGA",2
"MNP",2
"NOR",1
"OMN",6
"PAK",3
"PLW",24
"PAN",2452
"PNG",24
"PRY",1
"PER",643
"PHL",223
"PRT",5
"PRI",26
"ROU",11
"RUS",15
"LCA",7
"VCT",2
"STP",2
"SAU",1
"SEN",2
"SYC",10
"SLE",4
"SGP",26
"SLB",11
"ZAF",404
"KOR",10
"ESP",3
"LKA",2
"SUR",2
"SWE",1
"TWN",251
"TZA",2
"THA",17
"TKL",3
"TON",6
"TTO",5
"TUV",9
"GBR",1
"USA",28969
"UMI",90
"URY",4
"VEN",43
"VNM",5
"VIR",28
